5320,-17521,4835,9401,-6287,-2803
1511,-16062,2788,8814,-2382,-2487
-1916,-14748,947,8286,1132,-2202
1552,-13034,1739,7704,-2257,-2832
-932,-12027,966,6504,211,-2599
-3167,-11120,271,5424,2434,-2390
-1009,-9635,1127,4275,-1086,-2633
401,-8835,2022,2839,-732,-2635
1670,-8114,2828,1546,-415,-2636
2615,-7435,3474,240,-198,-2403
3044,-6989,3688,-1228,-271,-2098
3430,-6587,3880,-2551,-336,-1823
3498,-6521,3997,-4274,382,-1517
3560,-6460,4102,-5826,1029,-1240
3868,-6837,4432,-7682,1192,-918
4407,-7557,5063,-9630,697,-333
4891,-8205,5631,-11383,252,192
5307,-9158,6153,-13006,-70,1115
5928,-10163,6732,-14338,-380,2222
6486,-11067,7253,-15536,-660,3218
6693,-12010,7487,-16376,-496,4183
6856,-12795,7693,-16796,-384,4941
7003,-13503,7879,-17175,-283,5622
6760,-14097,7784,-17212,344,6055
6525,-14575,7530,-17052,704,6009
6314,-15004,7301,-16909,1028,5967
6124,-15292,7005,-16622,1288,5595
5954,-15551,6739,-16364,1521,5261
5650,-15770,6448,-16012,1949,4734
5237,-15822,5959,-15232,1800,4238
4866,-15869,5518,-14530,1666,3793
4895,-15939,5153,-13693,429,3552
4694,-16065,4667,-12978,462,3173
4514,-16178,4229,-12334,492,2832
4253,-16222,3822,-11705,992,2407
4120,-16243,3522,-11220,1131,2002
4000,-16262,3253,-10784,1256,1637
3868,-16297,2965,-10374,1338,1338
3749,-16329,2706,-10004,1412,1069
3707,-16316,2445,-9647,1416,868
3682,-16318,2219,-9346,1480,761
3660,-16319,2016,-9075,1537,664
3632,-16396,1855,-8857,1665,596
3597,-16419,1704,-8676,1736,493
3565,-16439,1568,-8513,1799,401
