17003,-12574,-5073,-10324,-4741,-18475
16421,-11635,-5583,-11847,-3213,-19904
14988,-10829,-5728,-12873,-1966,-21191
12487,-10645,-5009,-13084,-1256,-22348
10236,-10479,-4362,-13274,-617,-23390
6507,-10419,-3841,-12192,-7,-24328
2627,-10663,-3761,-9943,-590,-22436
-863,-10884,-3689,-7919,-1114,-20733
-2995,-11265,-3916,-5604,-2406,-15383
-2455,-11441,-3764,-3963,-3387,-10568
-1969,-11599,-3628,-2486,-4269,-6234
30,-11939,-2805,-2359,-3049,-2334
2426,-13302,-592,-3725,532,1175
4583,-14529,1398,-4954,3755,4334
6631,-13487,3550,-5859,4936,7178
8474,-12548,5486,-6674,5999,9737
9766,-11420,6929,-6950,5476,9478
10279,-10424,7876,-6766,5198,9205
10740,-9528,8728,-6600,4948,8960
10513,-8946,8787,-6237,3983,8076
10033,-8812,8373,-6231,2867,6689
9601,-8691,8000,-6225,1862,5441
9139,-8881,7647,-6835,1167,4494
8990,-9159,7343,-7503,429,4608
8856,-9410,7070,-8104,-234,4711
9534,-9813,6863,-8302,-1764,6230
10906,-10394,6692,-7815,-3057,8696
12140,-10917,6538,-7376,-4221,10915
12929,-11806,6518,-6491,-4487,13075
13638,-12607,6499,-5694,-4726,15019
13691,-13218,6091,-4655,-5593,16529
14109,-13666,5632,-3719,-7978,17434
14486,-14070,5220,-2877,-10124,18248
14949,-14242,4705,-2287,-11200,18167
14519,-14393,4227,-2163,-9005,16998
14132,-14529,3796,-2052,-7028,15946
13087,-14565,3565,-2130,-4257,14295
12154,-14585,3318,-2039,-3848,12581
