5291,-14069,-7356,-16908,-11059,1845
4761,-13075,-7138,-17334,-10310,2410
4095,-11619,-7799,-16536,-9787,2554
3676,-10154,-8500,-15368,-9273,2438
3298,-8836,-9130,-14317,-8810,2333
2895,-7652,-9764,-13132,-7946,2187
2543,-6620,-10360,-11889,-7141,1976
2226,-5691,-10897,-10770,-6416,1787
2421,-5073,-10978,-9579,-5402,1476
3027,-4903,-10867,-7752,-2718,864
3573,-4751,-10767,-6109,-303,313
4100,-4963,-10921,-3327,3003,-119
4573,-5154,-11060,-824,5979,-509
5108,-5485,-11127,2006,8658,434
6027,-6207,-10441,3931,11069,2726
6854,-6856,-9823,5664,13239,4789
7843,-7722,-8788,6316,14694,7001
8336,-8597,-7543,6097,15085,8925
8780,-9384,-6422,5900,15437,10657
9006,-10066,-5271,5376,14251,11697
9069,-10595,-4223,4844,12455,11825
9125,-11070,-3279,4365,10839,11941
8927,-11433,-2471,3904,9352,11393
8682,-11764,-1764,3443,7917,10515
8461,-12062,-1127,3028,6625,9726
8188,-12331,-543,2618,5485,8858
7930,-12573,0,2264,4557,8031
7698,-12791,487,1946,3722,7287
7449,-13006,939,1686,3065,6600
7224,-13200,1346,1453,2474,5982
6986,-13392,1695,1258,2034,5413
6698,-13595,1979,1099,1619,4878
6439,-13777,2233,955,1246,4397
6318,-13888,2461,873,565,3943
6219,-13994,2639,800,23,3528
6130,-14089,2800,734,-463,3155
6010,-14191,2927,655,-534,2857
5897,-14282,3032,560,-460,2599
