4484,-19361,7715,10220,-2849,-10125
4191,-17642,6061,12474,-4688,-11661
7048,-15185,4449,12699,-6216,-11552
3067,-14916,1131,8792,-2318,-9632
-516,-14674,-1854,5275,1190,-7903
2812,-13037,-2569,4441,-2205,-6962
2532,-11855,-2164,2939,-5261,-6299
2279,-10792,-1800,1588,-8012,-5703
5328,-8553,-2371,738,-10404,-4983
6609,-7357,-3082,-634,-8474,-3961
7762,-6281,-3722,-1869,-6736,-3041
9826,-4893,-2872,-2668,-2834,-2875
11683,-3644,-2107,-3388,678,-2726
11987,-3220,-2654,-4317,3762,-3073
9243,-2755,-2598,-5449,6663,-3672
6774,-2337,-2548,-6469,9273,-4212
6587,-1896,-2534,-6908,6844,-4536
6551,-2057,-2059,-8264,4810,-3992
6519,-2202,-1630,-9484,2979,-3502
5958,-3250,-1254,-11626,3399,-2650
5760,-4620,-78,-13740,2872,-1685
5583,-5852,981,-15642,2398,-817
6351,-7798,2342,-17355,912,701
7004,-9902,4250,-18896,732,2398
7593,-11797,5968,-20283,571,3925
7805,-12764,7332,-20863,154,4411
7997,-13635,8560,-21385,-220,4848
8141,-14027,9452,-20687,-1032,4813
8157,-14293,9325,-19358,-1360,4550
8172,-14532,9212,-18163,-1656,4314
7880,-14646,8600,-16882,-1596,3856
7444,-14696,7980,-15745,-1143,3479
7051,-14741,7422,-14721,-735,3139
6742,-14838,7036,-13873,-552,2918
6515,-14951,6758,-13129,-680,2781
