10048, -12330, 1415, -6374, -3896, 3396
9796, -12561, 1382, -6570, -3296, 3000
9581, -12812, 1331, -6772, -2773, 2762
9396, -13033, 1249, -6902, -2203, 2591
9225, -13234, 1165, -6989, -1728, 2384
9084, -13415, 1094, -7014, -1433, 2148
8975, -13552, 1040, -6982, -1284, 1893
8912, -13655, 1004, -6911, -1200, 1645
8895, -13743, 952, -6857, -1129, 1436
8945, -13819, 911, -6846, -1129, 1228
9261, -13866, 782, -6886, -1252, 904
9787, -13982, 429, -7246, -1793, 202
11072, -14374, -656, -8371, -3534, -1371
12661, -14806, -2059, -10100, -6354, -4046
14279, -14740, -3412, -11846, -8995, -6918
15840, -14262, -4539, -13726, -11372, -9503
16432, -13645, -5505, -15630, -10459, -11829
16403, -12985, -6550, -17343, -7746, -13923
15488, -12251, -7355, -18886, -3694, -15808
14218, -11358, -7834, -20274, -48, -17504
12192, -10629, -8122, -21502, 3233, -19030
9788, -9864, -7907, -21235, 6186, -20404
7159, -9014, -7850, -19861, 8360, -21640
4567, -8389, -7889, -18449, 9152, -22753
1570, -8258, -8250, -16951, 8689, -22489
-1863, -8919, -9122, -15610, 7908, -20251
-4953, -10070, -9856, -15700, 6522, -14949
-6355, -10859, -9104, -17406, 5084, -10177
-5232, -12567, -8507, -18942, 3161, -5883
-1432, -14587, -5302, -20325, 2143, -2018
598, -13182, -3617, -19610, 5206, 1460
2819, -11790, -1248, -17755, 5466, 3335
3435, -9931, 552, -16848, 5517, 3069
4052, -8256, 1902, -15905, 4955, 3137
4314, -6921, 2785, -15160, 4392, 2744
4540, -5940, 3390, -14639, 3249, 2183
4913, -5402, 3697, -14523, 1546, 1357
5334, -5328, 3939, -14640, -518, -271
5864, -5263, 4070, -14608, -3014, -2314
6289, -4692, 3955, -14410, -5430, -4094
6836, -3771, 4144, -14148, -7621, -5021
6901, -2837, 3863, -13924, -9391, -4965
6909, -1859, 3598, -13139, -11268, -3804
7675, -1236, 3770, -12244, -13107, -971
8467, -884, 3908, -11151, -13766, 2402
9678, -1174, 3823, -9975, -12995, 5438
11207, -1947, 3960, -8831, -11848, 8171
11817, -3000, 3768, -7979, -9959, 10631
13822, -5977, 3393, -7700, -11859, 12844
15299, -7014, 2939, -5550, -12494, 14180
15354, -7532, 2237, -5219, -10580, 13761
14759, -8593, 1759, -7049, -8049, 12828
14077, -9373, 1460, -7752, -6531, 11294
13537, -9741, 1224, -7251, -6248, 9520
13079, -10087, 1046, -6668, -6434, 8071
12583, -10440, 857, -6262, -6551, 7079
12066, -10935, 713, -6111, -6620, 6242
11452, -11434, 651, -5952, -6621, 5112
11001, -11856, 662, -5727, -6824, 3768
10585, -12263, 672, -5625, -6866, 2640
10208, -12556, 647, -5667, -6437, 1911
9853, -12864, 632, -5888, -5706, 1426
9590, -13062, 613, -5995, -4914, 910
9410, -13218, 595, -6149, -4108, 539
9281, -13372, 545, -6452, -3333, 672
9161, -13512, 495, -6712, -2689, 822
9085, -13612, 440, -6865, -2228, 875
9025, -13732, 373, -7016, -1877, 916
8960, -13812, 293, -7126, -1517, 946
8917, -13897, 206, -7191, -1182, 889
8911, -13950, 142, -7194, -890, 746
8971, -14002, 59, -7208, -636, 578
9136, -14080, -156, -7275, -682, 289
9568, -14234, -795, -7603, -2085, -489
10917, -14531, -2802, -8649, -5153, -2308
12920, -14720, -5168, -10592, -7914, -5312
14905, -14334, -6582, -12809, -10400, -8058
16091, -14041, -7606, -14805, -12547, -10529
16847, -13710, -8416, -16601, -12612, -12753
16864, -13359, -9226, -18218, -10417, -14754
16120, -12761, -10157, -19673, -6837, -16555
14178, -11590, -10463, -20982, -2876, -18176
11817, -10582, -10567, -22161, 687, -19636
8817, -9774, -10680, -22438, 3895, -20949
5058, -9568, -10873, -21586, 5894, -22130
1275, -10200, -11802, -19915, 6232, -22368
-2128, -11783, -12563, -19128, 4360, -17619
-3335, -13760, -11903, -19303, 744, -12581
-1952, -15588, -10896, -19282, -974, -8046
1519, -17306, -7137, -20630, -1083, -3964
4295, -14486, -5681, -20145, 2301, -291
6135, -12321, -3347, -19290, 3466, 2386
6934, -10367, -1186, -18901, 3762, 3064
7506, -8486, 427, -18353, 4481, 4037
7916, -6945, 1667, -17431, 4217, 4334
8019, -5834, 2458, -16740, 3697, 3978
8525, -5295, 3094, -16340, 1527, 2578
9023, -5152, 3476, -16101, -499, 541
9332, -4583, 3493, -15518, -2385, -1622
9400, -3748, 3769, -14936, -3966, -3353
9084, -2971, 3723, -14525, -5604, -4229
8583, -2182, 3414, -13607, -7506, -4266
8233, -1218, 3358, -12049, -9203, -2994
8461, -460, 3394, -10289, -10440, -161
9020, -189, 3101, -8263, -10762, 3131
10350, -324, 2931, -6106, -10534, 6094
11769, -985, 2692, -4334, -9579, 8762
12473, -2109, 2314, -3455, -7744, 11162
13102, -5174, 1579, -4294, -6557, 13323
15069, -7934, 1078, -3917, -7692, 15267
16165, -8233, 408, -1578, -8436, 16538
15474, -8940, -102, -1882, -7231, 15731
14931, -9343, -238, -2374, -6681, 13568
14378, -9843, -175, -2976, -6038, 11748
13563, -10479, -87, -3447, -4789, 9949
12788, -11022, -34, -3603, -4236, 8179
12196, -11507, 69, -3702, -4517, 6547
11680, -11920, 170, -3922, -4628, 5240
11175, -12241, 236, -4247, -4334, 4227
10633, -12548, 309, -4629, -3795, 3504
10254, -12809, 352, -4944, -3375, 3017
10020, -13046, 362, -5193, -3016, 2659
9860, -13234, 372, -5445, -2521, 2313
9763, -13371, 378, -5735, -1913, 1974
9891, -13477, 319, -6090, -1327, 1701
10094, -13618, 145, -6536, -776, 1352
10473, -13868, -211, -7140, -590, 582
11279, -14243, -757, -8008, -1598, -961
12456, -14533, -1601, -9162, -3726, -3335
14013, -14135, -2805, -10867, -5420, -6278
15725, -13533, -3475, -12591, -6030, -8927
17243, -12912, -4092, -14340, -5148, -11311
17467, -12591, -4745, -16183, -1860, -13457
16732, -12090, -5229, -17459, 1602, -15388
