5126,-14474,-6751,-22539,-5334,-1775
5479,-12571,-7216,-21158,-6232,-2058
5797,-10859,-7634,-19915,-7040,-2312
5444,-9270,-8250,-18513,-6515,-2256
5285,-8215,-8341,-17033,-5416,-2044
5141,-7266,-8423,-15701,-4428,-1853
5093,-6807,-8240,-13794,-3182,-1662
5096,-6752,-8468,-10992,-1038,-1132
5099,-6703,-8672,-8470,891,-655
5353,-6946,-9107,-5185,3233,406
5893,-7867,-9320,-1882,5401,2651
6378,-8695,-9511,1089,7352,4672
6906,-10129,-9534,3594,9011,7482
7380,-11419,-9555,5848,10503,10010
7743,-12297,-9142,6934,11685,12286
7588,-12773,-8428,6438,11754,13199
7448,-13202,-7786,5992,11817,14020
7347,-13497,-7123,4694,10500,13200
7242,-13826,-6483,3327,8429,11711
7147,-14121,-5907,2098,6565,10371
6995,-14346,-5400,1013,4925,8908
6805,-14520,-4905,-36,3853,7543
6634,-14677,-4459,-980,2888,6314
6590,-14932,-3855,-1916,2912,5326
6005,-15165,-3137,-2558,4516,4728
5478,-15375,-2490,-3136,5960,4190
5034,-15517,-2176,-3449,6885,3818
4635,-15644,-1894,-3731,7717,3484
4241,-15797,-1428,-4494,4720,1971
4132,-15814,-1311,-4683,4166,1663
4087,-15861,-1150,-4909,3699,1528
4046,-15904,-1005,-5113,3278,1406
3995,-15995,-750,-5304,2900,1308
3961,-16041,-547,-5362,2512,1198
3931,-16083,-364,-5415,2163,1100
