13274,-15394,-10492,-17568,-6784,-17319
12528,-14431,-10474,-19088,-4372,-18864
11379,-13104,-10080,-20276,-2782,-20254
9950,-12004,-8868,-20793,-2063,-21505
8664,-11014,-7778,-21258,-1415,-22632
5368,-10375,-6328,-20736,527,-23645
1873,-9777,-5741,-18944,2120,-22716
-1271,-9239,-5214,-17332,3553,-21880
-3492,-9117,-4808,-15066,1929,-17598
-5490,-9007,-4442,-13027,467,-13745
-5718,-8402,-4268,-11157,3,-9093
-3599,-8173,-3657,-10315,14,-4907
-1693,-7966,-3106,-9557,25,-1140
189,-8665,-1807,-9637,1669,2250
2110,-9950,314,-10075,4779,5302
3839,-11108,2224,-10468,7577,8048
5678,-10458,3712,-10019,7206,9488
7022,-9882,4847,-9500,6424,8688
8231,-9364,5870,-9033,5721,7968
8769,-8825,6752,-8365,5609,7353
9254,-8340,7546,-7765,5508,6800
9347,-7961,7880,-7111,5227,6116
8859,-7768,7559,-6673,4843,5186
8419,-7594,7270,-6279,4499,4348
8022,-7693,6950,-6575,3290,3560
7875,-7912,6646,-7266,2160,3343
7743,-8109,6372,-7888,1143,3147
7957,-8394,6311,-8364,443,4084
8371,-9122,6299,-8548,-91,6078
8743,-9777,6288,-8713,-572,7872
9355,-10776,6258,-8537,-1799,9899
9891,-11750,6044,-7959,-3113,11464
10373,-12626,5852,-7439,-4295,12873
10881,-13231,5751,-6727,-4762,13632
11338,-13775,5661,-6086,-5182,14315
11304,-14156,5449,-5501,-4586,14249
10891,-14350,5213,-5151,-3899,13374
10519,-14525,5001,-4835,-3280,12586
