1268,-15975,7718,12803,-4296,972
2671,-14910,5769,13263,-7143,451
5681,-13570,4161,12190,-9706,-1897
5202,-12361,468,10652,-5458,-1978
4770,-11273,-2854,9267,-1636,-2051
1016,-9950,-3021,8761,1804,-808
53,-8960,-3363,7857,-1652,166
-813,-8069,-3671,7043,-4764,1043
2344,-6658,-3597,6051,-7564,907
2855,-5808,-4977,5037,-3531,829
3314,-5043,-6220,4123,98,759
-293,-4302,-6068,3518,3365,1336
-3541,-3634,-5931,2973,6305,1856
-2642,-3229,-7154,2439,2398,1673
898,-2031,-7191,2004,-1118,410
4085,-952,-7224,1612,-4283,-725
4464,-768,-9014,505,-578,156
2014,-903,-8270,-236,2756,1090
-190,-1025,-7600,-904,5757,1931
-101,-1215,-6231,-1761,4606,1415
721,-1979,-4667,-3258,2078,961
1461,-2667,-3259,-4605,-196,553
1428,-3676,-1836,-6034,838,516
1399,-4585,-556,-7321,1769,483
919,-5747,748,-8787,3262,-5
686,-7069,2051,-10196,3225,-519
476,-8259,3225,-11464,3192,-982
280,-9358,4420,-12536,3172,-1094
25,-10410,5497,-13133,3677,-1090
-204,-11356,6467,-13671,4131,-1087
-604,-11943,7103,-13467,4893,-1252
-1061,-12294,7481,-12792,5203,-1517
-1472,-12610,7821,-12183,5482,-1755
-1510,-12968,7913,-11349,4996,-1778
-1459,-13326,7667,-10380,4278,-1683
-1414,-13647,7446,-9508,3632,-1598
