1552,-11704,-9272,-15860,-10753,3649
977,-10304,-9617,-14822,-9521,3729
541,-8960,-10067,-13450,-9011,3469
187,-7868,-10525,-12021,-8003,3177
-130,-6884,-10937,-10734,-7097,2914
420,-6091,-11056,-9374,-5883,2509
916,-5378,-11164,-8150,-4790,2144
1480,-5178,-11109,-6453,-1412,1605
2013,-5419,-11189,-3881,2005,1454
2492,-5637,-11261,-1567,5081,1317
3169,-5888,-11222,970,7849,2316
4077,-6520,-10601,2515,10341,4902
4894,-7089,-10043,3905,12584,7230
5599,-8387,-8934,3969,14602,9783
6156,-9621,-7588,3354,14907,11782
6657,-10733,-6377,2801,15182,13580
6960,-11414,-5220,2215,14164,14153
6788,-11857,-4159,1668,12868,13801
6632,-12256,-3204,1177,11701,13485
6432,-12655,-2368,766,9590,12657
6252,-13014,-1616,397,7690,11911
6267,-13303,-1070,259,5358,10867
5978,-13506,-691,313,4044,9800
5719,-13688,-351,362,2861,8839
5503,-13908,-79,407,1718,8030
5312,-14072,137,430,622,7281
5139,-14220,333,450,-364,6608
4948,-14401,521,362,-734,5947
4685,-14552,713,210,-706,5304
4447,-14687,886,72,-681,4726
4310,-14803,1067,-74,-704,4229
4185,-14895,1255,-196,-464,3828
4073,-14978,1423,-306,-247,3467
3946,-15095,1601,-404,72,3149
3831,-15201,1761,-492,361,2864
3732,-15258,1946,-541,463,2547
3631,-15308,2064,-544,422,2227
3540,-15353,2170,-546,385,1940
