13110,-19999,482,8556,1364,-16923
11923,-19064,-847,10419,3425,-18507
9173,-17095,-2132,11731,4156,-19933
5741,-14880,-2963,11565,3200,-21217
2652,-12886,-3711,11415,2340,-22372
-885,-11274,-4891,10878,1022,-20704
-2800,-10592,-5674,9940,-1679,-15357
-4523,-9978,-6379,9096,-4111,-10545
-3154,-11526,-6211,7224,-5582,-6213
-663,-12839,-4531,4477,-3208,-2315
1578,-14021,-3018,2004,-1071,1192
3014,-12831,-655,572,1172,4082
4307,-11760,1470,-717,3191,6682
5086,-10577,3229,-1546,3513,6469
5471,-9591,4109,-1973,3452,6481
5818,-8703,4901,-2359,3397,6491
5856,-8138,4916,-2794,2758,5871
5588,-8026,4491,-3671,1659,4794
5348,-7926,4109,-4460,670,3825
5433,-7857,3947,-5524,-580,3351
6107,-7995,4360,-6495,-1486,4652
6714,-8118,4732,-7369,-2301,5823
7590,-9308,4750,-7949,-3159,8518
8792,-10969,4860,-8149,-4545,10943
9874,-12463,4960,-8330,-5792,13125
10314,-13868,4491,-8009,-7068,15089
10711,-15132,4069,-7721,-8216,16857
11133,-15802,3475,-7309,-9929,17760
11197,-16042,2847,-6969,-10417,17496
11255,-16257,2281,-6663,-10856,17259
11083,-16325,1947,-6347,-10590,15936
10671,-16363,1860,-6017,-10367,14051
10300,-16397,1782,-5720,-10167,12354
9603,-16348,1579,-5192,-8972,10893
8769,-16290,1300,-4644,-7350,9631
8019,-16237,1048,-4151,-5890,8495
7384,-16206,826,-3771,-4800,7516
6786,-16204,679,-3438,-3800,6771
