-987,-7611,-3639,-17344,8738,-20887
-3783,-6956,-2486,-14648,8490,-18075
-6299,-6366,-1449,-12222,8267,-15544
-7981,-6077,-1132,-9589,8096,-10874
-9494,-5816,-848,-7220,7943,-6671
-9062,-5963,-832,-5142,6683,-2727
-6954,-6160,-661,-3799,6559,822
-5056,-6338,-507,-2590,6448,4016
-2833,-5473,-320,-2214,9080,6891
-1607,-4111,959,-2450,11448,9479
-503,-2885,2111,-2662,13580,11808
295,-1853,3424,-2890,13859,11454
1940,-1105,4317,-3230,11500,10465
3422,-432,5120,-3537,9377,9575
4037,44,5274,-3698,7746,8483
4086,76,5157,-4078,6575,6996
4130,105,5050,-4420,5522,5658
4225,-76,4790,-4672,3458,4206
4309,-239,4555,-4899,1600,2900
4622,-173,4017,-4824,-1230,2089
5275,-125,3666,-4602,-3605,3104
5863,-81,3350,-4401,-5743,4017
7248,-1051,2754,-3931,-6927,6892
9147,-3096,1913,-3191,-8143,9480
10856,-4937,1156,-2525,-9238,11809
12151,-7027,529,-1678,-9240,13904
12632,-8625,251,-997,-8024,15791
13064,-10063,0,-385,-6930,17488
12878,-11016,-274,-85,-6593,17823
13155,-11581,-467,-150,-8042,16462
13404,-12090,-641,-208,-9346,15236
13357,-12418,-863,-407,-10221,13381
13314,-12714,-1063,-586,-11009,11711
12602,-12990,-1385,-684,-8803,10480
11517,-13262,-1632,-705,-5820,9327
10541,-13506,-1855,-723,-3136,8289
9677,-13675,-1967,-745,-1916,7173
9107,-13820,-2025,-840,-2208,6183
