2227,-11852,-9647,-16688,-9183,1998
2113,-10177,-9952,-15235,-8798,1820
2009,-8670,-10227,-13928,-8452,1659
1872,-7589,-10295,-12412,-7130,1369
1781,-7010,-10388,-10305,-5325,928
1700,-6488,-10473,-8409,-3701,532
1723,-6382,-10619,-5825,-1870,115
1972,-6566,-11080,-2690,427,-60
2195,-6732,-11496,130,2494,-219
2678,-7134,-12093,3345,5522,460
3112,-7495,-12630,6239,8246,1073
3851,-8143,-12760,8796,10698,2886
4441,-9037,-12450,10315,12484,5334
4972,-9841,-12170,11682,14091,7538
5353,-10713,-11547,11947,13671,9340
5713,-11433,-10839,11470,11811,10095
6037,-12081,-10201,11040,10137,10775
6191,-12523,-9536,10158,8080,10443
6226,-12866,-8814,9041,6087,9423
6257,-13174,-8164,8035,4293,8505
6038,-13445,-7548,7159,3413,7577
5726,-13699,-6955,6436,3114,6818
5445,-13928,-6421,5786,2845,6135
5145,-14141,-5887,5168,2855,5534
4874,-14332,-5406,4611,2864,4993
4610,-14513,-4942,4100,2980,4499
4372,-14685,-4498,3643,2956,4052
4158,-14839,-4099,3233,2934,3649
3961,-14967,-3778,2873,2773,3282
3802,-15087,-3494,2531,2491,2934
3659,-15195,-3238,2224,2238,2620
3513,-15288,-3000,1953,2028,2361
3406,-15370,-2772,1713,1815,2145
3311,-15445,-2567,1497,1623,1951
3246,-15512,-2394,1302,1394,1782
3188,-15570,-2250,1126,1205,1625
3135,-15623,-2121,968,1035,1484
3085,-15671,-2005,827,885,1349
3041,-15714,-1901,699,751,1228
2995,-15752,-1801,587,639,1123
2957,-15790,-1699,485,537,1037
