10647,-17676,-3672,-15308,0,-18175
9606,-15633,-3654,-16560,-1102,-19634
8669,-13795,-3637,-17687,-2095,-20947
7497,-11608,-2701,-18119,-1372,-21021
5844,-9047,-1920,-17035,542,-19641
4357,-6741,-1216,-16060,2265,-18399
3732,-4473,-830,-14320,2111,-16411
3171,-2431,-482,-12754,1973,-14623
2900,-692,-282,-11133,1368,-12603
2836,675,-282,-9432,775,-10395
2779,1906,-281,-7901,242,-8407
2919,2669,-485,-6102,-68,-6113
3373,2963,-672,-3971,-132,-3322
3782,3228,-840,-2054,-191,-810
4635,3150,-1161,93,399,2173
5355,2652,-1709,2222,1974,5232
6002,2203,-2201,4138,3391,7986
6871,1198,-2204,5735,4326,10464
7792,-572,-2345,6892,5128,12694
8620,-2166,-2472,7932,5849,14701
8620,-4009,-2404,8414,5828,16508
8678,-6077,-2430,8439,4178,18134
8730,-7939,-2454,8461,2693,19597
8924,-9289,-2407,8467,685,20349
9099,-10504,-2365,8473,-1121,21026
8874,-11224,-2205,8154,-1738,20471
8517,-11706,-2008,7517,-2332,19005
8197,-12139,-1831,6943,-2866,17685
7852,-12537,-1581,6352,-3304,16153
7357,-12914,-1345,5757,-3352,14685
6913,-13254,-1133,5223,-3396,13364
6432,-13554,-874,4641,-3420,11996
5936,-13802,-639,4101,-3414,10633
5491,-14026,-428,3615,-3408,9407
5144,-14241,-245,3186,-3403,8335
4832,-14434,-80,2800,-3399,7370
4510,-14601,61,2450,-3168,6573
4187,-14745,179,2128,-2790,5890
