12084,-10968,4537,5794,3533,-12998
11475,-10050,4600,6198,3577,-13134
10728,-8782,4370,6517,3226,-12693
10271,-7459,4260,6180,2991,-11558
9860,-6269,4162,5876,2780,-10538
9591,-5346,5037,4943,2803,-9133
8310,-4693,1257,5310,-753,-7823
7158,-4105,-2145,5641,-3954,-6644
9719,-2368,-5207,6350,-6835,-6562
11558,-481,-7963,6182,-4980,-5510
13212,1216,-10443,6032,-3310,-4563
8614,909,-11002,3287,297,-2877
9203,2516,-13179,4023,-3008,-3695
9733,3962,-15138,4685,-5984,-4432
8829,3327,-15592,5025,-7789,-3020
8016,2755,-16001,5332,-9413,-1750
8854,3472,-16179,5231,-6684,-2289
9034,3081,-14638,3921,-2739,-1316
9197,2729,-13252,2742,811,-441
8120,2452,-12092,2499,2651,-299
7307,2687,-10431,1201,3740,-312
6575,2898,-8937,33,4721,-323
5782,2700,-7850,-457,5380,232
6480,2352,-6912,-884,1716,1071
7108,2040,-6068,-1269,-1581,1826
8341,1483,-5060,-1894,-3607,3229
9452,982,-4154,-2457,-5431,4490
10253,426,-3367,-2846,-4728,5800
10782,-514,-2526,-3231,-3188,7188
11259,-1361,-1769,-3578,-1802,8437
11602,-2432,-989,-4078,-700,9493
11950,-3399,-169,-4623,-71,10241
12262,-4269,568,-5114,495,10914
12483,-5326,1242,-5520,495,11326
12475,-6300,1641,-5770,179,11485
12467,-7177,2000,-5996,-104,11629
