7283,-15496,-10829,-22609,3201,-7229
5878,-13960,-9318,-23425,4643,-8237
3671,-11483,-7654,-22437,6824,-8224
1684,-9253,-6156,-21549,8788,-8212
690,-6619,-4788,-19710,9032,-7167
598,-4285,-3810,-17645,7808,-6040
515,-2184,-2929,-15786,6706,-5026
619,-653,-2435,-13946,5835,-4186
773,300,-1906,-12066,5327,-3492
912,1160,-1430,-10375,4869,-2866
825,1618,-1062,-8129,4804,-2206
887,1932,-1121,-4926,4674,-1307
942,2216,-1174,-2043,4557,-497
1137,2452,-1904,1437,4124,107
1437,2440,-3444,4570,3762,342
1707,2428,-4830,7390,3436,553
1920,1818,-6491,9927,3582,576
2338,505,-8039,12211,4050,802
2715,-676,-9433,14267,4472,1006
3257,-2377,-10595,16117,5350,1580
3746,-3907,-11642,17782,6140,2097
4391,-5420,-12097,19280,7987,3009
4895,-6613,-11836,19956,9609,3916
5350,-7687,-11602,20564,11069,4731
5486,-8483,-11025,19956,11397,5218
5692,-9143,-10366,18640,9803,5209
5876,-9737,-9772,17455,8368,5200
6110,-10314,-9179,16007,5993,4901
6144,-10841,-8567,14547,4339,4417
6173,-11314,-8016,13233,2850,3982
6239,-11723,-7416,11909,2290,3524
6299,-12090,-6876,10717,1787,3111
6209,-12458,-6355,9437,2016,2714
6017,-12751,-5827,8248,2583,2316
5844,-13015,-5351,7178,3093,1959
5749,-13247,-4891,6335,3187,1667
5798,-13473,-4478,5510,2965,1392
5842,-13676,-4106,4767,2766,1144
5755,-13868,-3754,3979,3064,916
