-4515,-15429,-11384,-17474,-2736,14334
-4396,-13390,-11637,-16174,-3560,12973
-4289,-11555,-11865,-15003,-4302,11749
-4374,-9885,-11943,-13624,-3675,10485
-4250,-8709,-12000,-12142,-3206,9067
-4138,-7651,-12052,-10809,-2783,7791
-3681,-7094,-11753,-9324,-1907,6116
-3434,-7097,-11678,-7218,378,3964
-3212,-7099,-11612,-5322,2435,2028
-3041,-7596,-11821,-2108,5468,8
-2888,-8044,-12009,785,8198,-1809
-2610,-8897,-12477,3983,10655,-2375
-2132,-10286,-12753,6861,12099,-918
-1703,-11536,-13002,9452,13398,392
-1159,-12859,-13074,11783,13257,3129
-421,-13309,-12724,12733,11107,4840
242,-13714,-12408,13588,9172,6381
387,-13944,-11676,12374,7140,6460
739,-14253,-11043,10353,4282,5650
1056,-14530,-10473,8534,1710,4921
1450,-14748,-9644,7166,-346,4098
1538,-14855,-8889,6356,-301,3604
1618,-14951,-8210,5627,-260,3159
1526,-15068,-7620,5007,450,2823
1444,-15173,-7089,4449,1090,2520
1364,-15255,-6571,3862,1352,2127
1203,-15322,-6098,3268,1155,1739
1059,-15382,-5671,2733,977,1390
995,-15466,-5320,2202,-72,1151
1048,-15539,-5018,1670,-1477,996
1096,-15605,-4745,1190,-2742,857
1166,-15628,-4535,808,-3209,795
1245,-15649,-4393,610,-2548,736
1317,-15668,-4266,431,-1953,682
1457,-15719,-4174,347,-678,595
1582,-15764,-4092,271,468,517
1686,-15820,-3937,238,1815,336
1723,-15854,-3706,196,2737,158
