719,-18264,6063,7396,-4277,3751
2406,-16545,5648,6605,-7126,1332
3925,-14998,5274,5894,-9690,-844
5936,-13611,2039,4542,-5445,-1042
2066,-12307,-448,3222,-1623,-269
-1416,-11134,-2687,2035,1815,426
1308,-9885,-2982,1387,-1642,198
3762,-8762,-3247,803,-4755,-6
6662,-8040,-3924,29,-7556,130
2719,-7354,-5664,-618,-3524,875
-829,-6737,-7231,-1201,105,1545
1314,-6335,-5061,-1472,-3182,768
2557,-5823,-4915,-2141,-3174,658
3675,-5362,-4783,-2744,-3168,560
422,-4913,-6008,-3020,425,745
1176,-4616,-4311,-3725,-2893,-173
1856,-4349,-2785,-4359,-5881,-999
2695,-4270,-2058,-4981,-5907,-344
3450,-4200,-1404,-5541,-5932,244
1975,-4330,-1322,-6393,-2062,587
2043,-5055,-543,-7855,-2266,216
2105,-5708,157,-9171,-2450,-116
2870,-6644,1229,-10849,-4902,-126
3346,-7844,2152,-12426,-5479,625
3774,-8924,2984,-13844,-5998,1302
3946,-10227,3982,-15244,-5365,2117
4312,-11265,5157,-16342,-4708,2656
4641,-12198,6214,-17329,-4115,3142
4509,-12814,6821,-17867,-3177,3205
4335,-13180,7124,-17986,-2587,2962
4179,-13510,7397,-18093,-2055,2744
4202,-13814,7228,-17858,-1805,2409
4223,-14088,7076,-17647,-1580,2107
4179,-14581,6764,-17369,-1138,1761
4294,-14983,6492,-16991,403,1512
4398,-15344,6248,-16651,1790,1287
3835,-15639,6082,-15963,4233,1184
3458,-15773,5774,-14999,5321,1075
