9157,-20082,4354,16003,10458,-15139
8949,-18187,2761,17680,12689,-16901
8366,-15740,1212,18969,14697,-17688
7157,-13341,-175,18897,15940,-18097
6069,-11182,-1424,18832,17059,-18466
4350,-9376,-2523,17936,17057,-18589
2255,-7816,-3606,16791,16187,-18229
369,-6411,-4581,15761,15405,-17906
-1282,-5071,-5283,14908,13882,-16975
-2770,-3864,-5915,14140,12512,-16138
-4140,-3003,-6576,14294,10877,-15314
-5852,-2515,-7653,15276,9220,-14473
-7394,-2075,-8622,16159,7730,-13717
-9352,-2047,-9994,17249,6112,-11877
-10494,-2732,-11454,17454,4100,-7413
-11521,-3349,-12768,17638,2290,-3395
-10840,-4605,-13217,16173,-342,221
-9122,-7134,-12476,13012,-1574,3475
-7576,-9410,-11809,10167,-2684,6404
-5767,-11746,-9747,5874,-1146,9041
-4305,-13372,-7775,2009,1303,11413
-2989,-14836,-6000,-1467,3509,13549
-1956,-15803,-3787,-4497,4956,15471
-1027,-16674,-1795,-7224,6259,17200
-360,-17968,70,-9363,7009,17587
