3681,-16089,-2743,-11520,-2952,-5008
4264,-15197,-1551,-11730,-443,-4335
4788,-14394,-478,-11919,1814,-3729
5291,-13844,-1240,-10685,2518,-2746
5743,-13349,-1925,-9574,3151,-1861
7294,-12939,-2204,-8695,1782,-1774
8259,-11525,-2818,-7616,2188,-2009
9128,-10253,-3371,-6644,2554,-2220
10604,-8933,-4041,-6130,2180,-3228
11568,-8059,-5199,-6001,2235,-4669
12434,-7272,-6242,-5885,2285,-5966
13176,-6956,-7727,-6186,1885,-7524
13419,-7049,-9430,-7190,466,-9030
13637,-7134,-10963,-8093,-809,-10385
13450,-7264,-11661,-9586,-2825,-11162
13130,-7962,-10562,-10675,-3166,-10774
12842,-8591,-9572,-11655,-3473,-10425
12350,-7268,-9251,-11321,-1923,-9734
12610,-5663,-9435,-10460,-2529,-8850
12844,-4219,-9600,-9686,-3075,-8053
12728,-3204,-9393,-8911,-2488,-7025
12623,-2290,-9206,-8214,-1960,-6100
12297,-2040,-8736,-7296,-1010,-5208
11767,-2320,-8225,-5781,102,-4108
11290,-2571,-7764,-4417,1104,-3118
