,accX,accY,accZ,gyroX,gyroY,gyroZ
0,10435,-9219,9759,123,-2558,-31
1,10610,-9387,9886,227,-2810,3
2,10692,-9530,10018,331,-2779,115
3,10723,-9670,10177,468,-2659,255
4,10787,-9806,10324,658,-2601,395
5,10871,-9892,10523,918,-2563,572
6,10900,-9942,10794,1252,-2422,812
7,10902,-10011,11151,1649,-2193,1118
8,10913,-10098,11562,2109,-1897,1489
9,10837,-10133,11894,2656,-1508,1935
10,10727,-10112,12195,3297,-1167,2441
11,10704,-10121,12523,4012,-924,2926
12,10816,-10143,12880,4814,-753,3410
13,11014,-10095,13257,5706,-538,3904
14,11186,-10030,13635,6672,-196,4359
15,11435,-9991,14032,7701,178,4732
16,11730,-9917,14365,8788,598,4979
17,11953,-9722,14588,9906,1105,5109
18,12119,-9450,14719,11044,1613,5112
19,12282,-9110,14726,12170,1993,4975
20,12412,-8640,14608,13247,2268,4705
21,12558,-8077,14525,14241,2518,4304
22,12673,-7508,14439,15117,2830,3777
23,12669,-6914,14280,15879,3256,3158
24,12545,-6311,14111,16543,3714,2466
25,12441,-5730,14029,17135,4121,1711
26,12325,-5137,13936,17697,4596,915
27,12141,-4483,13842,18222,5178,104
28,11768,-3756,13745,18720,5891,-660
29,11258,-2955,13636,19178,6618,-1355
30,10717,-2098,13433,19559,7299,-2010
31,10186,-1272,13203,19814,7999,-2699
32,9668,-463,12890,19988,8803,-3508
33,9145,365,12504,20067,9716,-4503
34,8380,1082,11923,19996,10572,-5431
35,7718,1822,11396,19946,10971,-6003
36,7224,2556,10909,19827,11091,-6378
37,6700,3221,10307,19546,11246,-6775
38,5923,3769,9572,19123,11387,-7242
39,5115,4287,8850,18642,11223,-7562
40,4457,4807,8327,18058,10711,-7627
41,3919,5296,8061,17340,10064,-7527
42,3362,5789,7911,16531,9475,-7302
43,2754,6315,7822,15724,8920,-7013
44,2129,6856,7808,14991,8291,-6728
45,1556,7423,7906,14405,7601,-6510
46,967,8002,8056,13920,6943,-6430
47,260,8535,8149,13520,6439,-6504
48,-590,9042,8107,13216,6097,-6585
49,-1380,9519,8023,13002,5784,-6574
50,-2131,9954,7865,12873,5476,-6541
51,-2812,10329,7588,12827,5111,-6479
52,-3339,10698,7224,12906,4643,-6412
53,-3715,10993,6877,13015,4134,-6366
54,-3997,11221,6544,13091,3697,-6347
55,-4225,11404,6171,13125,3404,-6348
56,-4517,11493,5715,13119,3219,-6372
57,-4779,11571,5261,13136,2948,-6428
58,-4941,11652,4891,13185,2533,-6559
59,-5098,11704,4557,13252,2123,-6796
60,-5347,11687,4163,13306,1801,-7105
61,-5683,11634,3738,13400,1448,-7464
62,-6046,11567,3241,13527,982,-7810
63,-6433,11487,2700,13661,419,-8103
64,-6943,11363,2046,13789,-167,-8361
65,-7659,11204,1193,13977,-874,-8653
66,-8359,10908,385,14111,-1805,-8881
67,-8973,10520,-524,14016,-2601,-8809
68,-9532,10148,-1530,13723,-3278,-8422
69,-10161,9809,-2750,13184,-3893,-7703
70,-10848,9359,-4228,12417,-4569,-6720
71,-11611,8853,-6145,11864,-5512,-5612
72,-12244,8115,-8260,11349,-6842,-4187
73,-12581,7330,-10129,10456,-8436,-2277
74,-12601,6585,-11433,8629,-10047,356
75,-12214,5860,-12189,5475,-11439,3598
76,-11390,5258,-12459,1651,-12430,6514
77,-10242,4554,-12178,-1790,-13121,9140
78,-8750,3430,-11437,-4888,-13776,11502
79,-7035,1852,-10451,-7676,-14586,13629
80,-5247,-687,-9179,-10185,-15338,15543
81,-3149,-3895,-7143,-12443,-15747,17265
