accX,accY,accZ,gyroX,gyroY,gyroZ
1463,-8462,14160,-872,805,-122
1405,-8472,14046,-896,746,-170
1421,-8585,13951,-976,571,-211
1499,-8744,14064,-1076,332,-264
1428,-8859,14121,-1126,198,-338
1285,-8987,14164,-1164,20,-400
1145,-9097,14216,-1172,-311,-433
1075,-9240,14289,-1164,-854,-422
1149,-9463,14437,-1127,-1550,-328
1299,-9751,14749,-1027,-2158,-154
1412,-10029,15155,-806,-2436,76
1488,-10272,15708,-434,-2387,345
1495,-10509,16418,120,-2052,656
1470,-10732,17177,901,-1461,1013
1421,-10928,17955,1927,-711,1421
1362,-10994,18753,3208,117,1908
1328,-11061,19551,4689,1100,2427
1247,-11013,20179,6421,2303,2935
1028,-10806,20637,8300,3729,3429
680,-10484,20912,10223,5323,3911
195,-9973,20896,12149,6904,4417
-409,-9267,20589,14033,8192,4934
-842,-8476,20318,15798,8811,5432
-1052,-7638,20028,17465,8910,5844
-1103,-6683,19586,18995,8859,6093
-1043,-5737,19046,20372,8880,6101
-826,-4873,18538,21612,9142,5903
-537,-4109,18135,22727,9855,5561
-329,-3436,17669,23731,11121,5067
-324,-2690,16837,24635,12742,4521
-391,-1894,15842,25448,14201,4004
-288,-1074,15041,26180,15284,3216
-278,-308,14200,26839,16453,1877
-594,316,13108,27124,17995,404
-1224,844,11791,27376,18906,-1074
-1982,1231,10409,27617,18790,-2151
-2642,1540,8976,28064,17350,-2692
-3549,1877,7500,28535,14574,-2760
-3919,2303,6077,28958,11301,-1715
-3814,2548,4733,29083,8491,-94
-3780,3009,3254,28920,6584,1228
-4030,3438,1940,28184,5484,1691
-4509,3788,1011,26985,4533,1621
-4987,4162,348,25642,3580,1434
-5266,4581,-216,24268,3050,1273
-5481,5045,-778,22907,3182,1054
-5659,5516,-1443,21614,4094,665
-6020,5999,-2362,20313,5570,164
-6657,6372,-3515,18864,6861,-102
-7427,6593,-5005,17457,7109,47
-8199,6806,-7022,16244,6078,569
-8685,6996,-9253,14932,3949,1317
-9003,6976,-11555,13182,1229,2182
-9320,6718,-13676,10862,-1483,3162
-9451,6110,-15585,7729,-4070,4411
-9167,5212,-16982,3680,-6580,6068
-8518,4121,-17680,35,-8801,7964
-7394,2949,-17381,-3244,-10495,9878
