,accX,accY,accZ,gyroX,gyroY,gyroZ
0,11381,-9009,8436,-406,-116,149
1,11384,-9006,8439,-403,-105,150
2,11385,-8995,8434,-403,-88,154
3,11398,-8980,8435,-413,-53,163
4,11401,-8966,8441,-437,10,180
5,11394,-8967,8471,-462,86,200
6,11392,-8946,8503,-458,116,206
7,11381,-8929,8518,-440,126,213
8,11397,-8937,8528,-418,129,220
9,11407,-8976,8528,-396,143,227
10,11386,-9024,8516,-378,166,236
11,11316,-9077,8488,-366,168,256
12,11226,-9112,8438,-346,87,291
13,11202,-9136,8452,-328,-77,326
14,11277,-9183,8592,-299,-246,328
15,11349,-9249,8771,-256,-390,318
16,11437,-9335,8942,-190,-570,291
17,11608,-9451,9142,-72,-946,208
18,11988,-9552,9514,125,-1559,17
19,12480,-9656,10024,453,-2133,-369
20,13068,-9705,10612,1000,-2573,-974
21,13778,-9664,11312,1771,-3018,-1820
22,14635,-9489,12041,2649,-3435,-2936
23,15507,-9209,12662,3622,-3711,-4372
24,16412,-8783,13069,4694,-3693,-6093
25,17206,-8294,13241,5749,-3189,-8014
26,17816,-7761,13222,6744,-2303,-10086
27,18141,-7221,13015,7628,-1168,-12203
28,18272,-6646,12597,8404,-1,-14257
29,18258,-6113,12085,9099,988,-16108
30,18173,-5571,11572,9723,1799,-17774
31,17843,-5064,11052,10210,2451,-19250
32,17415,-4511,10564,10489,2772,-20364
33,17101,-3879,10149,10569,2764,-21233
34,16784,-3178,9744,10518,2697,-21981
35,16382,-2448,9345,10366,2593,-22692
36,15846,-1693,9006,10166,2238,-23428
37,15260,-884,8756,9881,1614,-24204
38,14767,-58,8523,9544,926,-25024
39,14303,729,8293,9222,550,-25798
40,13693,1422,8008,8906,766,-26495
41,12789,2026,7683,8587,1502,-27122
42,11637,2608,7276,8328,2452,-27641
43,10499,3164,6941,8078,3308,-27942
44,9392,3701,6648,7842,4063,-28136
45,8322,4193,6411,7584,4771,-28253
46,7252,4622,6180,7327,5473,-28272
47,6168,5054,5946,7122,6115,-28214
48,5132,5453,5764,6922,6649,-28065
49,4098,5799,5603,6700,7099,-27849
50,3052,6056,5407,6470,7463,-27626
51,1977,6222,5162,6243,7750,-27383
52,777,6300,4897,6042,7970,-27062
53,-393,6340,4677,5841,8074,-26543
54,-1539,6338,4456,5623,8096,-25888
55,-2790,6237,4184,5412,8133,-25133
56,-4175,6022,3856,5318,8139,-24284
57,-5685,5806,3411,5393,8065,-23266
58,-7393,5333,2776,5630,7908,-22114
59,-9253,4920,2067,6083,7547,-20802
60,-11163,4469,1252,6569,6956,-19248
61,-13177,3934,345,7017,6089,-17265
62,-15136,3293,-455,7291,4858,-14431
63,-16792,2552,-1200,7185,3422,-10600
64,-17958,1680,-1911,6518,1972,-6263
65,-18594,810,-2537,5388,587,-2360
66,-18508,13,-2923,4021,-685,1152
67,-17493,-627,-2880,2601,-1855,4313
68,-15708,-1143,-2833,1050,-2479,7159
69,-13523,-2031,-2692,-1043,-2205,9719
70,-10843,-3900,-1930,-3680,-1439,12024
71,-6921,-5656,45,-6053,-734,14099
72,-3134,-6347,2164,-7851,585,15965
73,-575,-6338,3117,-9936,2278,17646
74,2491,-6581,5035,-12219,2836,19158
75,4900,-5608,6211,-12409,3129,20519
76,7050,-4443,7271,-12028,3042,20794
77,8420,-3591,8156,-11705,3081,19790
78,9199,-2841,8912,-11329,3203,18195
79,9681,-2182,9656,-10901,3178,16504
80,10029,-1548,10395,-10399,2998,14931
81,10232,-973,11033,-9855,2791,13494
82,10329,-483,11459,-9285,2608,12160
83,10340,-96,11674,-8700,2424,10894
84,10344,224,11709,-8104,2171,9657
85,10415,495,11611,-7539,1810,8381
86,10461,670,11346,-7102,1428,6975
87,10468,675,10967,-6907,1081,5391
88,10425,521,10526,-7033,779,3720
89,10411,129,10127,-7422,449,1975
90,10381,-470,9725,-7787,43,36
91,10308,-1141,9265,-8005,-547,-1960
92,10190,-1637,8749,-8035,-1327,-3912
93,10122,-1750,8512,-7974,-2214,-5695
94,10181,-1590,8558,-7963,-3065,-7158
95,10158,-1373,8674,-8013,-3798,-8217
96,9843,-1136,8624,-7984,-4444,-8892
97,9390,-721,8515,-7795,-5172,-9180
98,8953,-161,8627,-7629,-6017,-9003
99,8561,304,8964,-7592,-6915,-8316
100,8205,608,9296,-7474,-7815,-7125
101,7891,845,9382,-7091,-8636,-5448
102,7684,1060,9258,-6536,-9369,-3291
103,7592,1181,9055,-5972,-10161,-703
104,7892,1116,8848,-5432,-11231,2171
105,8589,807,8610,-4821,-12463,5231
106,9727,292,8297,-4166,-13985,7984
107,11074,-463,7732,-3475,-15748,10462
108,12442,-1117,7340,-2655,-17450,12693
109,13677,-1620,6905,-1955,-18097,14700
110,14894,-2223,6486,-1786,-17572,16507
111,16199,-3293,6324,-2171,-16731,18133
112,17625,-4511,6417,-2515,-15830,19468
113,18283,-5288,6310,-2345,-14755,20145
114,18077,-5913,5580,-1565,-14544,19562
115,18044,-6407,4757,-585,-16366,18582
116,18688,-6796,3931,542,-18006,18282
117,19914,-7236,3162,1681,-19482,18309
118,20824,-7662,2389,2613,-20811,18132
119,21000,-7910,1508,3208,-19270,17363
120,20657,-8179,655,3293,-16202,16090
121,19945,-8545,19,2976,-12753,14551
122,19145,-8929,-477,2433,-9265,13068
123,18278,-9355,-806,1867,-6309,11619
124,17430,-9711,-1038,1471,-4201,10268
125,16639,-9988,-1207,1240,-2965,9089
126,15994,-10275,-1277,1054,-2415,8128
127,15507,-10564,-1262,912,-2208,7303
128,15157,-10847,-1210,828,-2070,6470
129,14878,-11082,-1132,838,-1905,5541
130,14653,-11260,-998,910,-1689,4550
131,14626,-11433,-822,981,-1424,3557
132,14862,-11647,-529,1058,-1075,2589
133,15272,-11859,-171,1224,-418,1651
134,15791,-12047,208,1499,715,624
135,16376,-12288,722,1846,2241,-593
136,17008,-12545,1425,2368,4003,-2087
137,17663,-12773,2297,3146,6013,-3767
138,18062,-12912,3092,4265,8293,-5527
139,18203,-12860,3947,5788,10026,-7366
140,18421,-12621,4891,7558,10863,-9208
141,18728,-12275,5737,9445,11046,-11080
142,18988,-11776,6379,11425,10960,-13051
143,19159,-11168,6775,13424,10633,-15023
144,19473,-10276,7004,15295,9889,-16797
145,19912,-9333,7131,16756,8985,-18394
146,20218,-8363,7141,17750,8431,-19831
147,20466,-7460,7170,18304,8246,-21125
148,20566,-6716,7120,18625,8227,-22289
149,20255,-6017,6886,18905,8160,-23337
150,19613,-5306,6520,19248,7798,-24280
151,18801,-4460,6120,19576,7016,-25129
152,17828,-3618,5707,19684,5981,-25892
153,16714,-2831,5261,19476,4942,-26580
154,15448,-2148,4786,18969,4154,-27199
155,13956,-1518,4296,18262,3633,-27755
156,12384,-907,3918,17451,3208,-28257
157,10818,-365,3696,16546,2920,-28708
158,9163,54,3533,15615,2898,-29114
159,7359,281,3318,14719,3112,-29479
160,5434,409,3053,13961,3418,-29808
161,3446,468,2789,13365,3601,-30104
162,1674,498,2546,12851,3536,-29961
163,67,482,2232,12377,3401,-29351
164,-1598,334,1742,12006,3352,-28352
165,-3624,-69,1011,11714,3393,-26922
166,-5731,-478,299,11754,3207,-25171
167,-8051,-1008,-442,11793,2788,-22845
168,-10393,-1763,-1271,11561,2171,-19560
169,-12549,-2814,-2217,10963,1417,-15199
170,-14268,-3982,-3212,9954,402,-10403
171,-14976,-5098,-3732,8471,-905,-6085
172,-14904,-6183,-3939,6536,-1720,-2200
173,-14258,-6887,-3937,4326,-2207,1296
174,-12915,-7457,-3985,2066,-2650,4443
175,-10884,-8374,-3830,-479,-2974,7275
176,-7427,-9977,-2559,-3323,-3438,9824
177,-3408,-10824,-483,-5700,-3455,12119
178,117,-10404,1226,-7484,-1845,14184
179,2266,-10265,2320,-9950,-223,16042
180,5231,-10651,4383,-12231,-325,17714
181,7985,-9876,5955,-12428,-659,19220
182,10463,-8659,7129,-11796,-581,20574
183,12172,-7568,7987,-11212,-75,20816
184,13280,-6529,8668,-10567,327,20084
185,14138,-5605,9335,-9918,474,18801
186,14697,-4781,9923,-9280,706,17252
187,14959,-4072,10410,-8683,1109,15636
188,14986,-3449,10760,-8107,1554,14047
189,14898,-2930,10986,-7544,1892,12484
190,14763,-2539,11093,-6995,2082,10897
191,14648,-2307,11031,-6469,2099,9190
192,14479,-2240,10720,-6025,1941,7288
193,14298,-2385,10220,-5842,1543,5286
194,14200,-2842,9678,-5953,894,3209
195,14080,-3600,9104,-6184,216,1019
196,13851,-4395,8496,-6270,-316,-1265
197,13382,-4999,8033,-6156,-759,-3560
198,12758,-5272,7595,-5849,-1315,-5616
199,12045,-5216,7210,-5370,-2093,-7298
200,11213,-4828,6854,-4696,-3002,-8551
201,10451,-4094,6601,-4037,-4047,-9154
202,9726,-3211,6402,-3542,-5251,-9021
203,8985,-2213,6307,-3090,-6651,-8141
204,8377,-1092,6334,-2558,-8239,-6609
205,8161,14,6394,-1967,-9860,-4414
206,8302,932,6411,-1403,-11314,-1587
207,8792,1540,6362,-997,-12509,1777
208,9518,1797,6265,-734,-13346,4876
209,10448,1741,6113,-551,-13756,7665
210,11713,1481,5938,-479,-13688,10176
211,13142,949,5797,-635,-13326,12435
212,14346,98,5736,-880,-12959,14468
213,15367,-674,5586,-869,-12661,16298
214,16204,-1372,5299,-741,-12253,17945
215,17018,-2268,4964,-738,-11983,19416
216,17696,-3301,4560,-738,-12033,20384
217,18171,-4259,4086,-628,-11870,21014
218,18183,-5092,3466,-539,-11208,21548
219,18344,-6022,3025,-599,-11190,21647
220,19073,-6877,2567,-456,-12331,20826
221,20038,-7638,2040,-183,-13662,19541
222,20723,-8235,1524,258,-14215,17965
223,20835,-8523,951,610,-12600,16460
224,20344,-8798,467,624,-9511,14870
225,19536,-9077,112,429,-6081,13158
226,18623,-9340,-101,151,-2915,11437
227,17689,-9627,-201,-195,-194,9812
228,16759,-9925,-225,-550,1901,8501
229,15913,-10222,-181,-812,3186,7530
230,15183,-10492,-87,-961,3756,6806
231,14565,-10766,78,-1050,3855,6253
232,14046,-11048,251,-1097,3610,5795
233,13698,-11315,456,-1079,3027,5381
