accX,accY,accZ,gyroX,gyroY,gyroZ
12224,-8727,7027,-354,-41,186
12357,-8719,7141,-395,-164,214
12477,-8721,7245,-457,-265,222
12560,-8732,7309,-527,-374,217
12599,-8746,7354,-607,-497,208
12640,-8778,7415,-653,-617,183
12639,-8813,7463,-637,-723,137
12680,-8874,7512,-579,-912,86
12744,-8955,7572,-505,-1199,42
12820,-9043,7633,-434,-1540,-15
12863,-9148,7694,-389,-1877,-117
12911,-9309,7769,-364,-2210,-308
12986,-9508,7845,-335,-2570,-590
13059,-9742,7968,-257,-3021,-1002
13181,-9962,8124,-108,-3665,-1551
13416,-10078,8259,102,-4457,-2199
13559,-10091,8278,301,-5156,-2916
13874,-10047,8279,392,-5743,-3656
14385,-10015,8264,405,-6251,-4407
14994,-10045,8133,499,-6728,-5273
15750,-9904,7893,852,-7096,-6358
16729,-9629,7692,1444,-7228,-7729
17568,-9165,7452,2199,-7025,-9230
18309,-8561,7102,2972,-6772,-10723
19111,-7886,6604,3663,-6546,-12292
19862,-7202,6027,4261,-6092,-13986
20389,-6494,5440,4797,-5330,-15754
20757,-5760,4784,5292,-4317,-17455
20874,-4986,4096,5733,-3136,-18986
20766,-4188,3414,6099,-1913,-20364
20485,-3423,2799,6355,-707,-21605
20053,-2771,2234,6559,560,-22721
19277,-2146,1677,6811,1886,-23725
18337,-1509,1158,7082,3143,-24630
17251,-914,768,7312,4352,-25443
15967,-369,428,7564,5589,-26176
14475,173,64,7817,6869,-26835
12795,769,-395,7856,8390,-27428
10722,1238,-767,7477,9899,-27962
8713,1559,-959,7096,10607,-28442
6792,2007,-1156,6977,10777,-28875
4974,2385,-1343,6854,10570,-29148
3244,2723,-1588,6702,10111,-28858
1600,3053,-1795,6472,9466,-28092
136,3418,-1947,6119,8759,-26910
-1255,3782,-2083,5672,8131,-25404
-2675,4143,-2306,5249,7512,-23670
-4109,4476,-2651,4943,6695,-21803
-5605,4758,-3134,4821,5606,-19884
-7148,5054,-3688,4878,4237,-17913
-8643,5271,-4186,5012,2631,-15748
-10045,5453,-4675,5128,933,-13193
-11383,5499,-5347,4989,-657,-10202
-12639,5464,-6025,4395,-1994,-6762
-13595,5481,-6451,3149,-3038,-2866
-13968,5451,-6513,862,-3776,697
-13737,5034,-6484,-2281,-4229,3904
-12881,4175,-6240,-5330,-4476,6790
-10781,2376,-5525,-8073,-4954,9388
-7515,52,-3884,-10543,-5807,11726
-3814,-2135,-1630,-12765,-6373,13830
-336,-3848,671,-14765,-6066,15723
2140,-4650,2643,-16259,-4827,17428
4059,-5009,4520,-16662,-3763,18693
5632,-4830,6186,-16186,-3293,18796
6859,-4429,7691,-15334,-3075,18117
7798,-3958,8936,-14352,-2736,16955
8364,-3426,9915,-13308,-2184,15491
8714,-2914,10798,-12286,-1630,13935
8977,-2451,11611,-11303,-1163,12416
9151,-2045,12286,-10354,-717,10980
9263,-1711,12808,-9432,-272,9612
9307,-1424,13200,-8519,174,8275
9331,-1216,13497,-7624,576,6972
9285,-1037,13660,-6710,898,5696
9182,-846,13702,-5765,1103,4448
9041,-563,13653,-4797,1181,3241
8913,-291,13617,-3909,1147,2115
8749,16,13559,-3100,1057,1063
8525,460,13482,-2363,964,76
8321,815,13489,-1814,844,-804
8141,1078,13517,-1344,708,-1565
7928,1282,13480,-877,645,-2250
7591,1470,13335,-418,629,-2859
7264,1776,13169,32,502,-3406
7032,2106,13027,380,343,-3839
6746,2302,12850,564,271,-4144
6331,2454,12583,736,137,-4236
5900,2748,12257,1000,-254,-4044
5537,3131,11985,1235,-938,-3596
5387,3596,11862,1336,-1678,-2816
5269,4022,11716,1393,-2293,-1955
5169,4388,11569,1423,-2932,-1066
5143,4757,11432,1497,-3658,-55
5389,5250,11362,1622,-4409,1041
5875,5748,11385,1715,-5026,2018
6426,6112,11452,1762,-5332,2768
6922,6439,11512,1806,-5607,3443
7368,6733,11566,1844,-5855,4050
7769,6998,11615,1879,-6078,4596
8405,7285,11656,2059,-5932,4875
8977,7544,11692,2221,-5800,5125
9491,7776,11725,2366,-5682,5350
9890,7689,11753,2500,-5231,5371
10236,7491,11706,2774,-4844,5320
10491,7296,11505,3260,-4535,5207
10551,7176,11088,3914,-4316,5050
10644,7071,10614,4524,-4298,4930
10772,6905,10103,5072,-4431,4845
10833,6792,9489,5630,-4566,4823
10807,6755,8868,6050,-4703,4993
