,accX,accY,accZ,gyroX,gyroY,gyroZ
0,8,6135,-341,-687,254,
1,3273,-14775,6102,-249,-1080,161
2,3358,-14773,6102,-119,-1789,-22
3,3628,-14754,6124,59,-2793,-356
4,4128,-14720,6207,253,-3963,-921
5,4771,-14749,6306,457,-5106,-1751
6,5531,-14747,6419,731,-6177,-2808
7,6438,-14765,6506,1008,-7203,-4145
8,7504,-14775,6581,1267,-8199,-5761
9,8722,-14765,6630,1461,-9091,-7628
10,10048,-14748,6633,1550,-9761,-9708
11,11430,-14716,6603,1523,-10131,-11965
12,12815,-14606,6554,1368,-10155,-14046
13,14108,-14477,6441,1134,-9806,-15918
14,15265,-14276,6282,838,-9161,-17603
15,16243,-13966,6075,501,-8362,-19119
16,16976,-13497,5868,133,-7497,-20484
17,17393,-12845,5626,-254,-6595,-21712
18,17533,-12106,5292,-662,-5769,-22818
19,17587,-11306,4968,-1083,-5152,-23813
20,17566,-10414,4688,-1506,-4689,-24708
21,17388,-9411,4449,-1939,-4259,-25514
22,17063,-8392,4234,-2343,-3858,-26239
23,16723,-7374,4049,-2683,-3525,-26892
24,16356,-6301,3934,-2954,-3185,-27479
25,15888,-5182,3894,-3163,-2709,-28008
26,15306,-4050,3920,-3292,-2110,-28484
27,14600,-2958,3991,-3276,-1465,-28912
28,13817,-1819,4081,-3163,-853,-29298
29,12925,-687,4123,-2926,-298,-29645
30,11994,394,4205,-2625,68,-29957
31,11085,1391,4345,-2272,266,-30120
32,10169,2324,4481,-1889,436,-30073
33,9182,3187,4596,-1514,675,-29837
34,8104,3955,4652,-1148,954,-29427
35,6974,4673,4654,-792,1160,-28836
36,5859,5350,4640,-455,1195,-28075
37,4785,5982,4635,-159,1033,-27182
38,3758,6578,4625,86,743,-26187
39,2759,7148,4594,289,417,-25116
40,1809,7691,4552,467,111,-23992
41,925,8179,4509,627,-130,-22825
42,83,8605,4459,773,-279,-21635
43,-722,8968,4405,927,-350,-20447
44,-1498,9256,4334,1108,-378,-19264
45,-2195,9495,4239,1323,-407,-18087
46,-2801,9651,4145,1557,-458,-16929
47,-3321,9741,4081,1822,-505,-15813
48,-3796,9780,3995,2145,-490,-14746
49,-4263,9810,3848,2539,-425,-13707
50,-4715,9808,3672,2984,-431,-12754
51,-5137,9777,3478,3445,-571,-11850
52,-5541,9738,3212,3938,-831,-10962
53,-5928,9728,2914,4455,-1204,-10078
54,-6343,9716,2560,4950,-1720,-9171
55,-6839,9758,2167,5358,-2424,-8219
56,-7360,9874,1823,5642,-3257,-7202
57,-7823,9995,1542,5760,-4010,-6079
58,-8203,10226,1221,5690,-4497,-4742
59,-8557,10549,953,5377,-4768,-3190
60,-8910,10890,706,4781,-4977,-1459
61,-9157,11194,462,3926,-5369,401
62,-9225,11436,264,2825,-6087,2320
63,-9127,11593,232,1494,-7052,4275
64,-8812,11667,374,30,-8025,6286
65,-8254,11652,601,-1492,-8758,8337
66,-7534,11532,845,-3110,-9109,10418
67,-6744,11239,1199,-4814,-9061,12500
68,-5914,10742,1697,-6528,-8646,14527
69,-5196,10223,2084,-8220,-7914,16351
70,-4526,9551,2282,-9895,-7062,17993
71,-3563,8544,2626,-11536,-6405,19470
72,-2183,7290,3498,-12973,-5866,20800
73,-791,6145,4581,-14017,-4905,21996
74,313,5288,5624,-14721,-3278,23074
75,1194,4533,6622,-15152,-1436,24043
76,1938,3888,7751,-15324,-18,24546
77,2545,3388,8845,-15203,773,24453
78,3166,2997,9816,-14839,800,23865
79,4047,2590,10791,-14321,95,22885
80,5160,2190,11726,-13679,-811,21675
81,6238,1858,12452,-12971,-1299,20362
82,7066,1598,12935,-12293,-1166,18985
83,7629,1369,13321,-11702,-622,17568
84,7957,1144,13650,-11169,77,16167
85,8098,939,13938,-10670,758,14814
86,8136,742,14217,-10187,1288,13509
87,8148,532,14536,-9690,1586,12257
88,8162,311,14930,-9146,1656,11056
89,8144,105,15353,-8542,1533,9900
90,8145,-71,15789,-7879,1228,8801
91,8179,-238,16222,-7158,779,7759
92,8282,-377,16639,-6352,178,6745
93,8447,-495,16978,-5468,-505,5712
94,8694,-591,17245,-4528,-1177,4645
95,8980,-671,17466,-3538,-1750,3530
96,9182,-728,17546,-2509,-2200,2345
97,9297,-721,17448,-1463,-2673,1090
98,9473,-634,17270,-419,-3340,-222
99,9763,-509,17070,604,-4170,-1574
100,10104,-324,16807,1586,-4987,-2948
101,10414,-88,16480,2474,-5653,-4328
102,10696,199,16100,3244,-6108,-5686
103,10982,535,15699,3928,-6383,-7012
104,11252,909,15289,4541,-6477,-8300
105,11451,1314,14857,5065,-6345,-9552
106,11562,1713,14425,5498,-6002,-10775
107,11598,2148,14001,5904,-5528,-11968
108,11521,2621,13552,6295,-4998,-13126
109,11360,3062,13119,6711,-4506,-14233
110,11114,3606,12680,7216,-4060,-15248
111,10810,4165,12210,7707,-3633,-16206
112,10468,4703,11689,8158,-3216,-17150
113,10055,5219,11127,8565,-2772,-18076
114,9551,5695,10571,8930,-2299,-18970
115,8944,6132,9996,9267,-1850,-19841
116,8260,6572,9391,9585,-1471,-20689
117,7548,6981,8813,9861,-1188,-21500
118,6799,7344,8279,10069,-942,-22280
119,5981,7668,7750,10199,-637,-23005
120,5095,7934,7210,10245,-266,-23661
121,4179,8135,6634,10234,68,-24257
122,3239,8324,6037,10164,291,-24820
123,2237,8468,5512,10023,355,-25410
124,1245,8581,5020,9768,357,-25913
125,257,8598,4506,9387,437,-26375
126,-764,8541,3992,8874,665,-26821
127,-1924,8359,3496,8232,1131,-27160
128,-3225,8069,3073,7512,1870,-27290
129,-4677,7721,2633,6775,2842,-27160
130,-6433,7383,2179,6073,3841,-26715
131,-8355,7050,1708,5394,4496,-25809
132,-10107,6715,1307,4773,4573,-24482
133,-11366,6451,1003,4207,4190,-22689
134,-12171,6310,799,3659,3593,-20630
135,-12651,6296,617,3091,2946,-18535
136,-12953,6337,494,2540,2286,-16594
137,-13120,6381,437,2025,1695,-14877
138,-13222,6422,393,1554,1294,-13378
139,-13302,6460,358,1125,1118,-12075
140,-13414,6465,344,730,1149,-10929
141,-13626,6430,320,384,1357,-9878
142,-13973,6369,240,81,1649,-8856
143,-14383,6292,134,-172,1851,-7819
144,-14743,6219,39,-374,1875,-6738
145,-15063,6146,-74,-535,1756,-5605
146,-15357,6091,-205,-649,1524,-4396
147,-15568,6063,-318,-724,1169,-3119
148,-15641,6064,-380,-774,717,-1809
149,-15644,6096,-410,-814,252,-489
150,-15636,6156,-407,-858,-166,836
151,-15614,6267,-408,-914,-544,2166
152,-15551,6415,-404,-993,-936,3473
153,-15444,6586,-377,-1090,-1398,4723
154,-15305,6782,-318,-1240,-1872,5975
155,-15133,7019,-247,-1446,-2287,7282
156,-14886,7282,-184,-1713,-2652,8625
157,-14609,7582,-150,-2063,-2963,9999
158,-14382,7878,-180,-2518,-3259,11412
159,-14178,8129,-251,-3078,-3644,12903
160,-13837,8284,-256,-3743,-4172,14517
161,-13267,8349,-179,-4488,-4733,16279
162,-12559,8310,-59,-5318,-5140,17927
163,-11777,8170,44,-6223,-5308,19411
164,-10874,7886,121,-7218,-5351,20747
165,-9829,7361,260,-8288,-5346,21949
166,-8551,6559,519,-9366,-5244,23031
167,-7053,5637,860,-10397,-4869,24004
168,-5334,4806,1479,-11288,-3958,24881
169,-3602,4196,2200,-12142,-2077,25669
170,-2085,3589,2925,-12980,967,26379
171,-1201,3005,3637,-13788,4147,27018
172,-1017,2595,4632,-14573,7009,27593
173,-1083,2254,6065,-15367,9278,27761
174,-785,1901,7852,-15839,9484,27265
175,70,1597,9607,-15775,8085,26208
176,1361,1137,11185,-15357,6095,24709
177,2826,714,12569,-14673,4308,23019
178,4203,457,13747,-13808,3097,21344
179,5298,333,14727,-12856,2434,19695
180,6083,304,15484,-11848,2107,18060
181,6602,275,16016,-10821,1872,16420
182,6974,214,16363,-9777,1515,14794
183,7304,168,16564,-8698,950,13220
184,7627,175,16657,-7602,268,11727
185,7934,225,16686,-6541,-380,10302
186,8182,305,16671,-5555,-894,8911
187,8364,365,16619,-4655,-1291,7541
188,8508,438,16522,-3799,-1672,6197
189,8680,542,16383,-2964,-2132,4881
190,8879,683,16219,-2150,-2690,3570
191,9108,864,16059,-1377,-3302,2251
192,9371,1069,15883,-648,-3912,913
193,9688,1293,15685,40,-4510,-454
194,10040,1524,15483,679,-5051,-1852
195,10352,1759,15257,1260,-5448,-3257
196,10619,2057,14993,1802,-5703,-4641
197,10862,2421,14732,2296,-5855,-5985
198,11073,2803,14491,2739,-5889,-7270
199,11196,3184,14212,3159,-5768,-8483
200,11201,3603,13872,3587,-5567,-9619
201,11201,4078,13552,3995,-5403,-10693
202,11183,4522,13269,4323,-5190,-11733
203,11070,4914,12985,4617,-4847,-12744
204,10850,5266,12639,4946,-4414,-13724
205,10567,5690,12256,5324,-3956,-14654
206,10238,6116,11919,5686,-3465,-15533
207,9847,6482,11590,6038,-2895,-16365
208,9341,6828,11205,6403,-2258,-17167
209,8730,7187,10758,6850,-1637,-18012
210,8080,7563,10298,7309,-1091,-18808
211,7443,7887,9871,7703,-626,-19502
212,6803,8178,9459,8037,-201,-20151
213,6102,8462,9004,8344,249,-20806
214,5314,8703,8494,8603,722,-21460
215,4492,8865,7975,8817,1125,-22072
216,3668,8986,7461,8997,1387,-22643
217,2861,9063,6957,9147,1487,-23229
218,2027,9071,6427,9235,1492,-23825
219,1121,9014,5862,9254,1427,-24402
220,190,8904,5303,9182,1226,-24959
221,-721,8729,4780,9007,908,-25496
222,-1547,8503,4337,8718,649,-25995
223,-2355,8139,3849,8259,728,-26544
224,-3295,7672,3416,7643,1173,-27083
225,-4412,7090,2969,6944,1874,-27509
226,-5733,6447,2547,6212,2619,-27765
227,-7481,5782,2105,5455,3345,-27744
228,-9836,5015,1550,4681,3898,-27146
229,-12017,4224,1131,3993,3909,-25854
230,-13289,3681,1050,3434,3435,-23761
231,-13926,3491,975,2757,3008,-21090
232,-14205,3601,823,2038,2550,-18378
233,-14339,3759,687,1416,1931,-16086
234,-14319,3892,587,902,1258,-14229
235,-14170,4047,565,482,749,-12774
236,-14024,4140,558,107,581,-11670
237,-13939,4139,606,-200,767,-10836
238,-14095,4034,616,-515,1281,-10178
239,-14539,3853,540,-822,1838,-9558
240,-14987,3642,455,-1077,2057,-8880
241,-15273,3457,394,-1278,1960,-8116
242,-15421,3319,370,-1445,1790,-7283
243,-15467,3224,368,-1584,1697,-6426
244,-15447,3170,338,-1685,1719,-5598
245,-15427,3129,266,-1743,1793,-4852
246,-15464,3067,190,-1761,1858,-4183
247,-15556,2994,120,-1745,1929,-3539
248,-15671,2912,28,-1684,2075,-2871
249,-15841,2839,-117,-1589,2385,-2113
250,-16197,2775,-349,-1500,2879,-1210
251,-16646,2784,-608,-1454,3326,-119
252,-17035,2880,-877,-1442,3559,1147
253,-17315,3037,-1142,-1473,3511,2512
254,-17562,3257,-1445,-1559,3252,3957
255,-17779,3521,-1749,-1722,2858,5489
256,-17856,3808,-1990,-1977,2351,7061
257,-17771,4103,-2166,-2338,1847,8628
258,-17622,4407,-2331,-2825,1506,10221
259,-17417,4712,-2503,-3448,1362,11869
260,-17098,4995,-2650,-4221,1347,13543
261,-16644,5218,-2768,-5143,1380,15200
262,-16085,5397,-2925,-6205,1366,16810
263,-15463,5550,-3121,-7407,1214,18392
264,-14649,5658,-3265,-8755,850,19830
265,-13557,5670,-3208,-10238,302,21123
266,-12267,5618,-2953,-11803,-226,22288
267,-10920,5528,-2533,-13416,-592,23336
268,-9598,5320,-1971,-15065,-731,24279
269,-8347,5101,-1134,-16570,-676,25128
270,-7173,5005,-155,-17856,-306,25892
271,-6049,5031,745,-18963,394,26579
272,-4932,5060,1546,-20020,1384,27078
273,-3763,4804,2663,-21090,2738,27405
274,-2912,4357,4076,-21786,4570,27433
275,-2636,4040,5551,-21934,6560,27066
276,-2585,3943,7125,-21691,7899,26348
277,-2391,3865,8810,-21139,8180,25349
278,-1969,3768,10333,-20244,7615,24120
279,-1350,3682,11575,-19059,6483,22752
280,-536,3636,12564,-17712,5004,21326
281,438,3649,13350,-16285,3455,19872
282,1434,3716,13942,-14856,2175,18393
283,2265,3814,14309,-13494,1398,16882
284,2856,3924,14512,-12242,1053,15353
285,3267,4042,14640,-11103,892,13853
286,3581,4162,14746,-10053,719,12421
287,3849,4273,14824,-9074,473,11082
288,4071,4384,14889,-8162,180,9839
289,4253,4497,14965,-7325,-124,8691
290,4410,4603,15092,-6551,-461,7614
291,4547,4664,15257,-5819,-859,6598
292,4680,4723,15410,-5071,-1362,5636
293,4878,4826,15555,-4286,-2020,4713
294,5185,4964,15717,-3479,-2789,3791
295,5560,5074,15856,-2665,-3539,2819
296,5919,5167,15899,-1845,-4201,1769
297,6254,5284,15873,-1031,-4833,647
298,6582,5451,15799,-213,-5541,-551
299,6947,5627,15687,601,-6390,-1855
300,7360,5813,15535,1415,-7332,-3264
301,7796,6040,15277,2217,-8236,-4749
302,8223,6345,14950,2970,-9022,-6288
303,8619,6675,14631,3623,-9622,-7871
304,8958,6971,14304,4192,-9952,-9488
305,9171,7264,13899,4714,-9975,-11118
306,9225,7595,13406,5168,-9710,-12726
307,9151,7889,12945,5518,-9222,-14296
308,8951,7990,12553,5814,-8540,-15818
309,8556,8166,12095,6217,-7648,-17226
310,7965,8332,11542,6620,-6652,-18532
311,7230,8490,10971,6990,-5683,-19741
312,6432,8592,10410,7328,-4804,-20829
313,5620,8611,9863,7666,-4058,-21781
314,4769,8595,9305,8021,-3435,-22620
315,3812,8587,8684,8356,-2924,-23367
316,2736,8619,8027,8615,-2579,-24021
317,1664,8599,7389,8766,-2471,-24608
318,696,8521,6805,8821,-2571,-25087
319,-195,8449,6253,8779,-2722,-25431
320,-1034,8378,5754,8600,-2853,-25701
321,-1857,8232,5327,8260,-2946,-25929
322,-2580,8028,4980,7808,-2916,-26126
323,-3271,7714,4611,7237,-2599,-26381
324,-4013,7372,4229,6594,-1963,-26680
325,-4909,6968,3815,5895,-1007,-26989
326,-6041,6391,3444,5154,167,-27253
327,-7770,5756,3149,4460,1510,-27307
328,-10270,4925,2567,3804,2807,-26825
329,-12519,3983,1935,3517,3343,-25487
330,-14051,3337,1779,3400,3256,-23205
331,-14957,3173,1673,3043,3190,-20173
332,-15305,3389,1577,2526,2878,-17088
333,-15299,3672,1404,1963,2247,-14459
334,-15065,3958,1265,1499,1342,-12335
335,-14622,4181,1185,1125,400,-10729
336,-14097,4374,1213,821,-194,-9604
337,-13601,4491,1248,539,-185,-8829
338,-13265,4464,1275,269,415,-8360
339,-13265,4358,1236,1,1459,-8090
340,-13697,4185,1076,-218,2547,-7847
341,-14316,3963,873,-347,3137,-7534
342,-14803,3747,715,-379,3112,-7063
343,-15146,3568,624,-383,2780,-6424
344,-15373,3438,554,-386,2401,-5667
345,-15493,3398,450,-387,2076,-4855
346,-15538,3449,339,-401,1816,-4066
347,-15567,3492,256,-463,1624,-3384
348,-15565,3531,215,-542,1502,-2795
349,-15545,3563,185,-620,1499,-2296
350,-15595,3587,139,-692,1677,-1861
351,-15732,3595,108,-744,2005,-1432
352,-15942,3589,64,-744,2404,-962
353,-16180,3593,-46,-667,2773,-406
354,-16460,3619,-239,-511,3011,249
355,-16737,3681,-487,-293,3026,1037
356,-16925,3772,-754,-49,2756,1953
357,-17031,3943,-1021,155,2240,2985
358,-17083,4143,-1278,365,1518,4038
359,-17047,4357,-1528,565,635,5067
360,-16941,4570,-1771,699,-305,6078
361,-16839,4778,-2009,725,-1199,7091
362,-16766,4987,-2225,618,-2014,8135
363,-16631,5206,-2328,378,-2739,9218
364,-16390,5458,-2358,-30,-3169,10408
365,-16070,5725,-2303,-621,-3223,11695
366,-15781,6013,-2217,-1409,-2903,13063
367,-15517,6307,-2154,-2372,-2342,14490
368,-15150,6573,-2107,-3496,-1770,15945
369,-14585,6776,-2004,-4759,-1348,17419
370,-13877,6884,-1814,-6126,-1078,18885
371,-13035,6914,-1517,-7538,-926,20273
372,-12077,6867,-1175,-8925,-856,21522
373,-11006,6741,-731,-10208,-841,22647
374,-9847,6582,-198,-11311,-762,23659
375,-8674,6491,321,-12254,-468,24570
376,-7528,6466,823,-13154,58,25389
377,-6412,6372,1287,-14147,833,26127
378,-5353,6193,1854,-15210,1835,26791
379,-4408,5891,2513,-16325,3134,27389
380,-3481,5443,3352,-17415,4658,27926
381,-2547,4872,4497,-18348,6222,28411
382,-1784,4358,5824,-18956,7721,28700
383,-1347,3972,7117,-19186,8927,28573
384,-984,3703,8396,-19101,9351,28003
385,-364,3423,9772,-18735,8818,26991
386,502,3148,11116,-18067,7720,25609
387,1491,2912,12342,-17166,6490,23981
388,2464,2713,13435,-16147,5418,22231
389,3354,2548,14425,-15070,4628,20462
390,4066,2412,15293,-13957,4150,18725
391,4525,2305,15987,-12810,3884,17045
392,4816,2206,16523,-11636,3629,15435
393,5014,2136,16928,-10432,3262,13888
394,5169,2116,17218,-9185,2724,12379
395,5322,2119,17411,-7919,2011,10880
396,5482,2148,17502,-6663,1213,9390
397,5665,2234,17551,-5449,421,7934
398,5869,2390,17598,-4290,-312,6501
399,6051,2576,17628,-3182,-941,5069
400,6178,2798,17603,-2120,-1439,3633
401,6256,3043,17507,-1103,-1854,2213
402,6302,3312,17349,-118,-2288,833
403,6339,3605,17152,833,-2839,-509
404,6384,3923,16854,1758,-3552,-1841
405,6462,4291,16423,2638,-4438,-3181
406,6654,4661,15965,3418,-5480,-4541
407,6966,5016,15562,4091,-6542,-5924
408,7306,5323,15176,4676,-7404,-7317
409,7555,5625,14710,5205,-7960,-8725
410,7713,5971,14184,5667,-8314,-10157
411,7873,6288,13725,6030,-8584,-11623
412,8007,6506,13332,6350,-8671,-13095
413,7997,6745,12887,6727,-8461,-14527
414,7808,6997,12356,7138,-8067,-15931
415,7488,7287,11792,7572,-7642,-17299
416,7058,7610,11260,7990,-7226,-18590
417,6539,7921,10735,8380,-6784,-19780
418,5954,8200,10179,8738,-6321,-20860
419,5296,8475,9594,9039,-5868,-21852
420,4644,8710,9043,9228,-5450,-22771
421,4030,8880,8537,9283,-5008,-23608
422,3439,8963,8027,9238,-4467,-24406
423,2824,8986,7473,9087,-3778,-25160
424,2114,8933,6871,8833,-2977,-25888
425,1251,8762,6229,8498,-2187,-26576
426,332,8510,5646,8118,-1547,-27195
427,-667,8171,5090,7674,-935,-27752
428,-1686,7669,4550,7135,-174,-28254
429,-2800,7022,4070,6535,941,-28705
430,-4225,6256,3546,5919,2522,-29111
431,-6238,5474,2955,5360,4365,-29404
432,-8891,4652,2085,4886,5999,-29090
433,-11278,3799,1147,4474,6755,-27911
434,-12929,3224,617,4019,6647,-25679
435,-13916,3025,282,3331,6216,-22834
436,-14409,3058,2,2534,5431,-19947
437,-14574,3176,-275,1748,4270,-17322
438,-14544,3300,-488,1060,2919,-15031
439,-14294,3443,-541,469,1659,-13097
