,accX,accY,accZ,gyroX,gyroY,gyroZ
0,16024,6220,-1291,-485,45,-150
1,16193,6259,-1243,-525,75,-215
2,16430,6323,-1159,-589,200,-339
3,16793,6426,-1013,-671,418,-552
4,17351,6596,-802,-755,745,-913
5,18128,6835,-548,-855,1274,-1488
6,18952,7084,-212,-978,2060,-2317
7,19765,7420,185,-1054,3056,-3424
8,20465,7835,678,-1035,4214,-4840
9,20840,8211,1195,-900,5522,-6564
10,20959,8531,1669,-625,6841,-8480
11,20818,8711,2080,-244,8133,-10537
12,20372,8762,2334,188,9450,-12651
13,19664,8749,2413,622,10779,-14663
14,18726,8653,2357,1031,12034,-16473
15,17618,8501,2165,1437,13085,-18103
16,16396,8397,1896,1834,13915,-19569
17,15136,8390,1624,2173,14666,-20889
18,13889,8414,1351,2430,15420,-22020
19,12699,8419,1080,2640,16098,-22892
20,11539,8433,793,2865,16633,-23543
21,10351,8407,460,3112,16996,-23991
22,9064,8408,79,3390,17184,-24226
23,7711,8511,-325,3668,17213,-24234
24,6360,8624,-719,3878,17113,-24005
25,4999,8706,-1092,4032,16830,-23554
26,3602,8852,-1463,4234,16246,-22968
27,2234,9046,-1775,4426,15365,-22255
28,800,9273,-2079,4582,14316,-21458
29,-708,9496,-2414,4722,13155,-20562
30,-2224,9755,-2748,4879,11879,-19575
31,-3780,9964,-3108,4994,10610,-18513
32,-5389,10149,-3475,5072,9320,-17389
33,-6966,10338,-3824,5129,8045,-16252
34,-8564,10517,-4185,5175,6917,-15063
35,-10071,10638,-4556,5205,5833,-13828
36,-11413,10735,-4923,5250,4707,-12511
37,-12521,10820,-5205,5295,3488,-11087
38,-13371,10916,-5368,5316,2195,-9566
39,-13965,11032,-5430,5272,923,-7946
40,-14329,11167,-5395,5104,-202,-6236
41,-14509,11286,-5275,4762,-1095,-4463
42,-14524,11356,-5073,4237,-1784,-2668
43,-14398,11359,-4810,3543,-2318,-853
44,-14085,11294,-4508,2710,-2776,1009
45,-13586,11232,-4226,1758,-3227,2903
46,-12963,11197,-3867,618,-3733,4806
47,-12132,11178,-3300,-782,-4216,6731
48,-10952,11105,-2380,-2399,-4471,8675
49,-9559,10951,-1444,-4079,-4323,10511
50,-8369,10690,-632,-5646,-3929,12212
51,-7200,10180,55,-7040,-3629,13803
52,-5601,9382,708,-8289,-3448,15242
53,-3613,8379,1356,-9547,-2882,16468
54,-1478,7563,1993,-10859,-1490,17408
55,255,6886,2757,-12125,534,17869
56,1302,6260,3655,-12971,2588,17853
57,1663,5750,4529,-13026,3984,17428
58,1766,5578,5256,-12174,4164,16673
59,2056,5815,5825,-10624,3100,15620
60,2637,6373,6298,-8795,1359,14338
61,3267,7142,6699,-7115,-266,12969
62,3729,7946,7069,-5831,-1323,11645
63,3984,8624,7395,-4924,-1854,10409
64,4147,9221,7651,-4261,-2117,9255
65,4333,9768,7928,-3805,-2228,8169
66,4521,10174,8288,-3544,-2149,7138
67,4587,10488,8659,-3391,-1884,6162
68,4601,10840,9005,-3277,-1527,5250
69,4618,11148,9391,-3226,-1070,4402
70,4596,11342,9779,-3205,-514,3615
71,4538,11481,10105,-3145,43,2879
72,4589,11509,10477,-3058,551,2192
73,4646,11350,10813,-2920,1032,1529
74,4587,11152,10910,-2673,1398,864
75,4555,11008,10886,-2348,1469,175
76,4707,10861,10963,-2009,1235,-562
77,4945,10694,11123,-1685,901,-1366
78,4957,10540,11247,-1399,672,-2189
79,4777,10531,11198,-1135,580,-2959
80,4687,10651,10998,-931,535,-3736
81,4822,10754,10838,-824,529,-4570
82,4995,10607,10807,-782,641,-5452
83,4951,10444,10724,-587,853,-6385
84,4661,10442,10546,-204,1078,-7358
85,4229,10428,10344,217,1328,-8282
86,3636,10374,10073,638,1719,-9100
87,2883,10367,9650,1078,2251,-9805
88,2085,10371,9216,1491,2792,-10374
89,1292,10303,8828,1861,3300,-10789
90,486,10202,8449,2227,3835,-11042
91,-380,10156,7982,2605,4463,-11114
92,-1230,10088,7477,2944,5107,-10987
93,-2015,9993,6952,3249,5641,-10666
94,-2706,9954,6387,3571,5983,-10213
95,-3352,10050,5785,3907,6129,-9693
96,-3933,10206,5190,4188,6140,-9137
97,-4423,10328,4661,4366,6100,-8562
98,-4867,10454,4127,4466,6109,-7990
99,-5370,10681,3544,4521,6254,-7473
100,-5943,10905,2923,4471,6561,-7006
101,-6521,11159,2291,4362,6961,-6541
102,-7269,11434,1554,4244,7421,-6132
103,-8093,11713,812,4114,7722,-5773
104,-8904,11956,98,4006,7764,-5463
105,-9720,12204,-565,3926,7583,-5204
106,-10524,12459,-1155,3839,7275,-4972
107,-11299,12675,-1677,3718,6894,-4756
108,-12010,12869,-2104,3604,6394,-4576
109,-12681,13047,-2430,3516,5797,-4434
110,-13371,13177,-2674,3450,5150,-4328
111,-14093,13249,-2876,3409,4464,-4242
112,-14794,13266,-3064,3404,3718,-4163
113,-15441,13184,-3232,3423,2920,-4051
114,-16085,12998,-3443,3456,2091,-3840
115,-16714,12780,-3664,3489,1217,-3465
116,-17230,12535,-3841,3461,344,-2893
117,-17580,12241,-3946,3351,-502,-2119
118,-17761,11899,-3985,3161,-1389,-1115
119,-17802,11526,-3972,2915,-2367,142
120,-17712,11133,-3884,2626,-3428,1659
121,-17468,10643,-3717,2271,-4514,3428
122,-17270,10135,-3598,1837,-5478,5496
123,-16911,9729,-3272,1178,-6280,7895
124,-16228,9222,-2662,56,-6598,10382
125,-15011,8530,-1598,-1432,-6315,12621
126,-13054,7929,-492,-2945,-5752,14635
127,-10424,7390,671,-4341,-5451,16448
128,-7885,6632,1519,-5706,-5140,18080
129,-5158,5664,2558,-7141,-4537,19549
130,-2031,4942,3928,-8497,-3424,20871
131,831,4602,5203,-9703,-1525,21479
132,2651,4472,6126,-10598,847,21315
133,3414,4549,6706,-10856,2603,20562
134,3914,4857,7244,-10361,2865,19339
135,4473,5345,7843,-9345,2028,17866
136,4922,5972,8391,-8165,974,16354
137,5250,6638,8856,-7054,115,14925
138,5518,7242,9240,-6071,-541,13602
139,5789,7815,9537,-5197,-1070,12363
140,6071,8341,9750,-4450,-1434,11178
141,6303,8791,9890,-3863,-1571,10043
142,6449,9156,9981,-3421,-1508,8961
143,6530,9496,10047,-3070,-1352,7945
144,6630,9844,10100,-2783,-1164,7001
145,6767,10129,10161,-2553,-925,6123
146,6838,10336,10183,-2343,-629,5302
147,6847,10532,10143,-2110,-366,4533
148,6883,10688,10119,-1855,-210,3801
149,6955,10787,10149,-1563,-168,3076
150,6999,10889,10127,-1214,-222,2327
151,7053,11012,10035,-849,-342,1548
152,7091,11091,9917,-534,-470,744
153,7039,11114,9841,-278,-581,-56
154,6994,11190,9825,-53,-664,-813
155,7068,11286,9842,120,-678,-1566
156,7079,11340,9894,227,-572,-2349
157,6899,11405,9983,261,-268,-3096
158,6648,11385,10059,228,253,-3755
159,6475,11243,10054,231,748,-4380
160,6375,11156,9954,383,944,-5047
161,6255,11114,9848,637,829,-5757
162,6061,11085,9836,914,592,-6436
163,5906,11010,9838,1216,339,-7104
164,5756,10975,9754,1577,64,-7795
165,5550,11072,9592,1935,-168,-8483
166,5310,11209,9446,2178,-194,-9127
167,5065,11241,9341,2303,50,-9716
168,4728,11207,9232,2422,462,-10272
169,4222,11291,8979,2612,951,-10792
170,3688,11408,8623,2816,1443,-11270
171,3144,11439,8274,2957,1984,-11673
172,2543,11393,7890,3069,2632,-11998
173,1862,11352,7417,3214,3340,-12259
174,1123,11316,6857,3383,4023,-12450
175,357,11224,6279,3544,4623,-12548
176,-485,11044,5673,3698,5143,-12532
177,-1411,10836,5020,3907,5527,-12397
178,-2379,10720,4320,4199,5704,-12158
179,-3370,10696,3577,4507,5696,-11859
180,-4383,10684,2852,4758,5501,-11506
181,-5421,10648,2222,4950,5098,-11098
182,-6331,10643,1684,5113,4549,-10625
183,-7289,10648,1215,5182,4019,-10122
184,-8211,10648,825,5120,3509,-9581
185,-9073,10666,520,4942,3054,-8987
186,-9894,10719,289,4659,2680,-8346
187,-10697,10839,112,4296,2412,-7673
188,-11442,11015,-37,3894,2209,-6972
189,-12071,11242,-140,3502,1999,-6260
190,-12615,11500,-171,3147,1770,-5584
191,-13117,11769,-148,2842,1542,-4969
192,-13580,12035,-144,2604,1350,-4430
193,-14007,12287,-187,2449,1184,-3976
194,-14455,12479,-263,2369,1021,-3580
195,-14914,12633,-350,2358,826,-3187
196,-15326,12773,-467,2396,599,-2770
197,-15643,12887,-594,2449,343,-2307
198,-15894,12972,-692,2509,33,-1767
199,-16096,13045,-748,2582,-364,-1135
200,-16216,13112,-779,2654,-830,-420
201,-16231,13185,-835,2709,-1309,356
202,-16142,13271,-925,2729,-1798,1187
203,-15963,13332,-1022,2701,-2305,2056
204,-15743,13367,-1114,2632,-2862,2981
205,-15376,13333,-1123,2450,-3466,4029
206,-14866,13193,-1064,2161,-4029,5195
207,-14267,12928,-977,1761,-4493,6477
208,-13628,12613,-901,1265,-4871,7846
209,-12827,12279,-737,575,-5114,9370
210,-11818,11889,-422,-422,-5044,11032
211,-10609,11371,-24,-1731,-4555,12794
212,-9091,10829,394,-3138,-3839,14623
213,-7458,10312,947,-4524,-3147,16328
214,-5798,9759,1681,-5816,-2641,17830
215,-3803,9135,2489,-6995,-2180,19072
216,-1731,8508,3287,-8150,-1318,19889
217,-42,7907,4078,-9269,120,20244
218,1216,7429,4828,-10085,1685,20144
219,1995,7107,5576,-10436,2844,19527
220,2436,6982,6342,-10262,3284,18515
221,2835,7103,7092,-9592,2917,17267
222,3363,7431,7749,-8598,1982,15860
223,3950,7873,8275,-7540,956,14389
224,4432,8376,8656,-6621,231,12964
225,4753,8876,8955,-5944,-79,11652
226,4967,9282,9241,-5493,-59,10478
227,5105,9604,9524,-5179,139,9431
228,5186,9883,9786,-4909,372,8490
229,5248,10111,10015,-4628,558,7642
230,5300,10314,10203,-4310,678,6871
231,5325,10493,10341,-3963,762,6167
232,5312,10665,10434,-3588,801,5520
233,5283,10820,10474,-3195,786,4926
234,5266,10971,10471,-2810,741,4393
235,5259,11103,10465,-2460,694,3916
236,5247,11207,10476,-2149,662,3484
237,5191,11282,10484,-1870,658,3097
238,5125,11323,10467,-1617,676,2755
239,5091,11324,10452,-1382,679,2443
240,5118,11315,10455,-1160,654,2145
241,5196,11297,10484,-954,625,1833
242,5355,11238,10561,-753,582,1462
243,5560,11117,10657,-523,505,989
244,5755,10970,10727,-230,360,394
245,5950,10862,10771,145,105,-327
246,6234,10771,10837,563,-219,-1189
247,6549,10660,10867,979,-470,-2175
248,6790,10561,10803,1357,-556,-3237
249,6877,10531,10646,1666,-488,-4325
250,6827,10479,10481,1878,-333,-5390
251,6676,10374,10319,2043,-192,-6416
252,6380,10349,10046,2226,-132,-7392
253,5973,10493,9774,2392,-151,-8289
254,5532,10639,9590,2486,-119,-9077
255,5056,10686,9486,2483,79,-9679
256,4470,10728,9344,2517,378,-10146
257,3770,10842,9062,2640,684,-10532
258,3050,10972,8726,2822,886,-10822
259,2412,11070,8380,3040,958,-11008
260,1909,11113,8071,3291,921,-11121
261,1476,11127,7768,3585,841,-11201
262,995,11211,7404,3910,800,-11258
263,434,11372,6956,4185,906,-11285
264,-124,11493,6547,4319,1261,-11257
265,-707,11532,6156,4334,1909,-11176
266,-1396,11582,5669,4332,2725,-11067
267,-2197,11734,5052,4373,3486,-10942
268,-3018,11901,4430,4388,4053,-10775
269,-3798,12020,3873,4363,4393,-10532
270,-4577,12149,3342,4356,4519,-10236
271,-5310,12309,2885,4368,4434,-9918
272,-6035,12440,2488,4348,4229,-9621
273,-6773,12499,2194,4254,3939,-9359
274,-7572,12566,1920,4142,3618,-9126
275,-8440,12672,1631,3998,3307,-8946
276,-9353,12722,1411,3755,3054,-8805
277,-10337,12721,1234,3451,2921,-8654
278,-11431,12715,1008,3139,2937,-8455
279,-12610,12691,706,2843,3024,-8180
280,-13766,12647,395,2596,3047,-7794
281,-14800,12592,123,2440,2928,-7286
282,-15688,12520,-124,2382,2656,-6670
283,-16400,12439,-368,2429,2205,-5941
284,-16892,12368,-578,2558,1566,-5110
285,-17134,12302,-686,2715,819,-4196
286,-17150,12228,-699,2844,99,-3216
287,-16996,12154,-652,2912,-497,-2183
288,-16771,12077,-607,2902,-945,-1102
289,-16536,12015,-552,2826,-1297,37
290,-16306,11969,-505,2698,-1626,1244
291,-16016,11916,-470,2518,-1990,2521
292,-15719,11849,-507,2306,-2403,3864
293,-15422,11723,-529,2023,-2933,5317
294,-14991,11577,-520,1651,-3577,6909
295,-14379,11423,-433,1136,-4211,8622
296,-13416,11211,-133,293,-4564,10537
297,-12170,10890,316,-895,-4326,12564
298,-10773,10464,921,-2372,-3561,14584
299,-9316,9973,1425,-3857,-2711,16402
300,-7761,9246,1971,-5108,-2470,18039
301,-5710,8546,2635,-6080,-2754,19512
302,-3174,7815,3480,-7067,-2644,20837
303,-830,7212,4337,-8122,-1475,21679
304,984,6886,5009,-9063,399,21971
305,2274,6754,5523,-9707,2218,21646
306,3179,6705,6041,-9956,3449,20825
307,3772,6757,6589,-9727,3824,19650
308,4159,6972,7132,-9061,3322,18254
309,4550,7430,7626,-8102,2197,16773
310,5090,7813,8142,-7189,919,15390
311,5655,8277,8537,-6333,-108,14102
312,6177,8791,8885,-5639,-672,12826
313,6541,9181,9242,-5173,-737,11608
314,6662,9409,9539,-4829,-507,10467
315,6665,9555,9696,-4471,-300,9414
316,6736,9722,9788,-4073,-259,8452
317,6899,9892,9904,-3693,-274,7567
318,7028,10000,10035,-3351,-217,6744
319,7043,10062,10106,-3002,-140,5972
320,7015,10133,10107,-2613,-175,5241
321,7061,10221,10128,-2216,-340,4543
322,7177,10260,10210,-1842,-521,3859
323,7270,10296,10266,-1468,-639,3162
324,7318,10338,10285,-1125,-711,2455
325,7412,10366,10304,-824,-771,1731
326,7565,10331,10358,-560,-823,960
327,7741,10226,10428,-292,-879,116
328,7904,10119,10485,10,-950,-810
329,8054,10047,10531,337,-1017,-1812
330,8189,9972,10539,667,-1061,-2876
331,8310,9855,10484,987,-1057,-3984
332,8345,9816,10376,1293,-940,-5114
333,8343,9878,10303,1537,-698,-6264
334,8352,9929,10310,1725,-306,-7422
335,8283,9891,10279,1923,241,-8589
336,8049,9725,10120,2161,825,-9713
337,7624,9584,9811,2491,1337,-10740
338,6992,9534,9317,2906,1724,-11644
339,6251,9624,8758,3363,1908,-12391
340,5534,9733,8273,3811,1901,-12986
341,4876,9779,7852,4241,1807,-13453
342,4129,9890,7389,4665,1734,-13819
343,3265,10160,6847,5056,1729,-14097
344,2363,10438,6331,5348,1789,-14310
345,1478,10616,5872,5543,1956,-14445
346,560,10782,5391,5683,2233,-14492
347,-456,10971,4781,5798,2526,-14488
348,-1543,11172,4269,5889,2639,-14423
349,-2585,11357,3727,5984,2663,-14318
350,-3699,11510,3173,6017,2716,-14163
351,-4845,11583,2610,5953,2696,-13938
352,-5986,11629,2075,5853,2539,-13633
353,-7093,11592,1643,5702,2247,-13242
354,-8223,11494,1299,5528,1869,-12771
355,-9351,11396,1067,5353,1410,-12210
356,-10435,11283,941,5152,904,-11559
357,-11391,11196,906,4928,404,-10828
358,-12209,11156,927,4652,30,-10057
359,-12930,11148,945,4308,-133,-9296
360,-13591,11171,926,3932,-126,-8571
361,-14217,11234,850,3572,-36,-7890
362,-14838,11340,722,3257,70,-7242
363,-15469,11454,574,3000,154,-6617
364,-16017,11580,434,2821,180,-5966
365,-16438,11674,303,2715,140,-5277
366,-16790,11734,148,2682,29,-4534
367,-17104,11754,20,2692,-200,-3695
368,-17343,11758,-66,2708,-526,-2737
369,-17488,11726,-139,2707,-916,-1674
370,-17511,11665,-195,2676,-1388,-491
371,-17414,11586,-223,2601,-1929,817
372,-17219,11464,-219,2450,-2481,2245
373,-16965,11374,-219,2225,-2969,3820
374,-16670,11294,-215,1892,-3389,5558
375,-16346,11244,-238,1488,-3771,7351
376,-15715,11270,-141,827,-3940,9370
377,-14751,11238,205,-368,-3518,11680
378,-13461,10858,756,-2086,-2449,13789
379,-11668,10307,1245,-3796,-1414,15687
380,-9608,9638,1906,-5114,-1183,17395
381,-7557,8569,2760,-6009,-1541,18932
382,-5048,7417,3589,-6564,-1769,20315
383,-2177,6477,4410,-7145,-920,21561
384,236,5819,5119,-7887,1328,22602
385,1634,5386,5613,-8449,4095,22988
386,2250,5245,5902,-8425,5893,22640
387,2994,5492,6211,-7716,5846,21574
388,4005,6012,6544,-6682,4620,19930
389,4801,6565,6841,-5753,3363,18005
390,5218,7031,7148,-5075,2479,16084
391,5531,7524,7472,-4569,1847,14301
392,5901,8010,7848,-4216,1443,12688
393,6174,8395,8193,-3981,1342,11250
394,6258,8732,8397,-3759,1374,9960
395,6297,9038,8487,-3495,1318,8804
396,6366,9330,8537,-3192,1151,7772
397,6442,9615,8610,-2874,942,6844
398,6494,9855,8719,-2538,715,6000
399,6492,10032,8777,-2157,433,5213
400,6478,10199,8731,-1733,36,4482
401,6561,10385,8696,-1343,-430,3811
402,6724,10539,8775,-1050,-840,3169
403,6903,10641,8921,-819,-1132,2508
404,7052,10718,9025,-596,-1331,1802
405,7226,10783,9043,-378,-1494,1047
406,7460,10823,9071,-182,-1698,217
407,7734,10791,9158,34,-2009,-741
408,8023,10663,9244,329,-2475,-1853
409,8364,10555,9255,705,-3043,-3084
410,8728,10549,9158,1061,-3484,-4405
411,9018,10547,9024,1286,-3624,-5797
412,9190,10445,8928,1409,-3528,-7229
413,9160,10271,8801,1550,-3338,-8686
414,8884,10221,8565,1764,-3144,-10116
415,8372,10332,8282,1959,-2896,-11423
416,7743,10470,8030,2057,-2481,-12543
417,7090,10442,7811,2070,-1901,-13511
418,6322,10307,7507,2073,-1270,-14306
419,5418,10333,7078,2162,-751,-14950
420,4504,10549,6738,2251,-317,-15490
421,3610,10696,6529,2264,243,-15949
422,2659,10649,6427,2211,972,-16276
423,1576,10586,6229,2214,1721,-16473
424,398,10714,5836,2339,2353,-16601
425,-808,10887,5317,2452,2861,-16662
426,-1869,10934,4851,2514,3241,-16605
427,-2992,10884,4280,2643,3615,-16412
428,-4110,10760,3698,2811,3891,-15943
429,-5211,10538,3047,3014,4019,-15213
430,-6282,10382,2330,3274,3967,-14249
431,-7316,10392,1580,3551,3658,-13167
432,-8234,10562,998,3746,3103,-12060
433,-8981,10754,767,3742,2540,-10977
434,-9568,10913,784,3541,2250,-9942
435,-10091,11118,807,3215,2338,-8970
436,-10619,11330,753,2806,2660,-8098
437,-11133,11493,662,2357,2957,-7334
438,-11573,11609,618,1943,3060,-6673
439,-11939,11679,630,1595,2974,-6112
440,-12242,11731,641,1315,2758,-5644
441,-12499,11788,668,1093,2447,-5277
442,-12723,11829,726,904,2118,-4990
443,-12933,11861,780,736,1869,-4753
444,-13207,11891,802,584,1740,-4561
445,-13603,11937,767,476,1662,-4428
446,-14131,12006,675,432,1570,-4362
447,-14765,12119,494,467,1429,-4337
448,-15465,12309,242,595,1176,-4359
449,-16182,12521,-29,860,783,-4467
450,-16757,12604,-198,1155,366,-4497
451,-17173,12490,-261,1412,49,-4362
452,-17500,12147,-278,1590,-151,-3999
453,-17770,11708,-335,1691,-279,-3347
454,-17939,11207,-447,1707,-411,-2390
455,-17983,10631,-563,1620,-635,-1126
456,-18018,10037,-668,1455,-1003,418
457,-18115,9499,-720,1277,-1525,2176
458,-18174,8983,-731,988,-2058,4217
459,-18053,8525,-692,535,-2507,6572
460,-17428,8143,-548,-171,-2746,9192
461,-16229,7739,-337,-1297,-2593,11549
462,-14513,7010,260,-2824,-2241,13671
463,-12273,6319,1055,-4115,-2132,15581
464,-9809,5864,1828,-4910,-2463,17299
465,-7612,5245,2463,-5335,-3063,18846
466,-5046,4796,2989,-5505,-3455,20238
467,-2132,4572,3712,-5781,-2861,21491
468,356,4706,4289,-6247,-998,22584
469,1901,5008,4574,-6746,1411,22962
470,2756,5386,4819,-7004,3246,22713
471,3400,5770,5157,-6836,3837,21894
472,4044,6302,5475,-6191,3303,20634
473,4747,6893,5789,-5315,2162,19141
474,5412,7475,6080,-4419,937,17566
475,6032,8090,6377,-3629,-92,16038
476,6652,8678,6706,-3016,-784,14606
477,7162,9172,6998,-2580,-1100,13251
478,7476,9562,7210,-2272,-1148,11958
479,7706,9894,7326,-2029,-1110,10724
