accX,accY,accZ,gyroX,gyroY,gyroZ
-161,14681,6725,-34,2897,-409
-138,14547,6596,191,3146,-471
-158,14472,6417,444,3359,-495
-215,14463,6227,690,3503,-508
-310,14463,6048,912,3587,-524
-424,14479,5854,1133,3679,-518
-525,14534,5655,1357,3837,-473
-661,14594,5439,1562,4112,-396
-867,14666,5196,1749,4468,-298
-1129,14742,4934,1912,4778,-196
-1412,14836,4659,2051,4960,-95
-1698,14955,4369,2168,5011,7
-1999,15074,4060,2251,4953,98
-2337,15245,3698,2332,4797,160
-2726,15487,3283,2402,4549,191
-3165,15794,2844,2485,4225,184
-3684,16272,2363,2634,3863,77
-4258,16701,1858,2703,3509,-118
-4862,17070,1373,2690,3141,-356
-5476,17302,904,2622,2771,-574
-6046,17547,533,2466,2389,-668
-6547,17783,195,2257,2013,-627
-6954,17911,-104,1926,1589,-464
-7232,17951,-315,1499,1058,-163
-7349,17887,-448,992,418,281
-7242,17705,-477,386,-291,904
-6988,17455,-444,-317,-940,1703
-6662,17215,-375,-1134,-1440,2669
-6279,16924,-178,-2193,-1793,3780
-5802,16551,155,-3455,-2007,5000
-5180,16178,695,-4746,-2130,6279
-4489,15859,1309,-5991,-2118,7588
-3982,15668,1810,-7122,-2099,8932
-3779,15501,1960,-8251,-2269,10352
-3377,15079,2149,-9552,-2857,11895
-2439,14187,2624,-11019,-3660,13526
-1077,12915,3336,-12420,-4135,15162
224,11337,4119,-13628,-3883,16659
1383,9846,4849,-14448,-3018,18006
2591,8527,5630,-14818,-1985,19027
3808,7402,6411,-14733,-858,19609
4752,6510,7069,-14247,393,19764
5329,5863,7578,-13501,1526,19501
5758,5414,8013,-12606,2106,18814
6244,5016,8464,-11677,2024,17756
6782,4719,8913,-10723,1524,16467
7324,4562,9339,-9774,888,15074
7852,4475,9765,-8895,298,13647
8331,4416,10177,-8108,-122,12240
8730,4380,10577,-7403,-329,10883
9024,4369,10954,-6770,-345,9594
9193,4381,11306,-6203,-229,8382
9270,4430,11626,-5681,-58,7263
9336,4482,11947,-5197,88,6243
9405,4516,12259,-4729,204,5317
9422,4534,12511,-4249,301,4462
9382,4516,12688,-3755,325,3661
9351,4450,12848,-3241,233,2895
9356,4382,13000,-2697,81,2148
9381,4294,13154,-2144,-34,1393
9353,4151,13250,-1579,-66,601
9306,3992,13288,-970,-89,-249
9264,3842,13278,-318,-140,-1182
9213,3675,13247,357,-184,-2183
9206,3478,13210,1066,-267,-3249
9332,3339,13171,1830,-456,-4384
9555,3368,13123,2613,-639,-5560
9749,3518,13072,3316,-639,-6719
9781,3654,12938,3963,-422,-7870
9610,3896,12716,4633,-124,-8984
9332,4422,12399,5349,146,-9989
9051,5118,12066,5989,403,-10856
8716,5765,11741,6469,763,-11600
8275,6336,11421,6868,1297,-12211
7700,6916,11051,7263,2001,-12676
7032,7592,10565,7675,2810,-12995
6307,8352,9976,8048,3598,-13187
5543,9097,9395,8318,4275,-13293
4772,9584,8888,8411,4817,-13343
3989,9920,8395,8461,5265,-13278
3262,10136,7820,8559,5617,-13027
2624,10217,7229,8639,5797,-12518
2074,10259,6627,8689,5827,-11758
1548,10357,5975,8707,5776,-10822
998,10596,5305,8661,5687,-9757
357,11069,4603,8518,5605,-8585
-348,11731,3954,8246,5468,-7359
-1048,12450,3427,7861,5211,-6159
-1686,13144,3020,7384,4862,-4993
-2212,13775,2727,6854,4456,-3873
-2584,14358,2560,6302,4046,-2815
-2830,14881,2498,5722,3748,-1858
-3036,15349,2477,5129,3624,-1031
-3216,15797,2446,4592,3554,-382
-3304,16202,2447,4091,3386,85
-3291,16539,2518,3582,3126,385
-3237,16751,2649,3080,2856,508
-3157,16845,2775,2656,2622,487
-3003,16876,2879,2343,2440,383
-2786,16887,2933,2112,2362,235
-2629,16877,2917,1929,2421,33
-2601,16830,2831,1782,2516,-219
-2641,16751,2713,1675,2463,-495
-2678,16661,2610,1604,2210,-762
-2704,16586,2530,1572,1839,-1002
-2720,16586,2466,1569,1468,-1202
-2795,16585,2388,1537,1190,-1391
-2944,16614,2285,1502,978,-1575
-3104,16677,2187,1479,769,-1763
-3267,16754,2088,1459,604,-1961
-3472,16851,1965,1445,499,-2169
-3715,16962,1788,1431,364,-2394
-3951,17090,1588,1442,90,-2647
-4135,17211,1390,1476,-322,-2923
-4306,17311,1206,1524,-771,-3204
-4500,17369,1022,1576,-1167,-3460
-4694,17397,841,1628,-1477,-3654
-4891,17358,632,1681,-1709,-3796
-5102,17243,423,1694,-1889,-3840
-5347,17092,188,1667,-2019,-3744
-5640,16922,-96,1565,-2163,-3486
-6000,16754,-410,1340,-2420,-3074
-6383,16616,-699,1010,-2866,-2503
-6790,16568,-1003,574,-3448,-1722
-7203,16556,-1247,-60,-4092,-731
-7527,16500,-1375,-955,-4647,532
-7659,16416,-1368,-2116,-4926,2124
-7509,16311,-1137,-3541,-4878,3967
-7026,16109,-610,-5315,-4608,5912
-6274,15780,190,-7313,-4172,7885
-5460,15350,1034,-9164,-3798,9806
-4911,14680,1657,-10721,-3869,11682
-4377,13652,1888,-12100,-4642,13560
-3460,11988,1939,-13420,-5996,15145
-1621,9698,2646,-14720,-7364,16484
922,7981,3651,-15344,-7652,17638
3310,6795,4714,-15594,-6199,18350
4743,5923,5622,-15534,-3250,18478
5189,5298,6338,-15155,-45,18138
5039,4870,6923,-14358,2208,17467
4784,4679,7457,-13306,2990,16624
4795,4547,8049,-12200,2312,15538
5151,4549,8682,-11050,807,14337
5734,4648,9349,-9993,-767,13087
