,accX,accY,accZ,gyroX,gyroY,gyroZ
0,172,,,,,
1,10411,-10071,8332,-483,-37,183
2,10409,-10072,8332,-500,-24,196
3,10402,-10072,8331,-522,-7,209
4,10387,-10073,8327,-547,3,225
5,10375,-10078,8319,-575,3,249
6,10363,-10080,8307,-607,0,287
7,10352,-10089,8301,-645,6,337
8,10395,-10105,8338,-681,15,380
9,10440,-10113,8379,-712,52,419
10,10474,-10124,8410,-729,113,450
11,10494,-10148,8418,-743,171,475
12,10477,-10165,8386,-766,221,489
13,10345,-10178,8284,-796,263,485
14,10190,-10232,8193,-812,243,445
15,10147,-10331,8173,-794,122,355
16,10127,-10438,8193,-726,-14,246
17,10123,-10563,8234,-628,-159,126
18,10099,-10789,8267,-545,-368,-10
19,10221,-11103,8376,-482,-844,-198
20,10452,-11428,8492,-467,-1552,-414
21,10674,-11708,8529,-504,-2301,-653
22,10795,-11938,8401,-610,-3006,-944
23,10830,-12120,8148,-814,-3805,-1282
24,10835,-12324,7815,-1160,-4926,-1593
25,10785,-12506,7362,-1676,-6479,-1800
26,10677,-12587,6740,-2316,-8421,-1893
27,10485,-12537,5913,-3039,-10764,-1882
28,10260,-12434,4900,-3854,-12964,-1777
29,10066,-12305,3793,-4734,-14944,-1580
30,9960,-12091,2641,-5542,-16726,-1294
31,9871,-11836,1478,-6280,-18331,-942
32,9852,-11569,348,-6886,-19774,-538
33,9927,-11295,-871,-7258,-21073,-96
34,10038,-10978,-2076,-7344,-22243,335
35,10037,-10673,-3280,-7219,-23295,644
36,9786,-10306,-4618,-6918,-24242,767
37,9348,-9888,-5944,-6587,-25095,649
38,8928,-9457,-7255,-6290,-25862,358
39,8605,-9002,-8413,-5994,-26553,-40
40,8278,-8545,-9330,-5682,-26760,-497
41,7869,-8120,-10070,-5406,-25868,-930
42,7288,-7700,-10696,-5176,-24096,-1312
43,6541,-7281,-11281,-4995,-21876,-1614
44,5784,-6925,-11848,-4835,-19766,-1828
45,5025,-6631,-12518,-4661,-17980,-1841
46,4119,-6403,-13498,-4502,-16471,-1604
47,3171,-6321,-14598,-4511,-15193,-1073
48,2161,-6353,-15818,-4730,-14120,-275
49,1039,-6463,-17043,-5127,-13314,651
50,-29,-6625,-17985,-5736,-12658,1714
51,-1215,-6726,-18901,-6564,-11803,2911
52,-2257,-6852,-19517,-7650,-10764,4197
53,-3129,-6965,-19916,-8925,-9499,5484
54,-3787,-7128,-20008,-10373,-8046,6702
55,-4465,-7295,-20089,-11970,-6491,7865
56,-5149,-7428,-20081,-13668,-5098,8948
57,-1515,-8491,-15412,-15348,-3932,9919
58,-346,-9708,-12733,-15787,-262,9840
59,-1587,-10010,-13602,-14811,3040,9037
60,-2056,-8895,-14585,-13399,3501,8507
61,-444,-8111,-13892,-13251,2531,8915
62,-303,-7220,-13501,-12656,2667,8685
63,-482,-6090,-13446,-11572,2954,8157
64,-436,-5271,-13443,-10536,2251,7849
65,-476,-4516,-13559,-9314,747,7388
66,-580,-3752,-13817,-8076,-798,6929
67,-795,-3088,-14148,-7011,-1997,6547
68,-972,-2497,-14414,-6101,-2860,6229
69,-1134,-1886,-14651,-5293,-3426,5903
70,-1260,-1283,-14818,-4563,-3698,5559
71,-1376,-767,-14956,-3926,-3630,5202
72,-1531,-359,-15141,-3377,-3243,4847
73,-1603,-54,-15298,-2924,-2634,4495
74,-1604,158,-15427,-2566,-1848,4151
75,-1522,334,-15525,-2270,-972,3821
76,-1310,462,-15511,-2012,-75,3519
77,-1021,559,-15422,-1734,875,3237
78,-603,594,-15250,-1381,1924,2942
79,11,471,-14920,-939,3148,2635
80,785,106,-14398,-359,4696,2351
81,1545,-387,-13869,520,6786,2014
82,2096,-969,-13483,1778,9385,1525
83,2387,-1581,-13259,3385,11723,954
84,2604,-2209,-13143,5278,13827,533
85,2881,-2760,-12986,7444,15721,457
86,3210,-3190,-12847,9801,17426,733
87,3737,-3529,-12751,12074,18960,1386
88,4697,-4232,-12583,13915,20341,2458
89,5753,-4915,-12269,15459,21583,4063
90,6585,-5355,-11832,16802,22702,5846
91,7242,-5555,-11215,17621,23708,7543
92,7740,-5849,-10377,17484,24614,9258
93,7829,-6303,-9543,16284,25429,11038
94,7454,-6986,-8651,14568,26163,12374
95,7211,-7798,-7801,12610,24314,13515
96,7769,-8885,-6933,10669,20467,14593
97,8872,-10259,-6144,8926,15922,15680
98,9989,-11567,-5470,7580,11711,16733
99,10868,-12525,-4975,6518,8216,17466
100,11481,-13298,-4488,5510,5324,17572
101,11970,-13935,-3914,4607,3330,16928
102,12203,-14330,-3356,3937,2397,15791
103,12020,-14405,-2869,3555,2280,14441
104,11591,-14271,-2426,3351,2612,13152
105,11067,-14159,-2020,3191,2870,12065
106,10507,-14102,-1678,3025,2764,11227
107,9954,-14115,-1392,2813,2181,10570
108,9450,-14171,-1100,2538,1185,10039
109,9031,-14301,-844,2187,12,9617
110,8652,-14497,-632,1788,-1069,9280
111,8284,-14721,-438,1372,-1931,8989
112,7989,-14980,-263,980,-2552,8733
113,7781,-15221,-78,695,-2868,8499
114,7493,-15431,81,526,-2750,8172
115,7034,-15585,171,457,-2339,7738
116,6519,-15701,233,447,-1954,7243
117,6003,-15729,272,518,-1715,6761
118,5508,-15674,294,649,-1563,6301
119,5097,-15625,303,742,-1500,5882
120,4754,-15632,311,767,-1578,5546
121,4433,-15626,323,764,-1812,5299
122,4151,-15634,359,717,-2196,5128
123,4007,-15669,406,648,-2635,5024
124,3990,-15722,468,578,-2953,4960
125,4015,-15786,516,530,-3019,4914
126,4011,-15847,512,521,-2829,4862
127,3958,-15908,487,530,-2488,4779
128,3880,-15966,421,532,-2134,4632
129,3844,-16010,343,488,-1960,4385
130,3893,-16057,253,354,-2115,3992
131,4084,-16149,46,99,-2611,3452
132,4460,-16312,-391,-319,-3513,2718
133,4971,-16550,-1070,-1003,-4935,1690
134,5574,-16932,-1971,-2111,-6879,374
135,6220,-17479,-3107,-3724,-9234,-1122
136,6757,-18122,-4394,-5853,-11588,-2762
137,7146,-18747,-5786,-8446,-13705,-4449
138,7356,-19223,-7257,-10879,-15612,-6017
139,7342,-19479,-8614,-13067,-17327,-7338
140,7140,-19525,-9873,-15037,-18871,-8294
141,6841,-19432,-10960,-16810,-20261,-8765
142,6391,-19297,-11857,-18406,-21511,-8706
143,5860,-19096,-12460,-19842,-22637,-8160
144,5366,-18794,-12798,-21135,-23403,-7191
145,5035,-18387,-12849,-22298,-23701,-5888
146,4756,-17839,-12747,-23345,-23402,-4392
147,4389,-17191,-12554,-24287,-22538,-2874
148,4669,-16436,-11673,-25135,-21273,-1366
149,5903,-16461,-9248,-25249,-18781,-496
150,6076,-15545,-8720,-24323,-15265,-84
151,5489,-14098,-9157,-23040,-12972,-196
152,5314,-12223,-9304,-21431,-11828,-334
153,4942,-10980,-9110,-20174,-10953,-172
154,4219,-9611,-9219,-18571,-9907,-96
155,3789,-8349,-9463,-16876,-9387,13
156,3514,-7352,-9786,-15290,-9242,188
157,3146,-6383,-10240,-13671,-9039,303
158,2788,-5536,-10648,-12162,-8706,445
159,2571,-4806,-10975,-10766,-8150,667
160,2568,-4152,-11172,-9391,-7239,815
161,2806,-3626,-11224,-7950,-5860,789
162,3245,-3292,-11127,-6385,-3874,657
163,3730,-3179,-10936,-4633,-1122,419
164,4123,-3213,-10739,-2602,2266,101
165,4350,-3335,-10614,-273,5316,-165
166,4475,-3556,-10632,2295,8062,-208
167,4649,-3867,-10781,5010,10532,122
168,4857,-4205,-10857,7744,12756,881
169,4983,-4512,-10905,10246,14757,2044
170,5056,-4793,-10911,12498,16558,3579
171,5283,-5224,-10626,14039,18179,5486
172,5774,-5911,-10141,14753,19638,7782
173,6334,-6801,-9631,14905,20950,10235
174,6716,-7603,-9134,14851,22066,12488
175,7310,-8625,-8632,14459,21879,14516
176,8090,-9993,-8050,13697,20511,16282
177,8882,-11434,-7499,12841,18422,17664
178,9576,-12576,-6978,11991,16019,18591
179,10163,-13506,-6409,11117,13565,19022
180,10633,-14205,-5800,10310,11488,19001
181,10855,-14666,-5259,9600,10161,18623
182,10805,-14891,-4773,8932,9291,17998
183,10600,-15019,-4298,8187,8567,17345
184,10327,-15141,-3828,7378,7796,16788
185,10063,-15273,-3356,6561,6888,16252
186,9793,-15380,-2928,5821,5955,15686
187,9496,-15435,-2562,5187,5148,15051
188,9164,-15471,-2243,4614,4536,14299
189,8772,-15560,-1922,4040,4036,13483
190,8366,-15684,-1641,3506,3498,12711
191,7975,-15764,-1401,3065,2902,11975
192,7602,-15832,-1206,2675,2307,11249
193,7251,-15898,-1032,2324,1732,10523
194,6908,-15942,-867,2009,1194,9790
195,6573,-15976,-693,1708,682,9061
196,6243,-16034,-518,1402,175,8347
197,5898,-16087,-373,1111,-339,7630
198,5560,-16103,-245,850,-870,6923
199,5283,-16100,-114,602,-1397,6250
