accX,accY,accZ,gyroX,gyroY,gyroZ
14419,-5791,6548,-711,334,55
14366,-5812,6542,-730,341,97
14232,-5837,6508,-772,371,152
14062,-5910,6466,-832,366,246
14087,-6007,6541,-884,254,386
14166,-6000,6623,-877,145,522
14220,-5977,6632,-856,88,661
14297,-5946,6623,-822,-21,798
14356,-5940,6610,-790,-156,933
14399,-5952,6606,-760,-296,1076
14427,-5969,6596,-723,-443,1219
14401,-6002,6558,-691,-586,1379
14345,-6084,6496,-671,-765,1567
14249,-6212,6434,-658,-1007,1786
14153,-6370,6387,-631,-1307,2026
14053,-6558,6349,-586,-1608,2285
14089,-6853,6353,-548,-1916,2567
14336,-7265,6237,-514,-2288,2796
14617,-7647,6052,-455,-2671,2891
14905,-7998,5916,-408,-2983,2860
15117,-8313,5743,-388,-3134,2724
15269,-8573,5497,-388,-3248,2479
15347,-8827,5144,-426,-3578,2158
15450,-9013,4687,-463,-4396,1742
15722,-9039,4201,-523,-5644,1280
15959,-8967,3637,-673,-7064,762
16043,-8829,2928,-908,-8726,234
16026,-8621,2113,-1246,-10846,-237
15989,-8345,1203,-1691,-13038,-583
15917,-8063,220,-2245,-15011,-773
15767,-7759,-746,-2810,-16787,-792
15603,-7360,-1600,-3344,-18385,-615
15533,-6845,-2279,-3844,-19823,-309
15481,-6362,-2879,-4294,-21117,51
15305,-5952,-3439,-4650,-22282,411
14947,-5582,-3996,-4878,-23331,746
14315,-5267,-4574,-4977,-24183,1107
13492,-5064,-5190,-4960,-24730,1537
12667,-4977,-5834,-4813,-25209,2066
11956,-4961,-6426,-4521,-25634,2666
11318,-5015,-6996,-4120,-25798,3272
10648,-5130,-7714,-3609,-25517,3830
9953,-5289,-8697,-3048,-24844,4281
9231,-5487,-9877,-2602,-23847,4600
8476,-5722,-11134,-2437,-22549,4789
7824,-5914,-12237,-2574,-21029,4855
7167,-6036,-13314,-2986,-19271,4841
6475,-6124,-14232,-3659,-17430,4799
5869,-6079,-14966,-4459,-15652,4765
5299,-5892,-15580,-5302,-13966,4738
4809,-5673,-15949,-6217,-12416,4744
4384,-5379,-16264,-7123,-10991,4795
4015,-5035,-16603,-8003,-9719,4869
3620,-4567,-17006,-8873,-8626,4937
3207,-4041,-17528,-9794,-7755,4978
2857,-3626,-18197,-10792,-7113,4960
2564,-3245,-18886,-11927,-6451,4943
4049,-3309,-15397,-13051,-4896,5077
2411,-5033,-15550,-13722,-2054,4729
1366,-5259,-16278,-12699,-1583,3951
2184,-4659,-15792,-11981,-1739,4553
2222,-3565,-15164,-11604,-1233,5478
1964,-2622,-14828,-11061,-585,5992
1928,-1857,-14671,-10156,-267,6167
1979,-1372,-14568,-9410,-172,6231
2167,-900,-14476,-8670,-143,6164
2246,-566,-14352,-8001,16,5990
2309,-336,-14182,-7309,248,5721
2433,-137,-13921,-6543,546,5403
2585,-25,-13651,-5723,993,5064
2742,21,-13593,-4820,1576,4751
3022,82,-13638,-3791,2275,4454
3510,85,-13671,-2593,3124,4084
4195,-45,-13622,-1384,4230,3577
5002,-145,-13543,-108,5735,2937
5658,-263,-13449,1169,7672,2303
6047,-526,-13286,2374,10133,1717
6258,-861,-13100,3670,12396,1178
6386,-1162,-12914,5056,14433,789
6485,-1513,-12681,6308,16267,818
6586,-1931,-12348,7373,17917,1323
6712,-2330,-11974,8348,19402,2216
7003,-2778,-11636,9175,20738,3479
7648,-3395,-11269,9766,21941,5053
8434,-4095,-10855,10128,22354,6851
9056,-4722,-10456,10343,21921,8775
9477,-5327,-10129,10427,20808,10741
10009,-5975,-9942,10399,19063,12660
10821,-6894,-9889,10274,16644,14334
11577,-7829,-9975,10078,13597,15663
12183,-8589,-10013,9919,9902,16518
12855,-9180,-9763,9787,5915,16957
13443,-9495,-9320,9707,2359,17182
13865,-9719,-8816,9651,-114,17144
14131,-9955,-8394,9597,-687,16926
14068,-10228,-8071,9588,558,16508
13706,-10381,-7780,9573,2408,16030
13133,-10817,-7543,9318,3831,15513
12403,-11327,-7281,9105,4305,15058
