,accX,accY,accZ,gyroX,gyroY,gyroZ
0,12887,-8569,6834,-228,227,65
1,12914,-8526,6853,-244,262,82
2,12947,-8494,6879,-276,318,110
3,13010,-8475,6945,-299,389,122
4,13025,-8451,6999,-314,458,132
5,12992,-8439,7029,-330,498,148
6,12926,-8457,7017,-352,515,184
7,12819,-8505,6962,-384,531,236
8,12709,-8564,6910,-428,498,309
9,12649,-8642,6918,-477,399,387
10,12662,-8758,7000,-498,247,442
11,12721,-8887,7049,-482,3,478
12,12772,-9064,7051,-454,-339,485
13,12800,-9253,7107,-416,-791,491
14,12837,-9446,7202,-364,-1286,432
15,12794,-9641,7280,-345,-1700,286
16,12676,-9875,7290,-427,-2140,93
17,12522,-10153,7156,-607,-2744,-88
18,12365,-10416,6902,-809,-3563,-249
19,12177,-10618,6621,-1012,-4569,-388
20,11916,-10755,6291,-1255,-5749,-493
21,11654,-10847,5879,-1593,-7171,-507
22,11472,-10874,5377,-2008,-8832,-400
23,11310,-10845,4760,-2417,-10657,-206
24,11205,-10803,4088,-2778,-12630,-11
25,11126,-10710,3347,-3007,-14644,147
26,11119,-10551,2561,-3065,-16456,297
27,11115,-10316,1710,-2945,-18087,482
28,11115,-10028,808,-2704,-19555,689
29,11159,-9715,-72,-2363,-20876,931
30,11209,-9402,-893,-1949,-22065,1227
31,11265,-9102,-1634,-1485,-23135,1570
32,11283,-8836,-2465,-949,-23956,1925
33,11302,-8587,-3397,-347,-24321,2258
34,11388,-8404,-4309,230,-24260,2518
35,11462,-8256,-5210,771,-23773,2651
36,11396,-8112,-6243,1271,-22992,2646
37,11205,-7971,-7402,1682,-22192,2544
38,11094,-7886,-8577,1909,-21516,2393
39,11060,-7849,-9740,1921,-20743,2234
40,10926,-7816,-10923,1754,-19670,2000
41,10624,-7765,-12159,1366,-18383,1689
42,10136,-7709,-13429,693,-17102,1358
43,9583,-7663,-14649,-302,-15997,1119
44,8970,-7632,-15833,-1577,-14992,1023
45,8251,-7638,-16949,-3077,-14011,1063
46,7372,-7694,-18075,-4765,-13034,1259
47,6447,-7824,-19261,-6671,-12181,1654
48,5555,-8093,-20383,-8861,-11588,2268
49,4664,-8403,-21362,-11251,-11215,3048
50,3874,-8766,-22007,-13403,-10855,3981
51,3297,-9123,-22183,-15339,-10148,5148
52,2614,-9546,-22416,-17082,-8866,6520
53,4025,-11331,-17654,-18650,-7367,7125
54,5048,-12161,-16065,-18787,-5865,6719
