accX,accY,accZ,gyroX,gyroY,gyroZ
18,10604,-672,-283,289,
9302,-9127,10874,-676,-600,339
9356,-9334,11079,-604,-1053,388
9539,-9672,11247,-423,-1689,381
9937,-10031,11431,-96,-2492,198
10437,-10446,11482,278,-3425,-232
11053,-10902,11431,540,-4697,-911
11816,-11339,11253,560,-6411,-1831
12686,-11752,10903,213,-8421,-2965
13438,-11949,10086,-547,-10311,-4256
14062,-12007,8768,-1945,-11956,-5619
14562,-11881,7208,-3837,-13330,-7106
14769,-11379,5650,-5926,-14321,-8846
14559,-10571,4203,-8193,-15085,-10778
14202,-9692,3092,-10650,-15938,-12481
13772,-8951,2431,-12862,-16874,-13652
13268,-8378,2188,-14852,-17784,-14233
12901,-7873,2168,-16644,-18652,-14317
12779,-7465,2242,-18256,-19449,-13944
13121,-7134,2438,-19193,-19993,-13307
13492,-6701,2586,-19227,-19848,-12585
13849,-6232,2595,-18600,-19173,-11939
14250,-5821,2540,-17613,-18298,-11396
14759,-5358,2310,-16171,-17258,-10760
15305,-4938,1983,-14544,-15950,-10135
15494,-4421,1496,-12741,-14111,-9597
15212,-3856,801,-10984,-11999,-9050
15011,-3376,147,-9500,-10218,-8425
14865,-2877,-528,-8168,-8709,-7748
14803,-2290,-1205,-6958,-7416,-7057
14731,-1563,-1892,-5884,-6252,-6328
14575,-811,-2638,-5073,-5288,-5536
14756,-72,-3259,-4583,-4447,-4708
14769,609,-3603,-4310,-3211,-3970
14785,1052,-3441,-4180,-2040,-3334
15272,1159,-3058,-3976,-1482,-2948
16019,1037,-2838,-3577,-1299,-2906
16629,771,-2683,-2982,-1109,-3125
17026,463,-2411,-2232,-869,-3479
17126,147,-2014,-1331,-493,-3809
16935,-27,-1626,-165,-4,-4065
16743,-81,-1453,1195,415,-4185
16703,-50,-1577,2631,789,-4184
16687,34,-1941,4044,1248,-4104
16636,219,-2481,5427,1750,-4002
16543,477,-3121,6700,2222,-3895
16401,815,-3844,7781,2656,-3766
15970,1157,-4700,8586,2999,-3604
15805,1409,-5344,9003,2969,-3380
15861,1575,-5771,9194,2771,-3219
15925,1720,-6150,9310,2632,-3146
15998,1858,-6518,9314,2534,-3139
15966,1987,-6651,9224,2559,-3168
16004,1935,-6474,9002,2628,-3126
16084,1600,-5831,8798,2764,-3034
16151,1324,-5470,9006,3008,-3046
16049,1012,-5287,9434,3192,-3122
15763,761,-5254,9996,3376,-3152
