,accX,accY,accZ,gyroX,gyroY,gyroZ
0,-9673,-11260,-313,-135,-55,
1,-7037,-9686,-11265,-290,-142,-63
2,-7038,-9703,-11274,-257,-161,-70
3,-7035,-9720,-11285,-214,-166,-76
4,-7044,-9736,-11300,-170,-136,-78
5,-7058,-9754,-11320,-136,-93,-75
6,-7065,-9770,-11338,-117,-65,-66
7,-7067,-9784,-11349,-109,-45,-56
8,-7065,-9798,-11356,-108,-11,-39
9,-7057,-9807,-11353,-111,49,-15
10,-7048,-9810,-11348,-118,127,17
11,-7039,-9812,-11340,-132,203,62
12,-7028,-9816,-11327,-155,267,110
13,-7015,-9822,-11312,-186,316,153
14,-7002,-9836,-11299,-225,348,197
15,-6990,-9847,-11282,-272,359,239
16,-6973,-9844,-11259,-329,347,270
17,-6962,-9829,-11230,-396,315,290
18,-6950,-9811,-11193,-468,265,305
19,-6931,-9797,-11155,-533,207,319
20,-6908,-9785,-11115,-579,160,337
21,-6895,-9781,-11084,-599,136,358
22,-6886,-9787,-11064,-589,130,380
23,-6871,-9801,-11053,-548,131,401
24,-6852,-9820,-11049,-478,154,416
25,-6831,-9840,-11050,-383,214,429
26,-6814,-9850,-11059,-271,304,439
27,-6801,-9855,-11073,-149,401,450
28,-6777,-9858,-11093,-25,491,467
29,-6740,-9857,-11116,94,582,491
30,-6694,-9853,-11142,209,683,519
31,-6650,-9844,-11169,316,789,545
32,-6608,-9828,-11201,413,894,568
33,-6583,-9811,-11246,498,1000,589
34,-6559,-9788,-11302,580,1112,607
35,-6536,-9765,-11362,663,1250,614
36,-6512,-9736,-11425,750,1457,613
37,-6502,-9694,-11490,833,1756,604
38,-6507,-9634,-11575,902,2118,598
39,-6493,-9564,-11668,952,2481,599
40,-6471,-9491,-11768,983,2827,604
41,-6406,-9426,-11856,1000,3176,619
42,-6309,-9383,-11938,1022,3557,632
43,-6249,-9375,-12029,1043,3989,655
44,-6182,-9409,-12123,1055,4453,701
45,-6100,-9457,-12174,1043,4924,766
46,-6029,-9561,-12196,954,5335,871
47,-5864,-9780,-12224,806,5586,1021
48,-5700,-9961,-12259,577,5617,1236
49,-5529,-10083,-12246,291,5435,1530
50,-5319,-10218,-12186,36,5140,1847
51,-5242,-10266,-12148,-93,5029,2067
52,-5197,-10213,-12109,-59,5306,2193
53,-5184,-10101,-12103,61,5980,2251
54,-5195,-10027,-12174,139,6823,2257
55,-5269,-10020,-12329,115,7458,2243
56,-5279,-10069,-12478,-1,7701,2261
57,-5157,-10119,-12550,-175,7608,2319
58,-4993,-10161,-12577,-359,7370,2371
59,-4905,-10193,-12622,-555,7158,2426
60,-4889,-10196,-12740,-817,6889,2610
61,-4837,-10156,-12848,-1211,6324,2972
62,-4530,-10191,-12861,-1693,5395,3372
63,-4137,-10245,-12790,-2103,4510,3579
64,-3845,-10276,-12635,-2432,4011,3608
65,-3905,-10236,-12429,-2785,3694,3659
66,-3868,-10194,-12255,-3246,2969,3951
67,-3593,-10141,-11958,-3695,1528,4366
68,-3177,-10068,-11556,-3943,-211,4592
69,-2741,-10025,-11039,-3880,-1793,4451
70,-2338,-10071,-10491,-3470,-3043,4003
71,-2046,-10232,-9969,-2696,-3980,3351
72,-1891,-10478,-9530,-1547,-4603,2532
73,-1829,-10806,-9112,-57,-4849,1573
74,-1750,-11216,-8673,1765,-4525,487
75,-1682,-11775,-8225,3933,-3407,-783
76,-1701,-12540,-7842,6438,-1358,-2251
77,-1813,-13470,-7614,9071,1476,-3717
78,-2049,-14483,-7589,11440,4578,-4910
79,-2523,-15604,-7642,13573,7118,-5617
80,-3012,-16631,-7759,15492,8735,-5811
81,-3381,-17506,-7872,17220,9425,-5541
82,-3601,-18151,-7945,18775,9383,-4929
83,-3627,-18575,-7983,20174,8825,-4119
84,-3499,-18762,-8002,21143,7965,-3254
