,accX,accY,accZ,gyroX,gyroY,gyroZ
0,12424,-9412,-6507,703,9,1003
1,12419,-9444,-6567,761,-101,987
2,12445,-9479,-6620,800,-270,961
3,12480,-9516,-6663,824,-440,919
4,12491,-9549,-6694,842,-583,865
5,12492,-9577,-6721,851,-718,807
6,12496,-9611,-6742,839,-863,745
7,12507,-9643,-6757,806,-1005,680
8,12521,-9676,-6766,755,-1124,608
9,12529,-9709,-6762,693,-1207,530
10,12511,-9744,-6748,625,-1245,447
11,12475,-9769,-6740,562,-1256,365
12,12444,-9788,-6741,496,-1256,289
13,12424,-9805,-6750,427,-1241,222
14,12401,-9810,-6764,361,-1205,164
15,12363,-9807,-6775,295,-1158,117
16,12334,-9808,-6774,225,-1115,85
17,12312,-9815,-6774,153,-1063,64
18,12294,-9816,-6771,86,-996,53
19,12269,-9815,-6765,22,-910,50
20,12238,-9816,-6753,-36,-818,54
21,12205,-9825,-6738,-89,-726,66
22,12169,-9841,-6724,-136,-628,86
23,12139,-9862,-6708,-180,-528,112
24,12112,-9892,-6682,-223,-429,140
25,12081,-9925,-6641,-260,-329,169
26,12035,-9957,-6600,-288,-222,197
27,11976,-9986,-6567,-301,-114,229
28,11913,-10014,-6539,-300,-16,270
29,11866,-10036,-6517,-286,70,321
30,11827,-10056,-6503,-260,154,377
31,11786,-10077,-6502,-221,226,438
32,11748,-10094,-6507,-173,254,505
33,11735,-10107,-6510,-132,219,573
34,11755,-10125,-6514,-107,146,631
35,11782,-10148,-6521,-90,60,671
36,11809,-10171,-6533,-71,-42,698
37,11838,-10193,-6558,-52,-179,712
38,11898,-10203,-6587,-46,-333,710
39,11943,-10212,-6614,-55,-438,682
40,11973,-10218,-6640,-71,-496,636
41,12024,-10228,-6675,-107,-531,573
42,12095,-10245,-6715,-168,-544,494
43,12170,-10260,-6741,-242,-521,398
44,12261,-10275,-6759,-330,-440,282
45,12382,-10310,-6771,-436,-285,136
46,12503,-10341,-6784,-548,-57,-43
47,12650,-10386,-6749,-662,234,-254
48,12763,-10394,-6733,-746,602,-514
49,12977,-10397,-6689,-872,1047,-785
50,13212,-10381,-6626,-994,1674,-1083
51,13362,-10339,-6557,-1096,2492,-1412
52,13507,-10299,-6489,-1170,3366,-1748
53,13815,-10222,-6391,-1220,4346,-2070
54,14099,-10236,-6135,-1232,5650,-2448
55,14166,-10218,-5888,-1096,7294,-2886
56,14036,-10174,-5619,-859,8878,-3287
57,13945,-10076,-5327,-569,10086,-3620
58,13938,-9917,-5120,-285,10811,-3934
59,13763,-9758,-4650,-72,10984,-4218
60,13630,-9518,-4250,164,10492,-4388
61,13981,-9296,-3743,351,9519,-4483
62,14242,-9138,-3257,578,8824,-4633
63,14337,-8988,-2880,848,8418,-4786
64,14456,-8819,-2504,1118,8027,-4908
65,14377,-8585,-2312,1387,7605,-5038
66,14470,-8291,-2142,1625,6858,-5096
