accX,accY,accZ,gyroX,gyroY,gyroZ
16524,-1245,-5179,-152,1427,738
16437,-1309,-5038,-103,1843,815
16300,-1358,-4932,0,2273,909
16214,-1375,-4893,124,2536,987
16214,-1378,-4876,207,2546,1029
16260,-1407,-4837,224,2386,1051
16309,-1464,-4752,208,2161,1081
16323,-1552,-4618,187,1932,1143
16391,-1680,-4459,187,1653,1233
16541,-1846,-4243,209,1249,1308
16732,-2077,-3914,242,830,1345
16933,-2211,-3561,345,591,1358
16965,-2268,-3264,473,664,1350
16834,-2280,-3023,551,910,1360
16631,-2321,-2784,548,1044,1384
16344,-2396,-2583,487,1050,1464
15953,-2479,-2407,424,1081,1674
15549,-2512,-2202,369,1274,2059
15196,-2551,-1977,337,1659,2624
14811,-2672,-1687,380,2257,3321
14350,-2821,-1375,561,3030,4163
13899,-2996,-1066,855,3786,5169
13542,-3235,-785,1211,4402,6331
13295,-3571,-520,1616,4866,7593
13211,-4010,-312,2053,5279,8934
13367,-4701,-43,2404,5839,10418
13648,-5687,379,2543,6881,12109
13773,-6666,795,2576,8663,13877
13657,-7476,1066,2582,10859,15524
13352,-8143,1144,2416,12734,17051
12918,-8923,1194,1964,13644,18373
12494,-9803,1294,1455,13393,19345
12163,-10693,1411,985,12065,19908
12043,-11393,1507,660,9714,20055
11990,-11896,1533,573,6584,19787
12090,-12357,1602,626,3177,19086
12150,-12975,1683,760,216,18217
12187,-13393,1746,903,-1781,17321
12123,-13589,1749,1065,-2719,16377
11970,-13718,1768,1124,-2941,15438
11749,-13744,1779,1155,-2764,14481
11431,-13781,1745,1162,-2396,13486
11092,-13949,1747,1098,-1998,12537
10793,-14282,1794,990,-1622,11691
10504,-14543,1804,930,-1282,10897
10241,-14587,1763,898,-1063,10072
10071,-14535,1779,757,-1003,9182
9999,-14455,1846,526,-1007,8165
10013,-14369,1930,252,-1045,6978
10097,-14279,1961,-82,-1141,5646
10293,-14287,1977,-465,-1320,4196
10552,-14356,1975,-870,-1552,2642
10809,-14406,1952,-1257,-1690,1071
11002,-14450,1856,-1659,-1635,-489
11156,-14474,1613,-2081,-1423,-2046
11222,-14523,1240,-2531,-1275,-3609
11309,-14743,944,-3170,-1371,-4928
11393,-14918,687,-3834,-1709,-6116
11381,-14993,371,-4443,-2317,-7326
11339,-14960,-31,-5067,-3394,-8536
11425,-14867,-448,-5834,-5081,-9704
11596,-14725,-956,-6844,-7214,-10662
11980,-14622,-1349,-8176,-9521,-11259
12464,-14549,-1750,-9577,-11381,-11822
12937,-14386,-2270,-10844,-12480,-12381
13401,-14180,-3010,-12053,-12874,-12842
13836,-13975,-4016,-13279,-12802,-13266
14270,-13697,-5152,-14598,-12521,-13634
14671,-13383,-6159,-16073,-11970,-13881
14901,-13030,-6879,-17597,-10840,-14050
14852,-12481,-7411,-18900,-9057,-14241
13976,-11830,-4724,-20286,-6485,-14398
13052,-12676,-3307,-20440,-2560,-15341
11910,-13029,-3049,-19206,972,-16150
10943,-12175,-3706,-17060,3888,-15347
10662,-10611,-4461,-14872,3223,-13462
10891,-9143,-4763,-13625,712,-11247
11399,-7912,-4649,-13031,-1413,-9146
11889,-6928,-4701,-12133,-2529,-7771
12315,-5958,-4894,-10993,-2965,-6609
12768,-5245,-4984,-9991,-3045,-5506
13150,-4654,-5169,-8941,-2851,-4581
13533,-4027,-5497,-7852,-2624,-3794
13965,-3471,-5773,-6929,-2469,-3152
14324,-3015,-6001,-6191,-2210,-2667
14568,-2573,-6256,-5551,-1895,-2340
14819,-2134,-6452,-5021,-1712,-2126
15056,-1756,-6529,-4591,-1543,-1992
15190,-1422,-6639,-4152,-1181,-1918
15238,-1068,-6859,-3688,-768,-1868
15310,-767,-6989,-3322,-540,-1820
15412,-558,-6985,-3035,-367,-1754
15449,-400,-6968,-2735,-66,-1696
15428,-259,-6962,-2415,249,-1653
15390,-118,-6924,-2100,465,-1618
15304,4,-6860,-1792,654,-1585
15171,105,-6798,-1478,854,-1534
15071,169,-6696,-1164,992,-1438
15023,190,-6508,-840,1068,-1310
14949,140,-6276,-467,1163,-1168
14814,61,-6053,17,1313,-983
14629,-24,-5798,598,1526,-730
14414,-143,-5418,1264,1904,-404
14159,-308,-4961,2029,2611,66
13843,-492,-4538,2916,3693,744
13485,-664,-4207,3901,5034,1688
13071,-791,-3911,4911,6470,2889
12588,-886,-3580,5836,7913,4354
12152,-1073,-3212,6564,9282,6164
11932,-1529,-2786,7009,10409,8330
11885,-2364,-2352,7194,11165,10670
11939,-3270,-2147,7413,11395,12880
