,accX,accY,accZ,gyroX,gyroY,gyroZ
0,2,8979,-850,19,703,
1,11234,-8475,8959,-891,0,742
2,11301,-8498,8990,-953,29,750
3,11285,-8530,9090,-1037,132,697
4,11246,-8595,9191,-1141,224,563
5,11335,-8724,9311,-1273,128,398
6,11460,-8892,9357,-1426,5,254
7,11570,-9121,9330,-1601,11,144
8,11661,-9387,9287,-1768,170,48
9,11692,-9703,9224,-1868,438,-99
10,11670,-10023,9185,-1863,686,-279
11,11551,-10295,9150,-1742,887,-456
12,11321,-10498,9096,-1523,1051,-588
13,10964,-10645,8975,-1220,1112,-641
14,10576,-10705,8823,-828,987,-607
15,10248,-10632,8675,-372,652,-472
16,10014,-10520,8567,72,170,-223
17,9844,-10393,8448,458,-380,138
18,9743,-10253,8324,783,-967,585
19,9698,-10097,8194,1022,-1536,1083
20,9634,-9945,8011,1149,-2030,1661
21,9548,-9818,7826,1199,-2476,2320
22,9460,-9759,7632,1213,-2920,3019
23,9405,-9714,7460,1183,-3400,3760
24,9384,-9650,7354,1043,-3860,4560
25,9379,-9597,7258,777,-4257,5389
26,9385,-9584,7153,455,-4764,6188
27,9583,-9568,7207,140,-5505,6908
28,9946,-9565,7373,-166,-6181,7490
29,10398,-9554,7663,-434,-6529,7913
30,10872,-9580,7978,-658,-6524,8171
31,11448,-9717,8262,-773,-6547,8214
32,12455,-9840,8725,-680,-6951,7966
33,13841,-9894,9263,-461,-7225,7308
34,15265,-9985,9670,-276,-6898,6198
35,16644,-10087,9922,-168,-6180,4710
36,17984,-10332,10159,-183,-5360,2846
37,19364,-10746,10501,-297,-4438,650
38,20682,-11364,10819,-446,-3248,-1948
39,21497,-12094,10964,-489,-1885,-4823
40,21761,-12720,10957,-226,-884,-7617
41,22100,-13131,10902,290,-428,-10132
42,22364,-13587,10680,853,-113,-12396
43,21913,-14016,10056,1590,396,-14433
44,20748,-14060,9189,2610,661,-16266
45,19350,-13789,8438,3607,-13,-17916
46,18262,-13298,7732,4298,-1393,-19401
47,17452,-12697,7210,4513,-2691,-20738
48,16270,-12164,6685,4377,-3219,-21941
49,14602,-11563,6080,4185,-3047,-23023
50,12625,-10747,5419,4215,-2800,-23998
51,10612,-9668,4797,4356,-3031,-24875
52,8920,-8402,4110,4502,-3909,-25398
53,7726,-7132,3513,4548,-5283,-25014
54,6879,-6044,3020,4547,-6847,-23939
55,6278,-5091,2710,4636,-8626,-22319
56,6192,-4124,2244,5081,-10619,-20320
57,6880,-2870,1798,5839,-12422,-18088
58,7850,-1069,1368,6609,-13338,-15814
59,8644,712,972,6997,-13418,-13811
60,9409,2358,573,7089,-13112,-12181
61,10100,3917,198,6967,-12406,-10820
62,10411,5212,-49,6570,-11126,-9811
63,10232,6200,-161,5991,-9418,-8992
64,9775,6899,-190,5320,-7677,-8176
65,9212,7377,-177,4631,-6093,-7214
66,8538,7639,-141,3947,-4534,-6009
67,7768,7657,-162,3292,-2949,-4452
68,7050,7506,-221,2715,-1395,-2471
69,6500,7220,-326,2199,100,-130
70,6261,6803,-487,1719,1439,2477
71,6268,6283,-639,1230,2596,5249
72,6340,5642,-792,680,3650,8001
73,6839,4998,-854,318,4714,10477
74,8383,4311,-967,-29,5808,12706
75,10148,3591,-1083,-551,7475,14712
76,11223,3038,-1004,-1117,10004,16518
77,11548,2648,-670,-1877,12280,18143
78,11724,1849,-126,-3595,14329,19605
79,11126,321,814,-5541,16173,20315
80,10603,-1117,1798,-6695,15951,20506
81,10877,-2009,2730,-6905,13121,20591
82,11862,-2725,3507,-6931,8879,20652
83,13074,-3489,4223,-6943,4715,20468
84,14173,-4016,4843,-6692,1188,19994
85,15358,-4394,5431,-6426,-1418,19458
86,16418,-4806,6025,-6336,-2932,18843
87,17002,-5114,6412,-6267,-3162,17969
88,16989,-5332,6588,-6203,-2552,16869
89,16555,-5474,6661,-6177,-1834,15738
90,16034,-5605,6714,-6209,-1491,14724
91,15623,-5836,6763,-6324,-1526,13814
92,15299,-6132,6758,-6454,-1625,13016
93,14918,-6504,6667,-6541,-1514,12329
94,14360,-6864,6452,-6545,-1218,11778
95,13782,-7262,6172,-6524,-983,11411
96,13336,-7735,5876,-6450,-957,11198
97,12990,-8218,5604,-6259,-1053,11065
98,12715,-8679,5425,-5981,-1142,10997
99,12522,-9164,5325,-5649,-1188,10985
100,12422,-9693,5223,-5285,-1202,10995
101,12359,-10247,5050,-4878,-1207,10937
102,12272,-10736,4876,-4429,-1317,10789
103,12221,-11167,4794,-3996,-1630,10559
104,12205,-11540,4765,-3586,-2051,10241
105,12220,-11837,4737,-3204,-2393,9840
106,12202,-12073,4694,-2864,-2549,9370
107,12124,-12262,4653,-2576,-2559,8872
108,12029,-12431,4627,-2354,-2479,8350
109,11963,-12593,4587,-2196,-2269,7783
110,11868,-12739,4521,-2094,-1846,7179
111,11742,-12867,4488,-2037,-1243,6561
112,11587,-13050,4481,-2012,-628,5905
113,11424,-13252,4420,-1947,-154,5170
114,11277,-13436,4354,-1788,100,4354
115,11183,-13575,4344,-1538,116,3523
116,11245,-13698,4443,-1230,-129,2687
117,11614,-13855,4573,-876,-594,1789
118,12249,-14152,4784,-559,-1163,753
119,13046,-14634,4909,-196,-1791,-618
120,14327,-15261,5065,226,-2787,-2362
121,16160,-16133,5258,587,-4044,-4503
122,17821,-17143,5315,908,-4930,-7093
123,19166,-17862,5190,1307,-5297,-9660
124,20128,-18242,4933,1679,-5646,-11971
125,20555,-18346,4692,1882,-6352,-14050
126,20183,-18018,4440,1992,-7278,-15922
127,19391,-17250,4119,1984,-8303,-17607
128,18735,-16307,3603,1580,-9198,-19123
129,18037,-15584,3085,638,-9530,-20487
130,16856,-14986,2835,-539,-9070,-21715
131,15307,-14212,2599,-1398,-7965,-22820
132,13440,-13206,2459,-1942,-6485,-23815
133,10982,-11876,2224,-2171,-4484,-24710
134,8374,-10225,1727,-2132,-2322,-25516
135,6652,-8672,1634,-2459,-1363,-26121
136,5734,-7464,1218,-2704,-1627,-25551
137,5632,-6248,711,-2445,-2555,-24328
138,5921,-4888,513,-1977,-3369,-22740
139,6051,-3331,263,-1463,-3658,-20860
140,5938,-1739,101,-1169,-3726,-18770
141,5920,-574,227,-1121,-3949,-16661
142,5982,315,428,-1146,-4004,-14317
143,6064,1077,634,-1112,-3599,-11850
144,5895,1747,652,-1031,-2705,-9377
145,5614,2251,589,-1052,-1847,-6776
146,5499,2585,485,-1094,-1383,-3907
147,5540,2798,351,-1073,-1233,-811
148,5751,2918,94,-1053,-1159,2360
149,6376,2923,-116,-1086,-1158,5400
150,7059,2815,-301,-1161,-958,8137
