accX,accY,accZ,gyroX,gyroY,gyroZ
9737,-12691,4122,1653,-2115,-2330
9861,-12590,4119,1677,-2176,-2360
9990,-12490,4114,1674,-2241,-2392
10122,-12396,4111,1638,-2288,-2424
10248,-12318,4107,1573,-2291,-2457
10388,-12238,4106,1498,-2242,-2491
10533,-12147,4092,1418,-2122,-2531
10668,-12054,4075,1326,-1926,-2575
10768,-11962,4052,1224,-1683,-2621
10835,-11866,4014,1119,-1444,-2665
10891,-11776,3958,1010,-1252,-2696
10977,-11687,3916,893,-1098,-2708
11109,-11593,3904,762,-909,-2707
11248,-11493,3900,612,-598,-2706
11360,-11400,3889,437,-165,-2705
11423,-11319,3864,255,277,-2709
11491,-11238,3851,67,567,-2712
11601,-11137,3858,-109,654,-2723
11773,-11008,3891,-299,666,-2758
11930,-10874,3907,-521,783,-2825
12056,-10741,3902,-779,1052,-2905
12200,-10641,3900,-1070,1387,-2994
12404,-10590,3937,-1372,1680,-3108
12745,-10620,4073,-1659,1876,-3270
13248,-10646,4256,-1874,2077,-3554
13806,-10735,4437,-2036,2306,-4028
14407,-10931,4653,-2171,2293,-4634
15058,-11053,4895,-2104,1910,-5447
15941,-11044,5181,-1938,1512,-6497
16847,-11047,5463,-1822,1595,-7773
17418,-11074,5746,-1706,2069,-9274
17568,-10998,5881,-1461,2427,-10934
17670,-10732,5956,-1134,2286,-12594
17954,-10395,6037,-857,1778,-14209
18293,-10107,6181,-637,1004,-15835
18432,-9816,6168,-341,-142,-17528
18649,-9283,6098,41,-1732,-19052
18916,-8647,6025,305,-3299,-20424
19139,-7954,5854,393,-4296,-21658
19016,-7385,5632,312,-4869,-22769
18482,-6822,5268,246,-5375,-23769
17748,-6107,4841,196,-5983,-24669
16764,-5346,4477,-15,-6391,-25478
15160,-4614,4095,-314,-6322,-26207
13350,-3901,3873,-623,-6374,-26863
11795,-3122,3777,-760,-6738,-26906
10702,-2162,3583,-760,-6949,-26180
9925,-1213,3314,-840,-6644,-24882
9300,-292,3102,-846,-5904,-23359
8809,679,2687,-629,-5123,-21715
8636,1713,2210,-317,-4725,-19954
8741,2799,1780,-82,-4496,-18121
8810,3816,1383,29,-4107,-16349
8706,4684,1081,14,-3637,-14661
8497,5423,878,-31,-3282,-13026
8184,5969,861,-111,-3052,-11425
7759,6189,907,-112,-2790,-9839
7263,6389,1118,-30,-2236,-8181
6706,6449,1250,93,-1090,-6110
6237,6284,1413,52,555,-3415
5821,6033,1506,41,2577,-364
5423,5730,1480,4,4842,2922
5158,5330,1403,-240,7101,5906
5093,4800,1315,-776,9216,8592
5285,4119,1310,-1632,11105,11010
5457,3506,1306,-2403,12805,13186
6654,2571,1902,-3837,14526,15144
8325,1189,2839,-5818,16351,16906
9294,34,3678,-7475,17992,18492
9499,-1015,4289,-9033,19470,19920
9488,-2425,4799,-10763,19386,21204
9598,-4003,5283,-12120,17334,22361
10111,-5588,5801,-12929,13910,23401
10848,-7211,6384,-13177,9856,24290
11933,-8766,7065,-13016,5922,25031
13104,-10027,7556,-12465,2903,25451
14001,-10932,7798,-11787,1087,25516
14584,-11615,7940,-11224,214,25168
14926,-12124,8035,-10724,-96,24361
15056,-12433,8045,-10212,-8,23104
14935,-12593,7968,-9742,437,21530
14596,-12661,7829,-9389,1167,19838
14080,-12695,7653,-9160,2034,18194
13354,-12838,7541,-8928,2670,16599
12575,-12899,7347,-8380,2469,15057
11947,-13019,7204,-7808,1743,13800
11544,-13162,7096,-7212,812,12787
11233,-13325,6933,-6563,-79,11916
10884,-13481,6696,-5896,-758,11147
10457,-13610,6421,-5250,-1285,10469
10021,-13723,6180,-4649,-1853,9875
9679,-13830,5997,-4081,-2534,9322
9454,-13902,5845,-3515,-3163,8731
9234,-13957,5709,-2994,-3522,8062
8961,-14025,5609,-2580,-3558,7352
8589,-14100,5532,-2243,-3359,6678
8159,-14170,5473,-1951,-3103,6110
7733,-14250,5454,-1698,-2954,5686
7314,-14315,5445,-1433,-2972,5371
6933,-14357,5453,-1137,-3201,5123
6645,-14384,5483,-805,-3593,4900
6431,-14413,5518,-454,-4004,4677
6231,-14474,5563,-130,-4311,4462
6038,-14563,5630,151,-4489,4279
5856,-14674,5715,392,-4593,4139
5684,-14782,5798,606,-4696,4030
5528,-14872,5855,798,-4842,3941
5443,-14928,5879,951,-5031,3874
5442,-14940,5888,1051,-5183,3798
5481,-14889,5832,1093,-5165,3704
5543,-14814,5735,1039,-4951,3617
5618,-14708,5625,929,-4646,3522
5701,-14582,5531,769,-4215,3419
5757,-14427,5454,573,-3642,3277
5765,-14307,5420,317,-3018,3113
5727,-14220,5426,53,-2435,2940
5722,-14172,5539,-217,-1917,2780
5869,-14091,5911,-475,-1337,2614
6160,-13991,6361,-716,-297,2383
6279,-14056,6781,-1066,1471,2085
6035,-14239,7095,-1478,3735,1767
5503,-14498,7390,-1790,5776,1515
4917,-14702,7623,-1774,7082,1334
4485,-14819,7821,-1418,7494,1197
4307,-14885,7967,-835,7207,1066
4382,-14967,8069,-141,6531,881
4629,-15086,8114,607,5718,564
4997,-15228,8122,1382,4917,61
5525,-15403,8139,2153,4168,-646
6114,-15629,8155,2923,3512,-1595
6683,-15840,8175,3710,2963,-2793
7324,-16087,8275,4445,2356,-4174
8175,-16387,8416,5194,1570,-5752
9240,-16703,8610,5948,777,-7519
10317,-17103,9023,6603,315,-9500
11260,-17560,9567,7237,275,-11644
12069,-17932,10056,8044,349,-13756
12616,-18114,10423,9090,61,-15658
12884,-17958,10605,10240,-815,-17368
13071,-17536,10661,11333,-2496,-18908
13241,-16873,10556,12275,-4945,-20294
13385,-16030,10230,12921,-7727,-21541
13463,-15065,9803,13150,-10231,-22664
13373,-14048,9308,12918,-12485,-23674
13292,-13132,8863,12709,-14513,-24584
13077,-12183,8405,11621,-15775,-25402
12649,-11238,8180,10286,-15886,-26138
12263,-10387,7977,9084,-15985,-26801
11917,-9621,7795,8003,-16075,-27398
9368,-8497,7154,7276,-13908,-27935
7075,-7485,6577,6623,-11957,-28418
6094,-6161,6238,6122,-11202,-26788
5685,-4731,5601,5860,-10702,-24693
5801,-3166,4942,5600,-10556,-22466
6128,-1559,4472,5357,-10439,-20427
6225,103,4001,5018,-9687,-18475
6130,1473,3636,4433,-8540,-16586
6152,2733,3279,3952,-7529,-14768
6288,3917,3037,3600,-6797,-13150
6350,4991,2840,3288,-6074,-11690
6268,5894,2763,2972,-5277,-10334
6072,6640,2774,2749,-4437,-8964
5766,7213,2851,2544,-3333,-7373
