,accX,accY,accZ,gyroX,gyroY,gyroZ
0,13698,-237,9868,-696,137,456
1,13655,-239,9883,-670,-14,441
2,13692,-255,9889,-627,-224,369
3,13741,-258,9880,-590,-369,285
4,13770,-236,9885,-582,-450,236
5,13822,-231,9857,-608,-539,218
6,13889,-235,9840,-637,-627,196
7,13945,-237,9825,-680,-645,141
8,13990,-264,9835,-747,-604,73
9,14043,-320,9876,-811,-554,-15
10,14174,-396,9928,-835,-530,-159
11,14454,-558,10030,-813,-495,-402
12,14783,-717,10099,-774,-454,-741
13,15146,-923,10196,-770,-458,-1187
14,15495,-1116,10246,-832,-469,-1768
15,15847,-1319,10296,-941,-366,-2480
16,16065,-1585,10262,-1077,-44,-3348
17,16065,-1857,10157,-1230,419,-4289
18,15876,-2119,10006,-1411,847,-5186
19,15525,-2391,9827,-1595,1108,-6002
20,15042,-2587,9626,-1809,1177,-6692
21,14358,-2852,9382,-1988,1005,-7297
22,13534,-2984,9031,-2035,501,-7738
23,12634,-2894,8591,-2057,-332,-7914
24,11669,-2652,8117,-2235,-1513,-7759
25,10726,-2347,7645,-2693,-3125,-7251
26,9941,-1962,7063,-3350,-5230,-6282
27,9465,-1497,6519,-4182,-7715,-4802
28,9233,-1047,6014,-5117,-10220,-2865
29,9266,-692,5490,-6040,-12475,-562
30,9496,-471,4869,-6844,-14504,2094
31,10029,-394,4440,-7585,-16252,5022
32,10745,-488,4185,-8184,-17179,7796
33,11400,-698,3904,-8519,-16974,10293
34,12093,-1088,3491,-8780,-15904,12541
35,13221,-1842,3125,-9074,-14795,14563
36,14623,-2812,2770,-9120,-13943,16248
37,16062,-3713,2296,-8828,-13153,17252
38,17357,-4543,1781,-8405,-12365,17338
39,18438,-5328,1350,-7988,-11596,16660
40,19246,-6050,1052,-7526,-10842,15444
41,19720,-6653,850,-6978,-9989,13875
42,19816,-7151,726,-6358,-8974,12071
43,19555,-7587,664,-5679,-7836,10191
44,18982,-7949,602,-4906,-6659,8394
45,18174,-8233,523,-4046,-5556,6805
46,17203,-8450,377,-3115,-4603,5492
47,16175,-8631,171,-2169,-3881,4508
48,15241,-8772,26,-1263,-3434,3878
49,14512,-8872,-120,-424,-3208,3560
50,14204,-8995,-371,259,-3202,3519
51,14480,-9287,-768,575,-3393,3792
52,15334,-9737,-1515,586,-3804,4067
53,16680,-10263,-2697,281,-4597,3955
54,18289,-10829,-4130,-522,-5995,3163
55,19736,-11385,-5587,-1810,-7937,1475
56,21039,-11786,-7007,-3495,-9931,-974
57,22212,-12016,-8248,-5615,-11406,-3868
58,23268,-12198,-9141,-8197,-11961,-6758
59,23855,-12390,-9681,-10654,-11472,-9359
60,23935,-12607,-9894,-12865,-10077,-11699
61,23543,-12790,-9848,-14855,-7986,-13806
62,22709,-12802,-9668,-16647,-5527,-15702
