accX,accY,accZ,gyroX,gyroY,gyroZ
9650,-10103,9390,-357,208,89
9720,-10182,9546,-298,-69,18
9712,-10330,9675,-227,-333,-68
9701,-10520,9808,-127,-638,-181
9597,-10742,9948,16,-985,-379
9467,-10965,10068,198,-1444,-654
9249,-11203,10134,403,-2011,-967
8918,-11405,10117,647,-2726,-1261
8613,-11578,10045,941,-3682,-1486
8392,-11664,9956,1346,-4814,-1627
8173,-11637,9809,1889,-5979,-1654
7893,-11481,9542,2519,-7138,-1473
7573,-11220,9144,3141,-8335,-973
7228,-10939,8600,3693,-9632,-103
7024,-10715,8056,4154,-11073,1144
7228,-10527,7567,4557,-12333,2683
7574,-10285,7056,4960,-12877,4275
7951,-10015,6503,5219,-12589,5758
8278,-9807,6005,5118,-11655,7246
8591,-9803,5593,4629,-10431,8768
8924,-10035,5338,3829,-9238,10374
9291,-10437,5088,2940,-8118,11959
9628,-10961,4788,2068,-7028,13412
9852,-11571,4516,1272,-5990,14690
10051,-12213,4351,612,-5034,15750
10381,-12866,4284,131,-4074,16542
10796,-13441,4273,-96,-3025,16953
11088,-13833,4277,-100,-1862,16818
11400,-14213,4199,-133,-817,16146
11947,-14667,4106,-234,-373,14944
12925,-15220,3942,-356,-625,13090
14191,-15827,3811,-540,-1211,10698
15500,-16429,3634,-723,-1609,7678
16785,-17061,3484,-981,-1517,4108
18046,-17862,3373,-1391,-822,420
19152,-18780,3240,-1737,651,-2898
19696,-19786,3002,-1875,2630,-5885
20050,-20729,2794,-1940,4132,-8573
20801,-21659,2729,-2194,4764,-10992
21314,-22567,2630,-2635,4974,-13170
21775,-23384,2540,-3032,5164,-15129
22190,-24120,2459,-3389,5334,-16893
21545,-23881,2853,-4581,2710,-18481
20886,-23424,3529,-5880,-195,-19909
20250,-22752,4297,-7015,-2453,-21195
19480,-21969,4586,-7728,-3275,-22352
18281,-21064,4408,-8278,-2872,-23394
16281,-20654,4380,-9052,-2355,-24331
14341,-19826,4465,-8847,-2325,-25175
12737,-18234,4253,-7906,-2382,-25934
10575,-16551,3764,-7260,-1859,-26617
8191,-15136,3548,-7371,-1143,-27232
6254,-13431,3301,-7275,-649,-26239
4690,-11382,3113,-6950,-411,-24256
3463,-9272,2958,-6642,-323,-21771
2746,-7125,2897,-6305,-402,-19089
2390,-4872,2922,-5925,-435,-16446
2118,-2777,2969,-5598,-354,-14106
1923,-921,3027,-5264,-348,-12122
1795,762,3065,-4847,-466,-10464
1638,2239,3114,-4461,-547,-9035
1447,3447,3256,-4174,-526,-7723
1176,4412,3432,-3909,-380,-6460
783,5055,3612,-3628,-156,-5167
270,5390,3743,-3246,11,-3736
-181,5495,3904,-2796,80,-1957
-401,5385,4190,-2328,136,222
-412,5165,4537,-1828,406,2795
-316,4842,4822,-1329,1028,5769
-173,4388,4949,-803,1952,8469
-81,3807,4816,-169,3016,10899
275,3139,4608,502,3830,13085
1189,2439,4540,1176,4199,15054
2552,1697,4558,1821,4488,16825
4191,879,4442,2431,5024,18419
6141,27,4351,2922,5850,19854
8148,-859,4189,3134,7442,21145
9746,-1813,3939,2915,9794,22307
10905,-2933,3828,2149,12008,23353
11705,-4019,3745,1176,13294,24295
12261,-5030,3804,43,13503,25142
12634,-6091,4026,-1268,12957,25904
12765,-7258,4237,-2630,11973,26591
12633,-8521,4371,-3888,10559,27208
12443,-9795,4478,-4886,8647,27764
12191,-11258,4413,-5636,6284,28264
12182,-12821,4448,-6387,3454,28715
12407,-14271,4526,-6849,468,29120
12682,-15395,4539,-6886,-2313,29485
13009,-16092,4477,-6596,-4747,29777
13376,-16435,4396,-6221,-6634,29224
13623,-16638,4305,-5971,-7723,27886
13660,-16738,4208,-5932,-7974,26038
13467,-16845,4103,-6080,-7718,23891
13049,-17051,4036,-6037,-7903,21509
12686,-17056,3945,-5646,-8711,19296
12493,-16964,3908,-5264,-9528,17263
12329,-16850,3904,-4937,-9913,15247
12023,-16729,3920,-4589,-9813,13324
11614,-16584,3957,-4185,-9405,11584
11130,-16411,3968,-3728,-8789,10098
10638,-16259,3929,-3277,-8024,8857
10192,-16103,3864,-2830,-7164,7817
9796,-15984,3777,-2395,-6218,6883
9398,-15908,3674,-1983,-5177,6026
8935,-15865,3542,-1619,-4061,5247
8413,-15843,3388,-1321,-2973,4563
7905,-15838,3233,-1102,-2042,3999
7441,-15849,3104,-945,-1323,3538
7021,-15846,2994,-827,-793,3129
6624,-15822,2892,-749,-402,2751
6282,-15798,2807,-710,-146,2430
6036,-15777,2763,-700,-3,2189
5847,-15754,2734,-683,104,1989
5646,-15723,2702,-661,228,1808
5453,-15691,2677,-657,320,1666
5339,-15651,2698,-684,357,1564
5362,-15584,2784,-721,389,1448
5521,-15495,2943,-772,486,1300
5743,-15418,3158,-852,703,1084
6087,-15381,3472,-1050,1023,774
6958,-15483,3823,-1260,1110,359
8412,-15680,4300,-1062,580,-410
10233,-15893,4846,-528,124,-1699
11792,-16296,5181,304,193,-3754
13169,-16727,5349,1259,310,-6304
14813,-17158,5355,2110,279,-8950
16586,-17692,5114,2676,597,-11332
18076,-18384,4489,2918,1386,-13475
19394,-19159,3526,2785,2148,-15404
20692,-19951,2474,2170,2698,-17141
21723,-20801,1492,1054,3084,-18703
22253,-21554,620,-434,3066,-20110
22426,-22035,50,-2199,2351,-21375
22442,-22329,39,-4220,1045,-22515
22291,-22530,576,-6321,-371,-23540
21844,-22639,1403,-8179,-1544,-24462
21212,-22456,2273,-9348,-2172,-25293
20844,-22016,3062,-9670,-1759,-26040
19824,-21572,3061,-9618,369,-26713
17277,-21568,3030,-9632,2564,-27318
14687,-21046,3020,-8980,3584,-27863
12480,-19693,2716,-7416,3481,-28354
9872,-17899,2445,-5980,2886,-28795
7608,-15968,2454,-5329,2319,-29153
5570,-14231,2462,-4743,1808,-29475
3736,-12667,2469,-4215,1349,-29765
2441,-10496,2596,-4037,957,-26975
1577,-8387,2835,-3796,447,-24118
1087,-6328,3126,-3487,0,-21336
809,-4337,3345,-3141,-258,-18688
545,-2487,3495,-2821,-422,-16289
339,-832,3663,-2506,-667,-14188
177,645,3763,-2130,-934,-12370
-63,1842,3849,-1760,-1160,-10739
-453,2666,3848,-1379,-1366,-9188
-951,3116,3808,-938,-1640,-7545
-1459,3245,3768,-390,-2020,-5640
-1880,3138,3749,263,-2449,-3356
-2167,2857,3733,988,-2827,-597
-2199,2435,3848,1713,-3043,2712
-1859,1929,4080,2395,-2943,5717
-1360,1388,4231,3111,-2399,8422
-780,820,4213,3836,-1510,10857
28,225,4080,4538,-601,13048
1322,-442,3958,5070,190,15020
3284,-1094,3952,5413,810,16794
5522,-1656,3997,5670,1429,18392
7467,-2173,3850,5749,2671,19829
9370,-2969,3528,5186,4512,21123
11375,-4302,3600,3968,6289,22287
13122,-5576,3788,2940,7649,23335
14369,-6537,4077,2187,8483,24279
15212,-7379,4526,1407,8747,25127
15782,-8153,5019,513,8589,25891
15941,-8891,5373,-378,8271,26579
15710,-9685,5574,-1215,7762,27198
15437,-10599,5787,-2113,6961,27755
15329,-11526,6081,-2981,5938,28223
15303,-12364,6371,-3616,4919,28458
15277,-13023,6580,-3989,4039,28321
15234,-13534,6773,-4217,3246,27722
15088,-13917,6924,-4309,2542,26617
14829,-14139,7006,-4285,1976,25067
14396,-14324,6997,-4179,1452,23135
13776,-14476,6951,-3796,226,20972
13362,-14419,6898,-3187,-1440,19069
13002,-14326,6823,-2604,-2687,17232
12576,-14224,6719,-2102,-3357,15433
12130,-14099,6581,-1655,-3751,13771
11744,-14007,6452,-1327,-4039,12355
11397,-13924,6336,-1031,-4297,11080
11000,-13926,6205,-835,-4280,9930
10644,-13927,6087,-658,-4264,8895
10285,-13961,5981,-546,-4143,7957
9959,-13997,5880,-449,-3962,7099
9628,-14024,5769,-373,-3674,6314
9293,-14063,5647,-340,-3333,5626
8986,-14095,5533,-351,-3023,5058
8729,-14130,5430,-404,-2747,4584
8496,-14172,5336,-479,-2494,4172
8254,-14210,5236,-558,-2256,3804
8020,-14235,5141,-644,-2067,3486
7809,-14257,5055,-722,-1898,3199
7619,-14277,4978,-792,-1745,2942
7478,-14285,4902,-893,-1687,2725
7353,-14276,4834,-973,-1652,2531
7248,-14258,4774,-1039,-1668,2364
7174,-14237,4707,-1097,-1731,2218
7120,-14229,4625,-1141,-1812,2058
7074,-14232,4548,-1151,-1880,1848
7015,-14252,4475,-1118,-1955,1612
6970,-14275,4401,-1059,-2081,1404
6974,-14300,4339,-1000,-2254,1249
7019,-14314,4332,-963,-2392,1125
7110,-14311,4412,-966,-2415,1015
7278,-14315,4513,-988,-2312,923
7601,-14319,4645,-1025,-2143,839
8204,-14339,4832,-1110,-1903,741
9255,-14465,5066,-1244,-1453,549
10656,-14653,5341,-1218,-915,-10
12271,-14879,5576,-994,-157,-1204
13959,-15162,5685,-677,968,-2969
15478,-15416,5782,-392,1981,-4557
