,accX,accY,accZ,gyroX,gyroY,gyroZ
0,4906,-15429,2176,-457,-66,334
1,4884,-15429,2167,-444,-98,391
2,4869,-15433,2154,-432,-155,444
3,4874,-15437,2150,-422,-230,492
4,4886,-15432,2146,-417,-286,538
5,4891,-15418,2133,-415,-312,585
6,4888,-15400,2115,-418,-322,630
7,4884,-15381,2097,-424,-329,677
8,4881,-15366,2080,-429,-340,741
9,4869,-15335,2046,-424,-346,845
10,4858,-15280,2001,-456,-375,984
11,4890,-15246,1928,-509,-452,1129
12,4958,-15214,1855,-567,-518,1285
13,5034,-15193,1750,-647,-501,1445
14,5118,-15185,1611,-760,-417,1589
15,5192,-15180,1471,-912,-343,1685
16,5264,-15204,1320,-1117,-349,1720
17,5378,-15259,1152,-1360,-494,1674
18,5587,-15337,1015,-1628,-755,1537
19,5852,-15402,908,-1925,-976,1325
20,6122,-15427,818,-2252,-1071,1090
21,6326,-15522,789,-2557,-987,722
22,6441,-15653,793,-2807,-740,234
23,6554,-15788,824,-3011,-489,-368
24,6725,-15929,813,-3204,-368,-1121
25,6940,-16056,760,-3432,-395,-2016
26,7184,-16201,691,-3720,-502,-3028
27,7539,-16352,549,-4024,-591,-4162
28,7986,-16550,359,-4409,-600,-5470
29,8461,-16794,151,-4882,-537,-6879
30,8924,-16987,-150,-5382,-384,-8303
31,9394,-17156,-605,-5931,-221,-9779
32,9906,-17314,-1069,-6494,-218,-11333
33,10398,-17269,-1554,-7080,-494,-12837
34,10956,-17043,-2081,-7864,-1200,-14197
35,11596,-16751,-2762,-8833,-2234,-15311
36,12190,-16350,-3311,-10084,-3229,-16159
37,12671,-15822,-3978,-11524,-3692,-17020
38,13109,-15129,-4584,-13010,-3919,-17999
39,13540,-14261,-5012,-14550,-4168,-19002
40,14050,-13269,-5368,-16091,-4397,-19963
41,14670,-12322,-5867,-17574,-4576,-20776
42,15221,-11462,-6510,-18898,-4610,-21450
43,15704,-10517,-6786,-20028,-4440,-22107
44,15893,-9550,-6938,-20998,-3696,-22728
45,15894,-8621,-7094,-21760,-2729,-23256
46,15816,-7758,-7258,-22334,-2006,-23672
47,15698,-6918,-7343,-22736,-1460,-23992
48,15495,-6151,-7285,-22944,-819,-24230
49,15131,-5472,-7164,-22920,-111,-24389
50,14668,-4806,-7050,-22712,264,-24517
51,14282,-4094,-6896,-22453,250,-24656
52,13883,-3382,-6648,-22190,305,-24808
53,13312,-2676,-6312,-21830,541,-24963
54,12567,-1949,-5940,-21332,687,-25113
55,11740,-1176,-5603,-20736,571,-25250
56,10905,-347,-5173,-20126,186,-25344
57,10039,504,-4634,-19515,-279,-25339
58,9198,1324,-3942,-18860,-618,-25172
59,8302,2201,-3256,-18067,-651,-24832
60,7362,3068,-2581,-17173,-367,-24312
61,6365,3978,-1942,-16183,235,-23650
62,5415,4857,-1279,-15166,1069,-22894
63,4467,5692,-657,-14114,2127,-22097
64,3495,6535,-153,-13072,3352,-21301
65,2438,7318,252,-12121,4652,-20481
66,1456,8023,567,-11232,5904,-19469
67,520,8653,806,-10312,6984,-18155
68,-268,9225,997,-9352,7686,-16447
69,-945,9781,1092,-8369,7958,-14497
70,-1578,10286,1081,-7414,7787,-12455
71,-2041,10717,1054,-6531,7126,-10369
72,-2222,11067,1102,-5711,6078,-8278
73,-2251,11331,1143,-4907,4895,-6289
74,-2256,11572,1110,-4102,3724,-4402
75,-2271,11773,1020,-3376,2699,-2584
