,accX,accY,accZ,gyroX,gyroY,gyroZ
0,13611,-9581,-2996,-529,-493,176
1,13633,-9576,-3011,-489,-502,182
2,13657,-9573,-3040,-445,-503,185
3,13680,-9578,-3082,-406,-502,184
4,13703,-9588,-3124,-379,-505,172
5,13725,-9597,-3170,-367,-523,145
6,13752,-9605,-3213,-374,-555,104
7,13769,-9602,-3248,-388,-585,49
8,13756,-9582,-3282,-403,-603,-12
9,13718,-9551,-3314,-419,-621,-72
10,13682,-9521,-3345,-439,-642,-120
11,13661,-9506,-3370,-463,-656,-153
12,13657,-9497,-3395,-483,-649,-175
13,13666,-9489,-3424,-500,-611,-191
14,13678,-9476,-3451,-517,-540,-205
15,13688,-9456,-3478,-533,-446,-219
16,13705,-9439,-3498,-558,-355,-233
17,13727,-9423,-3510,-588,-277,-247
18,13744,-9402,-3523,-614,-209,-264
19,13757,-9381,-3542,-633,-148,-279
20,13768,-9375,-3562,-643,-84,-294
21,13771,-9380,-3576,-640,0,-306
22,13764,-9388,-3576,-623,104,-319
23,13747,-9386,-3567,-595,223,-333
24,13717,-9376,-3552,-564,334,-341
25,13680,-9362,-3534,-536,419,-338
26,13642,-9348,-3519,-514,468,-315
27,13621,-9343,-3505,-499,483,-274
28,13622,-9349,-3495,-488,477,-219
29,13633,-9363,-3489,-473,472,-162
30,13641,-9374,-3482,-453,473,-107
31,13642,-9370,-3477,-426,481,-60
32,13633,-9348,-3471,-398,487,-19
33,13614,-9306,-3462,-373,479,21
34,13602,-9257,-3454,-356,442,68
35,13617,-9218,-3447,-349,374,126
36,13666,-9190,-3444,-345,298,189
37,13728,-9176,-3442,-340,243,245
38,13782,-9158,-3436,-335,214,281
39,13823,-9134,-3428,-341,193,299
40,13872,-9111,-3425,-364,156,306
41,13944,-9100,-3427,-402,110,307
42,14019,-9090,-3433,-448,91,298
43,14074,-9065,-3439,-499,130,276
44,14110,-9019,-3437,-564,236,246
45,14195,-8971,-3405,-655,439,216
46,14392,-8918,-3311,-762,831,172
47,14649,-8845,-3127,-860,1512,95
48,14905,-8736,-2875,-950,2588,-20
49,15065,-8648,-2648,-1065,4069,-202
50,15096,-8637,-2502,-1222,5705,-404
51,15141,-8690,-2279,-1419,7113,-537
52,15254,-8776,-1943,-1604,8325,-620
53,15298,-8838,-1558,-1712,9577,-735
54,15144,-8860,-1213,-1730,10916,-913
55,14854,-8824,-872,-1686,12142,-1087
56,14449,-8712,-526,-1595,13145,-1217
57,13855,-8505,-141,-1433,13877,-1252
58,13064,-8195,252,-1232,14351,-1074
59,12201,-7886,544,-1093,14494,-609
60,11457,-7783,733,-1148,14062,185
61,10954,-7858,930,-1329,12894,1298
62,10760,-8014,1279,-1480,11233,2669
63,10771,-8246,1665,-1561,9611,4153
64,10764,-8560,1871,-1696,8310,5509
65,10844,-8933,1863,-1988,6905,6684
66,11339,-9447,1812,-2395,4861,7677
67,12003,-10018,1913,-2710,2725,8272
68,12225,-10340,2127,-2660,1358,8320
69,11785,-10508,2265,-2370,1197,7923
70,10893,-10607,2516,-2032,1687,7652
71,9964,-10862,2789,-1665,1975,7904
72,9358,-11398,3000,-1194,1589,8619
73,9056,-11964,3193,-559,1103,9714
74,8816,-12422,3225,190,1436,10847
75,8613,-12934,3264,766,2526,11793
76,8331,-13499,3435,1135,3531,12455
77,8199,-14018,3568,1263,3770,12847
78,8630,-14632,3579,959,2982,12840
79,9627,-15417,3604,197,1557,12306
80,10832,-16287,3648,-823,173,11081
81,11991,-17227,3600,-2023,-875,9085
82,13242,-18259,3497,-3416,-1865,6473
83,14355,-19363,3278,-4917,-2906,3463
84,15441,-20427,2905,-6413,-4308,419
85,16595,-21415,2326,-8089,-6056,-2637
86,17586,-22381,1487,-10097,-7690,-5650
87,18379,-23250,625,-12350,-8950,-8361
88,18814,-23850,-23,-14392,-9450,-10802
89,18537,-24023,-486,-16229,-8905,-12998
90,17456,-23673,-755,-17755,-7729,-14975
91,15968,-22947,-876,-19034,-6598,-16754
92,14179,-22052,-741,-20242,-5881,-18356
