accX,accY,accZ,gyroX,gyroY,gyroZ
13606,3172,-682,-5,-17,
9140,-13595,3167,-684,-110,-107
9273,-13583,3149,-700,-176,-252
9410,-13566,3116,-735,-196,-469
9567,-13551,3081,-796,-195,-764
9704,-13566,3066,-877,-187,-1158
9759,-13596,3005,-962,-193,-1648
9830,-13599,2942,-1039,-328,-2209
10012,-13568,2926,-1126,-564,-2818
10263,-13564,2951,-1255,-689,-3467
10503,-13593,3034,-1415,-549,-4146
10657,-13616,3168,-1569,-98,-4823
10775,-13544,3388,-1677,582,-5440
10932,-13417,3772,-1745,1377,-5950
11020,-13297,4288,-1755,2310,-6339
10930,-13110,4779,-1641,3341,-6590
10721,-12806,5157,-1409,4298,-6651
10491,-12388,5358,-1132,5152,-6444
10332,-11963,5464,-924,5943,-5950
10233,-11648,5513,-831,6715,-5206
10136,-11417,5477,-790,7412,-4298
10059,-11228,5353,-772,7861,-3298
10023,-11117,5121,-807,7997,-2259
10045,-11109,4859,-923,7896,-1205
10119,-11191,4624,-1113,7690,-154
10198,-11338,4432,-1361,7492,853
10331,-11516,4288,-1640,7298,1732
10590,-11682,4143,-1899,7006,2357
10994,-11851,4040,-2101,6497,2577
11537,-12026,4032,-2246,5843,2305
12209,-12159,4123,-2380,5297,1573
12940,-12204,4298,-2541,5060,449
13658,-12215,4511,-2749,5110,-992
14341,-12199,4688,-2955,5266,-2686
14972,-12118,4805,-3133,5421,-4565
15532,-12003,4953,-3321,5645,-6526
15994,-11869,5130,-3526,5956,-8518
16315,-11712,5345,-3686,6220,-10601
16613,-11482,5624,-3776,6317,-12710
16941,-11225,5883,-3782,6040,-14715
17241,-10890,5967,-3676,5280,-16521
17517,-10460,5820,-3510,3991,-18145
17894,-9951,5551,-3438,2100,-19607
18442,-9446,5272,-3663,-135,-20923
19090,-8985,5152,-4232,-2299,-22108
19645,-8574,5175,-4994,-4147,-23174
20032,-8196,5251,-5746,-5686,-24133
20174,-7777,5387,-6407,-6905,-24996
19981,-7294,5425,-6972,-7810,-25773
19610,-6760,5334,-7415,-8674,-26473
19150,-6190,5259,-7769,-9542,-27102
18558,-5564,5152,-8051,-10122,-27669
17792,-4900,4952,-8249,-10373,-28178
16893,-4170,4741,-8384,-10383,-28637
15851,-3362,4502,-8460,-10037,-29050
14696,-2543,4213,-8480,-9400,-29058
13489,-1709,4007,-8410,-8706,-28688
12279,-800,3776,-8190,-8034,-27980
11136,226,3532,-7839,-7428,-26929
10067,1305,3333,-7449,-6902,-25630
9077,2378,3114,-7050,-6443,-24173
8200,3457,2934,-6633,-6127,-22607
7465,4520,2808,-6217,-5947,-21006
6870,5534,2775,-5811,-5823,-19427
6346,6446,2770,-5419,-5641,-17922
5874,7295,2737,-5028,-5362,-16513
5432,8082,2697,-4663,-5049,-15246
4973,8767,2656,-4341,-4757,-14084
4580,9349,2647,-3983,-4549,-12939
4312,9920,2668,-3518,-4339,-11764
4047,10429,2676,-2993,-3954,-10581
3744,10858,2610,-2438,-3471,-9419
3542,11275,2537,-1873,-3126,-8306
3487,11723,2461,-1324,-2957,-7287
3531,12193,2391,-841,-2840,-6381
3595,12658,2302,-463,-2650,-5588
3604,13134,2181,-182,-2364,-4904
3573,13582,2056,-7,-2037,-4310
3501,13978,1940,73,-1717,-3795
3416,14328,1839,84,-1431,-3355
3367,14608,1804,27,-1163,-2978
3307,14818,1794,-74,-831,-2659
3169,14975,1762,-186,-447,-2388
2988,15084,1701,-288,-123,-2148
2862,15148,1691,-374,80,-1913
2742,15154,1694,-437,255,-1669
2528,15149,1638,-459,443,-1392
2225,15124,1551,-453,544,-1058
1897,15025,1455,-421,462,-638
1449,14837,1206,-337,205,-92
818,14523,824,-255,-276,662
407,13961,723,-255,-1128,1756
451,13201,961,-180,-2084,3190
793,12412,1343,140,-2612,4890
1368,11582,1774,669,-2452,6807
2102,10703,2153,1394,-1583,8895
2815,9772,2488,2319,-207,11075
3439,8771,2774,3470,1280,13244
4172,7768,2826,4898,2620,15196
5049,6800,2670,6544,3729,16953
5767,5843,2375,8314,4486,18535
6413,4981,2111,9907,5167,19958
6995,4205,1872,11341,5780,21239
8345,3638,1129,13484,4944,22392
9353,3231,200,15412,4502,23429
10341,2688,-817,17147,4351,24363
11533,1726,-1846,18495,4019,25203
12736,414,-2625,19457,3166,25960
13646,-839,-3292,20403,2067,26640
14591,-2025,-3855,21092,1050,27253
15624,-3353,-4242,21309,389,27805
16530,-4778,-4442,21144,236,28301
17345,-6060,-4622,20996,98,28747
17857,-7231,-4456,20265,993,28778
18184,-8147,-4258,19368,2195,28444
18249,-8801,-4064,18314,3611,27756
17998,-9302,-3958,17047,5223,26785
17536,-9798,-3813,15563,6939,25627
16966,-10282,-3605,13937,8817,24510
16115,-10688,-3329,12378,10511,23378
15165,-11020,-3006,10974,11592,22224
14247,-11372,-2604,9730,11851,21104
13527,-11722,-2142,8707,11325,19992
13140,-12044,-1604,7868,10342,18851
12927,-12303,-1054,7125,9393,17676
12572,-12538,-553,6412,8744,16456
12081,-12753,-129,5738,8250,15215
11635,-12949,248,5159,7612,13967
11294,-13125,599,4672,6850,12728
10949,-13285,896,4248,6137,11515
10601,-13442,1136,3869,5499,10355
10374,-13579,1334,3537,4908,9252
10189,-13697,1505,3222,4484,8203
10023,-13802,1658,2937,4102,7259
9857,-13886,1787,2614,4024,6301
9818,-13944,1870,2284,4058,5390
9655,-14001,1873,1905,4352,4449
9476,-14057,1873,1493,4714,3500
9545,-14124,1907,1076,5010,2580
9670,-14193,1885,648,5450,1644
9708,-14191,1744,213,5965,613
9863,-14203,1664,-237,6270,-583
10178,-14292,1636,-718,6539,-1958
10625,-14477,1746,-1238,6980,-3474
11136,-14731,1922,-1716,7533,-5174
11803,-15005,2066,-2113,7939,-7055
12511,-15243,2235,-2440,8046,-9085
13284,-15451,2221,-2748,8041,-11168
13852,-15692,2162,-2988,8133,-13225
14364,-15885,2362,-3118,8340,-15143
14834,-15922,2767,-2968,8516,-16906
15133,-15740,3169,-2597,8304,-18492
15278,-15350,3510,-2097,7466,-19919
15408,-14998,3816,-1648,6711,-21204
15789,-14065,3673,-1238,4070,-22360
16590,-12983,3352,-1211,1105,-23401
17791,-11946,2999,-1670,-1551,-24338
18904,-11181,2681,-2577,-3401,-25180
19640,-10523,2304,-3643,-4406,-25939
19977,-9912,1992,-4738,-5005,-26622
19944,-9304,1700,-5821,-5424,-27236
19528,-8746,1534,-6888,-5818,-27789
18781,-8249,1440,-7863,-6165,-28287
17791,-7776,1446,-8732,-6338,-28735
16428,-7336,1630,-9483,-6328,-29138
14644,-6818,1965,-10007,-6075,-29501
12664,-6091,2239,-10223,-5570,-29748
10865,-5120,2499,-10162,-5062,-29117
9380,-4048,2698,-9930,-4627,-27735
8171,-2871,2731,-9462,-4307,-25858
7293,-1514,2626,-8765,-4230,-23687
6757,-82,2525,-8022,-4436,-21422
6501,1345,2515,-7294,-4753,-19240
6375,2710,2479,-6522,-4941,-17274
6274,3990,2441,-5783,-4947,-15549
6119,5179,2378,-5100,-4804,-14095
5922,6266,2317,-4522,-4622,-12842
5751,7249,2303,-4030,-4466,-11732
5659,8118,2370,-3639,-4280,-10708
5567,8911,2430,-3291,-3957,-9748
5395,9643,2412,-2980,-3495,-8833
5194,10279,2377,-2717,-3035,-7935
5049,10816,2352,-2480,-2698,-7057
4970,11324,2345,-2238,-2505,-6243
4958,11800,2316,-1993,-2390,-5515
4995,12222,2306,-1778,-2260,-4875
4994,12571,2302,-1598,-2021,-4314
4904,12844,2289,-1441,-1699,-3808
4754,13067,2264,-1283,-1422,-3331
4586,13284,2175,-1088,-1297,-2877
4511,13510,2066,-876,-1342,-2438
4559,13718,2016,-694,-1447,-2019
4640,13902,1995,-540,-1450,-1633
4688,14071,1943,-387,-1342,-1291
4701,14224,1853,-244,-1199,-996
4711,14352,1768,-123,-1065,-727
4706,14438,1713,-27,-939,-472
4682,14468,1698,60,-829,-212
4651,14416,1745,163,-731,76
4627,14229,1861,310,-599,425
4653,13794,2054,538,-347,886
4673,13046,2244,920,149,1531
4570,12080,2331,1545,919,2446
4327,11008,2338,2441,1778,3716
4069,9892,2285,3602,2474,5352
3990,8784,2233,5009,2888,7307
4156,7725,2112,6643,3122,9542
4501,6758,1867,8455,3296,11864
5007,5908,1562,10338,3464,13954
5836,5121,1205,12176,3645,15836
6583,4412,883,13830,3808,17529
7254,3774,594,15319,3955,19053
8963,3161,36,16710,4826,20424
10673,2520,-727,17751,5908,21658
12212,1943,-1415,18688,6882,22769
13627,1138,-2333,19057,7134,23769
14888,376,-3016,19108,6948,24669
16114,-408,-3341,18962,6531,25436
17234,-1166,-3411,18643,6347,26030
18102,-2020,-3486,18095,6574,26419
18566,-2945,-3573,17402,6882,26480
18736,-3709,-3607,16638,7009,26264
18643,-4527,-3556,15687,6828,25783
18593,-5346,-3283,14633,6306,25293
18514,-6095,-2921,13604,5937,24704
18250,-6823,-2485,12592,5938,24042
17771,-7494,-2054,11628,6319,23422
17170,-8171,-1688,10706,6851,22840
16570,-8824,-1351,9829,7272,22260
15962,-9421,-1004,9011,7546,21610
15257,-9979,-692,8229,7708,20847
14517,-10493,-379,7514,7639,19950
13856,-10931,-98,6875,7270,18943
13336,-11293,205,6271,6740,17843
12869,-11619,478,5726,6263,16853
12335,-11921,790,5160,5907,15669
11856,-12163,1049,4648,5530,14517
11460,-12380,1281,4181,5092,13386
11053,-12597,1487,3752,4672,12278
10652,-12817,1663,3363,4287,11220
10330,-12995,1803,3023,3905,10227
10077,-13125,1888,2712,3521,9254
9839,-13255,1966,2391,3177,8281
9603,-13390,2030,2057,2914,7326
9427,-13501,2079,1723,2707,6394
9385,-13565,2099,1389,2496,5457
9485,-13583,2071,1040,2210,4441
9662,-13599,1977,663,1768,3228
10007,-13681,1854,243,1098,1745
10600,-13839,1741,-229,299,21
11371,-14084,1712,-789,-360,-1874
12284,-14371,1602,-1402,-783,-3911
13463,-14648,1373,-2048,-1176,-6165
14734,-14892,1021,-2825,-1586,-8654
15878,-15112,704,-3524,-1956,-10894
16895,-15254,271,-4407,-2942,-13081
17995,-15049,-489,-5408,-3718,-15050
19195,-14702,-1231,-6664,-4300,-16821
20165,-14462,-1509,-8134,-4572,-18416
20797,-14302,-1456,-9616,-3390,-19851
20859,-14227,-1359,-10885,-516,-21143
20243,-14113,-1320,-11550,2565,-22305
19258,-13757,-1136,-11650,4905,-23351
18034,-13258,-820,-11529,6248,-24293
16756,-12538,-460,-11196,6484,-25140
15783,-11470,-190,-10545,5454,-25903
15131,-10097,-224,-9848,3365,-26589
14869,-8585,-413,-9428,635,-27207
14810,-7146,-519,-9359,-2228,-27763
14716,-5854,-613,-9573,-4812,-28209
14570,-4665,-664,-9940,-7057,-28514
14415,-3542,-577,-10442,-8750,-28778
14093,-2582,-293,-11057,-9571,-28977
13346,-1855,28,-11646,-9513,-29140
12139,-1195,439,-12058,-8972,-29089
10759,-444,906,-12197,-8287,-28509
9501,374,1374,-12010,-7704,-27323
8418,1238,1790,-11492,-7271,-25713
7493,2189,2093,-10709,-6909,-23871
6769,3201,2320,-9799,-6568,-21877
6245,4196,2549,-8888,-6228,-19803
5830,5184,2679,-7956,-5888,-17791
5571,6173,2744,-7036,-5647,-15905
5477,7163,2810,-6187,-5479,-14184
5424,8155,2859,-5415,-5228,-12662
5319,9038,2857,-4763,-4846,-11329
5185,9760,2864,-4239,-4435,-10152
5085,10414,2870,-3793,-4041,-9096
4951,11013,2850,-3417,-3637,-8157
4758,11538,2801,-3103,-3233,-7308
4593,11971,2746,-2835,-2897,-6508
4524,12309,2734,-2604,-2623,-5754
4482,12597,2723,-2386,-2301,-5060
4385,12813,2706,-2178,-1906,-4418
4241,12948,2686,-1960,-1530,-3807
4093,13028,2672,-1705,-1249,-3193
3981,13039,2726,-1417,-1058,-2539
3897,12964,2829,-1080,-885,-1822
3836,12807,2953,-668,-688,-1017
3811,12559,3043,-175,-404,-86
3810,12222,3129,392,12,1014
3786,11775,3192,1051,545,2301
3761,11224,3245,1847,1068,3784
3801,10588,3285,2823,1489,5464
3946,9901,3265,3988,1846,7322
4214,9162,3183,5310,2231,9339
4610,8372,3033,6752,2730,11493
5103,7538,2779,8287,3380,13620
5596,6671,2349,9846,4110,15535
6233,5838,1754,11375,4681,17258
6807,5089,1219,12751,5196,18809
7323,4415,737,13989,5658,20205
8674,3673,91,15032,6189,21461
9671,2973,-647,15847,6662,22592
10833,2223,-1431,16345,6816,23609
11878,1547,-2138,16794,6953,24525
13684,297,-2352,16596,6659,25349
15044,-725,-2533,16476,6657,26091
15890,-1510,-2754,16217,7022,26646
16340,-2405,-2841,15651,7373,27107
16730,-3367,-2723,14938,7329,27450
17025,-4374,-2542,14198,6980,27504
17221,-5397,-2157,13445,6269,27516
17393,-6311,-1836,12844,5658,27552
17431,-7131,-1611,12268,5307,27427
17222,-7896,-1334,11666,5025,27059
16796,-8677,-1008,11018,4683,26439
16231,-9364,-759,10428,4183,25650
15733,-9936,-502,9846,3555,24773
15313,-10443,-270,9196,2977,23753
14888,-10855,-49,8523,2514,22562
14524,-11192,217,7857,2167,21271
14141,-11497,491,7210,2035,19905
13651,-11742,715,6577,2105,18502
13168,-11994,932,5927,2216,17107
12734,-12220,1128,5341,2315,15851
12347,-12411,1292,4765,2384,14517
11890,-12616,1484,4187,2514,13219
11333,-12853,1705,3627,2643,11966
10716,-13088,1884,3133,2625,10806
10156,-13301,1990,2737,2304,9747
9664,-13472,2017,2445,1628,8776
9297,-13600,2062,2274,540,7866
9017,-13730,2104,2145,-627,7042
8814,-13856,2135,2055,-1606,6288
8725,-13928,2149,2004,-2435,5626
8747,-13984,2245,1944,-3091,5045
8814,-14031,2379,1832,-3330,4549
8850,-14093,2532,1645,-3038,4105
8830,-14158,2680,1383,-2244,3716
8756,-14222,2750,1064,-1080,3376
8658,-14257,2705,712,210,3047
8538,-14278,2610,349,1377,2691
8450,-14294,2468,-10,2347,2289
8418,-14308,2307,-374,3145,1848
8389,-14320,2162,-703,3864,1452
8579,-14335,2046,-1070,4278,826
8984,-14332,2012,-1417,4384,-8
