,Mean-accX,Range-accX,Var-accX,Median-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,label
0,234.43,27403,54888376.29,1826.5,2112.97,23921,78213569.02,4973.5,7712.35,31017,68977093.28,10376,5405.98,38377,95038239.92,7797,195.35,26993,38820582.69,1045,871.02,30121,63315592.1,-1112,1
0,2135.89,30435,60658748.7,2966.5,-1070.19,29175,94766827.27,-3822.5,8979.96,33601,62962039.84,12021.5,4182.35,46302,127095286.1,4114.5,-621.23,36492,80328365.53,-1649.5,-918.05,44742,123768218.8,-1970.5,1
0,4886.28,24777,42946499.92,4693,-9982.68,20929,27637870.85,-10922.5,8324.58,37424,96338427.09,12091.5,4306.33,45583,249798358.9,-2819,-3332.8,34261,87212103.94,-3501,404.1,43831,146392740.7,2774.5,1
0,748.68,33803,90257532.02,2290,-5373.95,28750,78500736.23,-7754,5689.74,34076,89169327.81,8468,3946.3,49777,153357666.3,3550.5,-903.9,42016,88809163.73,-1897,-199.43,53178,143587059.6,-361,1
0,-5806.07,20823,47653610.15,-5658,-939.02,25652,72350363.72,3058.5,4380.02,33164,112378347.1,2575,3225.61,42368,138310389.4,4124,365.18,27149,47958622.67,55.5,1500.99,32703,92137929.65,-2516.5,1
0,-5129.85,21463,49012948.45,-5014.5,-515.27,26990,69174866.83,2111,3888.64,36189,108554789.9,4120.5,3104.35,41226,134124454.9,5147,598.39,27905,46412416.66,1438,930.07,32738,98881539.4,-3333.5,1
0,4094.01,27803,43098926.7,4603.5,-9330.59,19362,27592627.6,-10231.5,7975.97,37176,94450234.15,11479.5,4010.47,50574,266322388.2,-625,-1587.21,43678,113219234,-2707.5,-967.67,46894,140883204.5,1428,1
0,-5249.43,14196,14119345.32,-5952.5,-3501.67,25169,67528586.14,-3092,6101.38,41348,133464447.9,10667.5,7211.97,51862,219746346.4,10542.5,3343.66,30432,44913227.8,3067.5,2966.44,27739,38153793.62,959.5,1
0,-7952.92,15535,10332716.48,-8345,-3820.9,30836,79847321.1,-3352.5,2682.53,40904,143422590,4960.5,4329.92,49366,239616626.3,7557.5,1340.25,22189,26932600.84,1165.5,4388.62,33657,80302924.32,2052,1
0,-5093.86,21491,36841253.48,-7091.5,-5004.68,26781,70849534.42,-6968.5,5741.37,38337,118527018.4,10463.5,4210.66,54049,192600344.4,2748.5,194.07,32613,70929502.65,1995,3322.13,29682,40960188.05,1646,1
0,-788.97,22382,42575709.04,-1973,-11052,23801,36130869.41,-12016.5,5960.94,32707,86699971.94,10104.5,1621.15,51686,238943298,-3044,-3113.73,39625,111715665.1,-4286,3463.83,37808,80665104.75,3117.5,1
0,-2451.93,21067,42690068.49,-3056,-10368.02,24066,38545964.95,-10729.5,6268.09,35833,86622321.23,9027.5,4201.28,52119,286828293,-1511,81.65,41041,129856126.6,-672,2268.41,30987,55944696.49,735.5,1
0,-819.2,21442,43998405.8,82,-11279.54,21589,31688016.11,-11401.5,7001.9,36608,82569000.86,9602,3196.48,52702,278196485.2,-937.5,-1055.25,41282,131331254.3,-1472,2362.85,32999,63546482.82,2395,1
0,-2685.86,19751,29300352.61,-3278,-10770.67,22356,33805698.47,-10374.5,7180.99,36726,87689278.84,9967.5,2054.27,53885,311751371.4,-2871.5,-1511.24,41481,145056262.7,-3049.5,4762.99,24381,38967915.83,2895,1
0,8872.13,39594,99652182.36,11382.5,-4051.25,19200,26232030.25,-3975.5,5725.28,17178,20134425.48,6895.5,1725.98,32004,69402973.29,1102.5,-181.99,30528,41787441.61,461.5,-4078.08,50920,250561514.6,-648,1
