5444, -19862, 7072, 9722, 8864, -11970
3653, -18599, 7387, 9438, 8882, -13187
1649, -17387, 8012, 8880, 8454, -13204
-504, -16405, 8841, 8048, 7900, -11875
-2649, -15674, 9718, 6987, 7590, -9019
-4088, -15371, 10604, 5657, 7511, -4840
-4719, -15475, 11083, 4094, 7592, -1080
-4516, -16095, 11375, 2375, 7460, 2304
-3665, -16910, 11612, 755, 6970, 5350
-2175, -17423, 11554, -568, 5503, 8092
369, -17077, 11836, -1470, 3538, 10560
2019, -16146, 11963, -1910, 2439, 12780
3298, -15096, 12392, -2176, 2276, 13594
4316, -13983, 12886, -2374, 2068, 13837
5315, -12838, 13269, -2562, 1812, 13774
6081, -11717, 13550, -2708, 1726, 13253
6453, -10544, 13744, -2945, 1544, 12162
6605, -9463, 13914, -3213, 1501, 11002
6554, -8444, 14033, -3468, 1476, 9808
6391, -7525, 14096, -3751, 1451, 8665
6141, -6680, 14055, -4059, 1320, 7611
5880, -5923, 13851, -4436, 1036, 6646
5706, -5301, 13417, -4930, 795, 5744
5424, -4797, 12846, -5613, 696, 4789
5236, -4530, 12137, -6564, 198, 3691
5095, -4555, 11367, -7822, -692, 2525
5169, -4808, 10761, -9376, -1705, 1440
5238, -5356, 10342, -11153, -2244, 707
5300, -6040, 10086, -13041, -2377, 396
5541, -6949, 10267, -15013, -2332, 594
5648, -8079, 10515, -16789, -1711, 1309
5753, -9349, 10774, -18386, -900, 2290
5647, -10760, 10958, -19824, -329, 3257
5566, -12077, 10944, -20896, -101, 3970
5544, -13152, 10760, -21558, -97, 4383
5500, -14120, 10540, -21886, 91, 4459
4729, -14984, 11066, -21681, 701, 4263
4398, -15439, 11640, -20597, 192, 3779
6872, -19476, 7520, 8620, 12110, -10856
5712, -17429, 8013, 8703, 11460, -11847
4776, -15567, 8508, 8484, 11035, -11659
4146, -14166, 8957, 7966, 10620, -10659
3852, -13042, 9247, 7288, 10131, -9337
3428, -11994, 9391, 6534, 9735, -8031
2967, -10991, 9497, 5667, 9126, -6987
1926, -10022, 9793, 4664, 8463, -6165
287, -9165, 10385, 3524, 7727, -5181
-1794, -8592, 11114, 2262, 7219, -3448
-3433, -8411, 11758, 925, 6898, -503
-4349, -8688, 12147, -533, 6607, 2823
-4746, -9511, 12426, -2208, 6397, 5818
-4427, -10804, 12667, -3978, 5698, 8513
-2754, -11928, 13212, -5416, 4380, 10938
-1240, -11866, 13400, -6024, 2939, 13121
251, -11685, 13735, -6092, 2243, 14551
1523, -11049, 14092, -6100, 2028, 14862
2631, -10342, 14392, -6149, 1513, 14718
3621, -9614, 14689, -6176, 1011, 14106
4223, -8870, 14927, -6184, 753, 13189
4568, -8151, 15126, -6186, 625, 12080
4747, -7455, 15271, -6184, 573, 10898
4700, -6804, 15343, -6192, 654, 9714
4649, -6202, 15344, -6208, 489, 8499
4640, -5656, 15204, -6246, 70, 7261
4557, -5204, 14738, -6355, -512, 5909
4491, -4838, 14044, -6650, -1477, 4347
4430, -4621, 13178, -7218, -2467, 2763
4491, -4625, 12343, -8120, -3187, 1357
4460, -4770, 11555, -9303, -3329, 256
4363, -5075, 10884, -10794, -3142, -394
4323, -5636, 10547, -12648, -3074, -479
4467, -6962, 10688, -14660, -3006, 710
4681, -8381, 10855, -16471, -2853, 2188
4824, -9923, 11063, -18100, -2470, 3746
4754, -11616, 11073, -19567, -1887, 5161
4709, -13342, 10921, -20829, -1525, 6327
6072, -19740, 7867, 11321, 15512, -11735
4751, -18222, 7480, 11137, 14808, -12073
2851, -16566, 7247, 10356, 13577, -12021
790, -15129, 7558, 8977, 12242, -11062
-1271, -14099, 8154, 7141, 11394, -8768
-2762, -13502, 8798, 5016, 10572, -5224
-3544, -13282, 9537, 2799, 9752, -1424
-3918, -13445, 10206, 654, 9244, 1994
-3771, -13869, 10837, -1287, 8568, 5071
-3380, -14236, 11473, -2896, 7466, 7841
-2436, -14520, 11885, -4176, 5773, 10333
-967, -14495, 12487, -5024, 4034, 12577
217, -13942, 12800, -5367, 2723, 14596
1455, -13376, 13199, -5426, 1690, 15537
2477, -12595, 13462, -5359, 1305, 15897
3606, -11744, 13720, -5354, 796, 15795
4455, -10842, 13906, -5361, 350, 15215
4978, -9916, 14137, -5431, 263, 14140
5227, -9073, 14310, -5516, 396, 12949
5327, -8272, 14483, -5610, 357, 11620
5344, -7532, 14647, -5723, 193, 10327
5333, -6851, 14799, -5851, -18, 9128
5304, -6242, 14867, -5987, -157, 8038
5297, -5722, 14694, -6138, -178, 7012
5240, -5275, 14153, -6325, -113, 5918
5098, -5040, 13277, -6683, -272, 4565
4942, -5072, 12190, -7394, -1016, 2863
4907, -5267, 11322, -8634, -2197, 1034
5000, -5610, 10886, -10329, -3016, -414
4930, -5825, 10624, -12165, -3119, -1148
4936, -6379, 10637, -14165, -3030, -1107
4978, -7312, 10802, -16025, -2859, -351
5055, -8541, 11020, -17699, -2745, 908
5158, -10161, 11124, -19206, -3069, 2657
5246, -11560, 10922, -20303, -3521, 4302
5464, -12936, 10649, -21052, -4019, 5565
5760, -13995, 10371, -21389, -3986, 6264
5731, -14947, 10161, -21383, -3026, 6334
3897, -20358, 6083, 11530, 12172, -6048
