4668, -17100, 8406, 8059, 3089, -4290
4200, -15796, 8331, 7800, 3584, -4279
3654, -14704, 8536, 7145, 4552, -3888
2580, -13650, 8780, 6351, 5499, -3212
1143, -12702, 9299, 5432, 5983, -2191
-350, -11943, 10012, 4412, 6133, -799
-2036, -11497, 10653, 3269, 6487, 1105
-3298, -11479, 11221, 1928, 6865, 3641
-4185, -11850, 11411, 390, 7163, 6554
-4246, -12545, 11442, -1350, 6411, 9175
-3750, -13398, 11612, -2993, 4906, 11534
-1974, -13459, 11786, -4036, 3489, 13658
-227, -13090, 12136, -4862, 2637, 15305
955, -12492, 12390, -5406, 1851, 15704
2301, -11821, 12672, -5788, 727, 15355
3369, -11003, 12706, -6032, 19, 14593
4144, -10183, 12647, -6256, -116, 13441
4718, -9501, 12666, -6558, 393, 11927
4713, -9100, 12623, -6933, 1505, 9943
4689, -8929, 12648, -7325, 1938, 7623
4571, -8958, 12578, -7648, 1840, 5169
4641, -8917, 12484, -8082, 1483, 2700
4599, -9008, 12378, -8834, 1788, 441
4357, -9036, 12096, -9701, 2471, -1453
4217, -9007, 11899, -10864, 2620, -2930
3919, -9264, 12015, -12294, 2707, -3970
3728, -9628, 12220, -13691, 2917, -4622
2998, -10441, 12440, -14814, 3637, -4578
2305, -11534, 12824, -15886, 3561, -4459
1669, -12220, 12979, -16608, 3454, -4263
1325, -12758, 12741, -16977, 2820, -4119
1273, -13253, 12395, -17288, 1844, -3877
1182, -13687, 12149, -17644, 981, -3421
1224, -13981, 11783, -17768, 436, -2889
1496, -14565, 11364, -17581, 218, -2464
1552, -15100, 10853, -17098, 732, -2152
1545, -15412, 10284, -16438, 1439, -2089
1214, -15543, 9783, -15658, 2330, -2307
3374, -15360, 10363, 7484, 2505, -2304
2945, -14190, 10188, 6885, 3224, -2049
2275, -13065, 10256, 6088, 4192, -1624
1088, -12083, 10601, 5153, 5326, -1019
-630, -11228, 10961, 4173, 6381, -147
-2427, -10698, 11355, 3067, 6947, 1185
-3967, -10492, 11661, 1799, 7039, 3165
-4796, -10668, 11833, 358, 6658, 5754
-5102, -11125, 11987, -1225, 6047, 8456
-4726, -11899, 12133, -2804, 4897, 10887
-3492, -12500, 12265, -4102, 3226, 13075
-1533, -12215, 12583, -4822, 2166, 15001
-77, -11619, 12881, -5350, 1919, 16086
1158, -11041, 13188, -5874, 1723, 16357
2333, -10445, 13662, -6376, 1236, 15870
3251, -9787, 14129, -6710, 909, 14883
3742, -9150, 14473, -6902, 1162, 13608
3967, -8571, 14708, -7011, 1439, 12129
4090, -8023, 14732, -7053, 1559, 10563
4052, -7555, 14542, -7076, 1623, 8921
4012, -7216, 14171, -7122, 1597, 7154
3858, -6973, 13572, -7263, 1493, 5235
3937, -6902, 13016, -7693, 1245, 3261
3836, -7012, 12524, -8414, 1380, 1447
3873, -7109, 12107, -9389, 1576, -179
3788, -7605, 12076, -10690, 2075, -1523
3452, -8148, 11881, -11971, 2942, -2593
3215, -9130, 11949, -13679, 3083, -3244
3011, -10172, 12111, -15262, 3409, -3738
2499, -11370, 12445, -16649, 4272, -4156
1897, -12346, 12370, -17507, 5235, -4543
1440, -13354, 12594, -18146, 5345, -4922
657, -14037, 12796, -18382, 5761, -5268
294, -14578, 12655, -18137, 5817, -5522
7, -14965, 12313, -17729, 5335, -5523
-56, -15167, 11995, -17273, 4803, -5312
-89, -15290, 11646, -16788, 4579, -5130
14, -15543, 11163, -16195, 4638, -5098
4205, -17136, 9491, 6783, 3477, -4585
3758, -15876, 9080, 6590, 3601, -4346
3409, -14580, 9032, 5992, 3816, -3949
2866, -13393, 9181, 5201, 4257, -3459
2269, -12311, 9691, 4320, 4786, -2882
1096, -11400, 10278, 3460, 5546, -2174
-423, -10540, 10758, 2595, 5973, -1265
-2049, -9911, 11369, 1521, 6196, 82
-3658, -9739, 11907, 269, 6832, 2100
-4968, -9926, 12142, -1128, 7177, 4643
-5474, -10481, 12240, -2604, 6355, 7443
-5372, -11190, 12419, -3952, 4738, 9975
-3827, -11714, 12578, -4699, 2404, 12254
-2294, -11750, 12735, -5161, 1265, 14200
-1043, -11502, 12891, -5503, 527, 15342
352, -10983, 13093, -5726, -587, 15699
1655, -10400, 13367, -5866, -1329, 15508
2656, -9860, 13705, -5995, -1293, 15019
3423, -9295, 13903, -6106, -971, 14318
4053, -8694, 14071, -6223, -582, 13323
4318, -8099, 14060, -6333, -136, 12033
4569, -7516, 13857, -6436, -249, 10565
4962, -7044, 13611, -6565, -417, 8891
5043, -6833, 13082, -6701, 138, 6895
5026, -6728, 12413, -6965, 578, 4534
5126, -6899, 11945, -7572, 685, 2144
5053, -7143, 11370, -8458, 972, -30
5068, -7443, 10982, -9693, 996, -1953
4884, -8110, 10916, -11711, 1668, -3278
4616, -9037, 10994, -13817, 2935, -4056
3849, -10070, 11229, -15712, 4823, -4437
2958, -11603, 11712, -17417, 6304, -4555
1985, -12809, 11754, -18675, 7961, -4622
761, -13948, 11664, -19512, 8310, -4567
196, -14858, 12030, -20059, 7035, -4878
-1046, -15253, 12405, -20009, 6475, -5233
-1512, -15885, 12592, -19740, 5006, -5715
-1427, -16247, 12441, -18674, 3930, -5663
319, -17288, 10212, 8702, 940, -1426
16, -16063, 9763, 8349, 1453, -1135
-398, -14845, 9714, 7635, 2169, -725
-1484, -13693, 9803, 6800, 3398, -165
-2817, -12608, 9859, 5852, 4330, 593
-4197, -11728, 10119, 4654, 4914, 1774
-5312, -11116, 10353, 3239, 5469, 3510
-6083, -10830, 10541, 1586, 5916, 5730
-6324, -10799, 10795, -278, 5993, 8233
-6086, -11051, 11020, -2257, 5512, 10686
-5153, -11416, 11434, -4164, 4453, 12894
-4059, -11529, 11864, -5740, 3554, 14882
-2605, -11416, 12501, -6998, 2551, 16377
-1157, -10845, 13180, -7659, 1831, 16472
-54, -10132, 13787, -8016, 1434, 15940
899, -9453, 14304, -8168, 1121, 14887
1536, -8760, 14734, -8184, 1107, 13499
1992, -8152, 14994, -8096, 1476, 11932
2045, -7564, 15069, -7903, 1828, 10163
2287, -7186, 14997, -7657, 1459, 8168
2296, -6966, 14544, -7340, 1032, 5997
2447, -6687, 13901, -7188, 393, 3674
2646, -6706, 13351, -7485, 137, 1404
2510, -6834, 12604, -8056, 498, -616
2558, -6895, 12112, -9023, 455, -2339
2482, -7184, 11856, -10335, 395, -3636
2441, -7404, 12013, -11950, 173, -4452
2187, -8140, 12858, -13716, 450, -4794
2001, -8765, 13404, -15245, 660, -4872
1893, -9976, 13717, -16620, 945, -4732
1376, -10996, 13924, -17695, 1484, -4657
1120, -11745, 13869, -18335, 1736, -4641
928, -12557, 13828, -18604, 2033, -4587
489, -13179, 13466, -18432, 2949, -4503
373, -13719, 12953, -18000, 3554, -4413
225, -14104, 12356, -17442, 4227, -4220
90, -14390, 11723, -16810, 4894, -3938
-13, -14648, 11130, -16127, 5364, -3647
-419, -16576, 10142, 7286, -462, 2169
-361, -15269, 9515, 7183, -458, 2127
-358, -14086, 9416, 6616, -93, 2146
-877, -12900, 9441, 5864, 724, 2263
-1534, -11854, 9790, 4971, 1290, 2425
-2739, -10817, 10196, 4036, 2206, 2753
-4223, -10014, 10527, 3005, 3458, 3447
-5831, -9465, 10653, 1731, 4689, 4689
-6968, -9367, 10772, 108, 5289, 6471
-7535, -9575, 10911, -1742, 5081, 8558
-7363, -10049, 11208, -3634, 4238, 10729
