10799, -14300, -3089, -11059, -14761, -16032
10863, -13133, -3783, -13024, -14655, -17706
10564, -12014, -4525, -14898, -13843, -19115
10309, -10694, -4832, -16459, -12615, -19818
9900, -9138, -5337, -17612, -10911, -20028
9331, -7434, -5667, -18516, -9159, -20122
8784, -5670, -5821, -19217, -7141, -20255
7993, -3967, -5876, -19675, -4944, -20674
6775, -2213, -5964, -19822, -2703, -21387
5318, -457, -5966, -19650, -730, -22133
3617, 1088, -5767, -19227, 611, -22663
1506, 2123, -5649, -18076, 385, -21997
-545, 2547, -5612, -16653, -127, -19770
-1868, 2307, -5757, -15429, -828, -15694
-2453, 1641, -5903, -14945, -1628, -10848
-2360, 584, -5740, -15400, -1992, -6486
-1939, -1066, -5314, -16811, -1436, -2561
-1459, -3820, -4830, -18407, -227, 971
304, -6714, -3030, -19843, 942, 4151
2740, -8646, -1677, -21135, 3336, 7012
3926, -9994, 891, -21705, 5534, 9588
5105, -11148, 3267, -21648, 5553, 9860
6137, -11821, 4375, -21008, 3830, 9242
6975, -11880, 5036, -19992, 2112, 8579
7258, -11864, 5333, -19057, 1404, 7958
10701, -16658, -2517, -9937, -11586, -16186
10182, -15159, -2968, -11442, -9892, -17844
9374, -13348, -3497, -12677, -7734, -19336
8319, -11389, -4095, -13478, -5661, -20679
7047, -9313, -4629, -13940, -4209, -21888
5474, -7100, -4779, -14173, -4093, -22342
3936, -4988, -4803, -14054, -4288, -22171
2434, -3131, -4807, -13411, -4354, -21175
1058, -1678, -4809, -12530, -4288, -19049
-146, -873, -4711, -12093, -4000, -15567
-983, -823, -4517, -12650, -3604, -10822
-1041, -1744, -4206, -14382, -3227, -6463
-778, -3350, -3975, -16220, -2607, -2540
-415, -5782, -3901, -17875, -1365, 990
570, -8467, -3192, -19364, 639, 4168
492, -10300, -2693, -20704, 3568, 7028
1892, -12037, -346, -21911, 4505, 9601
2756, -13998, 2746, -22996, 4439, 10329
3770, -15259, 5096, -23215, 3041, 9720
4422, -15718, 6189, -22394, 1079, 8979
4951, -15844, 6556, -20974, -1047, 8381
5322, -15721, 6051, -19438, -2393, 7864
5659, -15582, 5417, -18274, -3199, 7938
5909, -15520, 4781, -17414, -3507, 8444
6067, -15602, 4180, -16827, -3456, 9134
11177, -17397, -1207, -6854, -10225, -15505
10534, -15864, -1682, -8107, -7259, -17231
9452, -14065, -2213, -8620, -4089, -18785
8063, -11977, -2825, -8477, -1610, -20183
6479, -9591, -3488, -8085, -312, -21441
4819, -7193, -3959, -7809, -216, -22574
2827, -4884, -4237, -7662, -657, -23265
843, -2825, -4669, -7421, -1393, -22910
-844, -1070, -5106, -6967, -2506, -21343
-1980, 126, -5363, -6597, -3676, -18441
-2870, 668, -5573, -6778, -4309, -14311
-3293, 355, -5462, -7877, -4389, -9603
-3273, -816, -5013, -9934, -3943, -5366
-2640, -2863, -4183, -12217, -2892, -1552
-2088, -5304, -3070, -14272, -1057, 1879
-692, -7110, -1825, -16121, 753, 4968
462, -7397, -13, -17786, 2405, 7748
1785, -8153, 2135, -18228, 1443, 7915
3234, -8677, 3794, -18362, 459, 7996
3908, -9096, 4444, -18284, 504, 8207
3973, -9455, 4468, -18064, 793, 7917
3934, -9900, 4190, -17879, 494, 7338
4309, -10415, 4124, -17882, -537, 6848
4859, -11131, 4177, -18130, -1606, 6707
5456, -11693, 4297, -18595, -2591, 7245
11254, -16058, -1942, -8864, -6760, -18409
10296, -14541, -2431, -9594, -4699, -19845
8962, -12862, -2905, -9894, -3095, -21137
7254, -10928, -3289, -9954, -1763, -22300
5506, -8911, -3486, -9930, -683, -23346
3410, -6828, -3592, -9832, 411, -23660
1174, -4662, -3836, -9610, 1135, -23253
-818, -2471, -4184, -9132, 991, -22250
-2446, -544, -4575, -8439, 50, -20646
-3809, 770, -5067, -7749, -1221, -18244
-4711, 1050, -5408, -7532, -2459, -14636
-5179, 401, -5417, -8158, -3391, -9895
-4727, -1572, -4565, -10619, -3037, -5629
-3797, -4241, -3519, -12833, -1631, -1789
-3064, -7094, -2454, -14827, 453, 1665
329, -8822, -765, -16621, 2272, 4776
908, -9834, 1768, -18079, 4227, 7533
2399, -10951, 4453, -18914, 3952, 8012
3906, -11594, 6533, -18923, 2682, 7725
4675, -11756, 7782, -18257, 1646, 7520
5027, -11702, 8090, -17300, 679, 7177
5319, -11469, 7909, -16319, -399, 6546
5604, -11273, 7604, -15633, -970, 5816
5641, -11105, 7176, -15272, -877, 5216
5559, -11052, 6698, -15285, -858, 5052
12012, -15598, -3584, -13060, -8018, -18413
11404, -14250, -3993, -13927, -4547, -19849
10284, -12574, -4496, -14094, -816, -21140
8808, -10670, -5123, -13669, 2542, -22303
7006, -8688, -5536, -12851, 5021, -23349
5085, -6620, -5765, -12032, 6136, -24291
3036, -4595, -6083, -11428, 6286, -24669
1454, -2428, -6483, -10716, 5132, -23131
181, -527, -6890, -10129, 3553, -20946
-898, 684, -7197, -10034, 2071, -18088
-1970, 1100, -7409, -10754, 859, -14354
-2574, 642, -7134, -12399, -208, -9658
-2636, -541, -6462, -14435, -628, -5415
-2263, -2397, -5568, -16269, -289, -1597
-1543, -4967, -4200, -17918, 642, 1838
-795, -6958, -2676, -19403, 2295, 4931
155, -7540, -349, -20740, 3552, 7715
805, -8119, 2257, -21312, 3767, 8358
1940, -8740, 4842, -21312, 2758, 8001
2719, -9041, 6931, -20879, 2083, 7635
3167, -9188, 8076, -20107, 1450, 7591
3438, -9098, 8565, -19144, 670, 7480
3599, -9069, 8529, -18196, -214, 7159
3930, -9061, 7963, -17577, -1339, 6689
4141, -9254, 7338, -17332, -2037, 6394
9605, -18553, 430, -2012, -13271, -15367
9227, -16760, -394, -4280, -13809, -17107
8616, -14848, -858, -6718, -12682, -18673
7564, -12844, -1207, -8900, -10337, -20082
6027, -10744, -1604, -10553, -7685, -21351
4160, -8578, -1841, -11648, -5535, -22492
2273, -6518, -1728, -12244, -3590, -23520
178, -4537, -1872, -12239, -1483, -24070
-1844, -2640, -2241, -11661, -108, -23795
-3605, -853, -2735, -10631, -88, -22594
-4881, 554, -3386, -9413, -807, -20229
-5672, 1251, -4125, -8536, -2013, -16568
-5841, 1165, -4679, -8520, -3278, -11688
-5637, 249, -4661, -9676, -3932, -7242
-4810, -1397, -3991, -11949, -3637, -3241
-3724, -3552, -3216, -14031, -2132, 359
-3142, -6132, -2405, -15904, 538, 3600
-1538, -7137, -33, -17591, 1763, 6516
-674, -8298, 2488, -18801, 2410, 7841
1022, -9400, 4875, -19483, 1686, 8136
2411, -10167, 6634, -19567, 963, 8469
3066, -10764, 7707, -19138, 435, 8902
3623, -10939, 7961, -18191, -622, 8309
4033, -11109, 7775, -17185, -1584, 7581
4342, -11172, 7345, -16350, -2314, 6916
11736, -15985, -1538, -6745, -7415, -19042
10946, -14677, -2361, -7009, -4465, -20414
9701, -13119, -3285, -6841, -1020, -21650
8008, -11176, -4326, -6432, 1786, -22761
6175, -8936, -5109, -6205, 3036, -23762
4150, -6557, -5603, -6354, 3243, -24533
2029, -4096, -5944, -6610, 2705, -24575
112, -1684, -6273, -6615, 1345, -24030
-1334, 487, -6536, -6285, -460, -22849
-2399, 2006, -6854, -5871, -2233, -20799
-3134, 2592, -7062, -5828, -3635, -17686
-3162, 1589, -6876, -7383, -4618, -12640
-2848, 42, -6377, -9614, -4950, -8099
-2278, -1906, -5586, -11929, -4538, -4013
-1521, -4098, -4428, -14013, -3541, -335
-589, -6129, -3040, -15888, -2225, 2975
1576, -7401, -957, -17576, -792, 5954
2326, -8378, 1392, -18886, 907, 7864
3159, -9406, 3393, -19553, 1094, 8183
3983, -10199, 4748, -19689, 309, 8141
4381, -10662, 5718, -19534, -309, 8401
4833, -11065, 6097, -19274, -740, 8362
5080, -11381, 6054, -18983, -648, 8105
5168, -11786, 5757, -18893, -262, 7893
5027, -12325, 5270, -18977, -1, 7626
11767, -17228, -1399, -7994, -9384, -18149
11055, -15896, -2026, -8742, -6822, -19611
9975, -14291, -2665, -9125, -3884, -20927
8288, -12386, -3472, -9097, -1035, -22111
6098, -10127, -4268, -8963, 1061, -23176
3921, -7753, -4563, -9072, 1650, -24135
1726, -5343, -4762, -9297, 1597, -24386
68, -2983, -4982, -8824, 538, -23205
-1181, -1021, -5323, -8121, -772, -21274
-1989, 251, -5602, -7608, -2148, -18486
-2410, 899, -5869, -7614, -3358, -14681
-2510, 834, -5753, -8374, -4290, -9979
-2418, 215, -5371, -9828, -4785, -5704
-2025, -969, -4701, -11892, -4451, -1857
-1445, -2866, -3810, -13980, -3188, 1605
-578, -4964, -2561, -15858, -1171, 4721
466, -6340, -1329, -17549, 1038, 7526
1349, -7100, 559, -19071, 2930, 10050
2046, -8143, 2942, -20150, 3969, 10847
3069, -9261, 5571, -20610, 3901, 11032
3923, -10009, 7582, -20382, 3365, 11129
4565, -10315, 8668, -19516, 2365, 10414
4858, -10448, 8930, -18382, 1335, 9434
5163, -10385, 8516, -17408, 26, 8422
5484, -10467, 8070, -16764, -900, 7564
10807, -15055, -2696, -10286, -3488, -19294
8901, -12926, -3456, -9886, -713, -20641
6941, -10439, -4207, -9438, 880, -21854
5130, -7744, -4666, -9136, 1253, -22945
3182, -4896, -5007, -8902, 1080, -23544
1184, -1867, -5361, -8482, 186, -23757
-589, 720, -5725, -7781, -1102, -23337
-1952, 2327, -6114, -7104, -2574, -21835
-2899, 2809, -6415, -6927, -3948, -18970
-3360, 2364, -6601, -7456, -5207, -14796
-3575, 1243, -6489, -8672, -5954, -10039
-3535, -317, -5949, -10514, -6099, -5759
-3142, -2405, -5219, -12740, -5625, -1906
-2278, -4921, -4179, -14742, -4597, 1561
-1168, -7245, -2716, -16545, -2862, 4681
932, -8592, -817, -18167, -843, 7490
1798, -9583, 1419, -18800, -64, 7979
2980, -10255, 3193, -18960, -685, 7825
3662, -10721, 4157, -18899, -1061, 7760
3977, -11067, 4371, -18732, -1091, 7535
4074, -11368, 4192, -18630, -951, 7227
4176, -11837, 3977, -18717, -951, 7001
4318, -12385, 3784, -18962, -1314, 7062
4787, -13122, 3809, -19368, -2177, 7630
5332, -13957, 3771, -19781, -3326, 8657
10145, -16427, -1910, -3792, -2135, -18880
8331, -14346, -3179, -2959, 1115, -20269
5801, -11711, -4618, -2504, 2770, -21519
3514, -9034, -5272, -2710, 2820, -22643
1329, -6420, -5658, -3210, 1951, -23534
-492, -3847, -5909, -3496, 62, -23523
-1730, -1684, -6076, -3297, -2536, -22683
-2457, -180, -6162, -2774, -4991, -20730
-2843, 725, -6358, -2387, -6629, -17551
-2828, 877, -6421, -2603, -7480, -13237
-2734, 406, -6083, -3679, -7536, -8637
-2523, -525, -5399, -5578, -6935, -4496
-2067, -1961, -4322, -8142, -5598, -770
-1560, -3852, -3337, -10605, -3444, 2583
-941, -5926, -2319, -12821, -996, 5601
27, -7513, -778, -14815, 229, 8318
