9752, -18420, 7457, 12742, -6893, -13205
9693, -16899, 6520, 14745, -6434, -15161
8992, -15168, 5335, 16547, -6222, -16922
7859, -13259, 3756, 18169, -6737, -18506
6156, -11331, 1953, 19629, -7946, -19932
4098, -9665, 20, 20943, -9901, -21216
1104, -8193, -2659, 21399, -11952, -20663
-2028, -7435, -5601, 19912, -14033, -17021
-4274, -8042, -7691, 15888, -15907, -12042
-2827, -10514, -6362, 11022, -12904, -7561
-2131, -12740, -3829, 6643, -8337, -3528
-1889, -12766, -403, 2702, -4226, 100
-2027, -12096, 2341, 417, -2610, 314
-1985, -11233, 4761, -1263, -1290, 326
-1860, -10420, 6446, -2759, -443, 670
-2021, -9742, 7271, -3949, 478, 838
-1973, -9284, 7574, -4830, 757, 559
-1779, -9097, 7329, -5520, 285, -69
-1574, -9128, 6877, -6200, -756, -1056
-1363, -9197, 6424, -6970, -2416, -2147
-628, -9144, 6388, -7969, -4959, -2680
197, -9261, 7009, -9266, -7404, -2030
1158, -9867, 7270, -10594, -9758, -78
3168, -11111, 7314, -11544, -12059, 3005
5711, -12125, 7581, -12175, -14129, 5981
7105, -12952, 7596, -13421, -14502, 8354
8266, -13741, 7368, -14497, -13375, 10291
8638, -14333, 6946, -14951, -9986, 11758
8057, -14937, 6717, -14791, -6517, 12318
8011, -15403, 6430, -14135, -6212, 11372
7902, -15593, 6039, -13281, -6742, 9779
7690, -15606, 5582, -12514, -6958, 8181
7386, -15581, 5016, -11854, -6604, 6780
7026, -15605, 4465, -11260, -6038, 5617
6677, -15629, 4012, -10735, -5548, 4722
6408, -15640, 3648, -10303, -5208, 4051
6166, -15694, 3323, -9949, -4868, 3555
5935, -15786, 3038, -9632, -4489, 3166
11977, -17966, 5086, 9619, -5939, -15210
11943, -16529, 4514, 11475, -5186, -16966
11353, -14828, 3665, 13105, -4522, -18546
10215, -12855, 2590, 14575, -4165, -19968
8731, -10630, 1370, 15821, -4617, -21248
7089, -8346, 142, 16755, -5811, -22400
4909, -6108, -1338, 17197, -7417, -22993
2576, -3996, -3131, 16676, -9316, -21798
468, -2488, -4789, 14671, -11267, -18516
465, -2738, -4937, 9927, -12152, -13388
907, -3842, -4226, 5658, -10988, -8772
1568, -5374, -2760, 1815, -8325, -4618
1652, -6078, -620, -1642, -4245, -880
1395, -5745, 1544, -4742, -796, 1473
1136, -5054, 3624, -6620, 714, 2481
1070, -4289, 5531, -7744, 1353, 2741
919, -3656, 7146, -8462, 1883, 2767
838, -3130, 8346, -8882, 1912, 2710
843, -2782, 9043, -9118, 1580, 2443
824, -2671, 9194, -9167, 1150, 1762
658, -2828, 9172, -9072, 468, 615
412, -3189, 9067, -8818, -739, -819
527, -3364, 9015, -8489, -2657, -2113
828, -3227, 9010, -8329, -4617, -2660
1389, -2766, 9060, -8528, -6500, -2138
2400, -2414, 9284, -9111, -8279, -438
4126, -2917, 9572, -10048, -9293, 2776
5613, -3580, 9889, -11024, -9637, 5775
6820, -4433, 10051, -12132, -9802, 8474
7890, -5571, 10161, -13321, -9854, 10801
8602, -6862, 10157, -14383, -9550, 12762
8886, -8189, 9947, -15218, -9072, 14256
8955, -9409, 9587, -15808, -8994, 15101
9020, -10518, 9141, -16187, -9302, 15369
9245, -11496, 8715, -16272, -9255, 15236
9263, -12299, 8200, -16009, -8058, 14788
8911, -12920, 7709, -15405, -6120, 13936
8417, -13336, 7301, -14617, -4583, 12635
9422, -17191, 7629, 11176, -6331, -13827
9652, -15652, 7049, 13179, -5436, -15721
9496, -13967, 6260, 14869, -4482, -17426
8924, -12178, 5347, 16341, -3738, -18960
7874, -10290, 4166, 17629, -3418, -20341
6340, -8332, 2715, 18770, -3643, -21583
4595, -6434, 1053, 19514, -4692, -22702
2383, -4762, -799, 19526, -6258, -22702
-355, -3385, -3023, 18494, -7788, -20861
-2673, -2435, -5194, 15888, -9689, -16703
-3598, -1974, -5995, 11537, -11733, -11756
-3217, -2197, -6458, 7106, -12289, -7304
-1780, -4449, -3722, 3119, -8322, -3296
-1211, -5078, -1093, -469, -4213, 309
-260, -4649, 1451, -2454, -2507, 2279
