16131, -11582, 2574, 5747, 1344, -19848
15377, -10483, 2578, 5498, 2187, -21140
14128, -9365, 2536, 5388, 2929, -22302
12557, -8257, 2581, 5469, 3322, -23349
10629, -7312, 2652, 5682, 3511, -24291
8264, -6440, 2697, 6038, 3723, -25138
5620, -5744, 2716, 6550, 3838, -25901
2985, -5164, 2522, 7136, 4052, -25810
565, -4548, 2219, 7355, 3738, -23311
-1773, -3950, 1793, 7212, 3482, -20048
-3727, -3242, 1460, 6770, 3048, -16079
-5464, -2369, 1169, 5974, 2561, -11529
-6685, -1576, 850, 4887, 2022, -7100
-6852, -1042, 573, 3591, 1320, -3113
-5916, -1043, 703, 1935, 641, 474
-4789, -1313, 734, -163, 1168, 3704
-3182, -1791, 1688, -2748, 2791, 6610
-1060, -1460, 2641, -4810, 5610, 9226
-938, -701, 3573, -5897, 7658, 9925
-289, 57, 5131, -6439, 7820, 9467
742, 614, 6861, -6597, 7785, 9104
931, 1107, 8116, -6550, 8133, 8730
1196, 1510, 9102, -6202, 7449, 8137
1726, 1722, 9743, -5524, 6117, 7135
2086, 1619, 9791, -4591, 5146, 5628
2259, 988, 9444, -3807, 3900, 3170
2332, 667, 9029, -3165, 2467, 726
2306, 841, 8464, -2740, 721, -898
2259, 1417, 7939, -2614, -1477, -1274
2554, 1890, 7625, -2915, -3776, 19
3466, 2051, 7419, -3574, -5752, 3294
4596, 1503, 7098, -4619, -7455, 6241
6114, -9, 6912, -5973, -8999, 8894
7766, -2167, 6890, -7499, -10017, 11281
8507, -4604, 6795, -9141, -9804, 13430
8923, -7421, 6508, -10785, -9029, 15363
9471, -9955, 6224, -11556, -8908, 17104
9867, -11268, 6224, -10879, -9784, 18071
16305, -12989, 2121, 4493, -567, -18545
15726, -11571, 1937, 4282, 341, -19967
14680, -10065, 1783, 4074, 1193, -21247
13256, -8567, 1744, 3954, 1762, -22399
11613, -7197, 1835, 3930, 2050, -23436
9741, -6047, 1904, 4027, 2304, -24369
7699, -5107, 2006, 4253, 2533, -25209
5591, -4358, 2055, 4676, 2760, -25400
3417, -3710, 1881, 5355, 2930, -24836
1263, -3082, 1567, 6144, 2635, -23602
-1234, -2464, 1158, 6418, 2565, -20950
-3707, -1927, 491, 6004, 2921, -17248
-5714, -1392, -148, 4871, 2992, -12502
-6774, -958, -648, 2931, 2880, -7975
-6018, -910, -554, 26, 3178, -3900
-5161, -1024, -548, -3253, 5323, -234
-4267, -1681, 802, -6204, 8067, 3066
