14365, -14157, 4384, 7726, -1561, -19263
13628, -12605, 3659, 8134, -1373, -20613
12720, -11094, 3007, 8024, -1562, -21829
11505, -9578, 2312, 7555, -1333, -22923
10047, -8119, 1721, 6903, -848, -23907
8306, -6837, 1301, 6120, -423, -24793
6202, -5764, 1036, 5289, 219, -25590
3486, -4916, 524, 4617, 1941, -26155
792, -4081, -429, 4114, 4303, -25657
-1152, -3265, -1238, 3560, 4910, -24140
-2461, -2538, -1858, 2973, 3702, -22269
-3630, -1901, -2422, 2553, 2712, -20428
-4906, -1348, -3112, 2474, 2566, -18667
-6326, -921, -3904, 2682, 2695, -16750
-7792, -584, -4755, 2962, 2287, -14309
-8938, -251, -5600, 3083, 1021, -11155
-9742, 135, -6404, 2857, -938, -7368
-9550, 632, -6770, 1601, -3515, -3355
-8687, 1018, -6805, -238, -5385, 257
-7552, 1277, -6466, -2713, -6217, 3508
-6213, 1355, -5719, -5699, -5573, 6434
-4748, 1296, -4319, -8406, -3119, 9067
-3805, 1404, -2839, -10842, 469, 11180
-4014, 1519, -1139, -13034, 3699, 11949
-4361, 1734, 1060, -14655, 5868, 11670
-4555, 2006, 3464, -15379, 5980, 10874
-4589, 2270, 5578, -15454, 5462, 9977
-4507, 2503, 7199, -15108, 4893, 9249
-4326, 2722, 8322, -14453, 4251, 8583
-4057, 2817, 8842, -13508, 3449, 7779
-3784, 2844, 8984, -12329, 2202, 6558
-3455, 2607, 8872, -11184, 580, 4939
-2989, 2600, 8679, -10175, -1256, 3175
-2520, 2784, 8562, -9654, -2324, 2370
-2067, 2907, 8461, -9514, -3215, 2436
-1412, 3166, 8484, -9813, -4199, 3341
-393, 3114, 8626, -10678, -5127, 5058
1082, 2744, 9163, -12023, -5626, 7367
13201, -13642, 5489, 4870, -4447, -17242
13556, -11913, 5447, 5782, -3021, -18795
13699, -10186, 5186, 6398, -1875, -20192
13565, -8682, 4896, 6808, -658, -21450
13156, -7457, 4422, 7158, 412, -22581
12366, -6490, 3816, 7455, 1063, -23600
11235, -5739, 3147, 7589, 1334, -24517
9772, -5170, 2481, 7443, 1863, -25342
7787, -4682, 1729, 7099, 2830, -26084
4729, -4156, 756, 6690, 4242, -26721
1925, -3498, -466, 6129, 6021, -26050
369, -2714, -1169, 5084, 4124, -23855
-1135, -2089, -1826, 4338, 3177, -21813
-2684, -1616, -2587, 3926, 3406, -19813
-4199, -1279, -3296, 3720, 3312, -17537
-5432, -944, -3931, 3554, 2254, -14806
-6446, -454, -4534, 3360, 758, -11722
-7312, 218, -5089, 3102, -706, -8507
-7972, 1024, -5657, 2671, -2014, -5193
-8350, 1860, -6110, 1859, -3436, -1809
-8105, 2546, -6369, 486, -5007, 1506
-7339, 3023, -6290, -1515, -6410, 4586
-6286, 3288, -5705, -4028, -7191, 7268
-5226, 3575, -4779, -6812, -6559, 9448
-4263, 3795, -3517, -9407, -4553, 10983
-3895, 4107, -2318, -11743, -1560, 11897
-3566, 4358, -1010, -13845, 899, 12261
-3726, 4334, 861, -15573, 2296, 12282
-4200, 4186, 2621, -16806, 2796, 12260
-3840, 3963, 4838, -17423, 2407, 12196
-3543, 3835, 6742, -17277, 2370, 11854
-3272, 3776, 8217, -16651, 2457, 11202
-2950, 3787, 9384, -15794, 2140, 10389
-2670, 3839, 10211, -14810, 1586, 9488
-2346, 3849, 10718, -13722, 771, 8447
-1885, 3665, 10948, -12517, -139, 7158
-1503, 3394, 10860, -11186, -1018, 5442
-1223, 3038, 10582, -9987, -1780, 3581
14670, -11747, 6404, -744, -4104, -13411
15035, -10438, 6156, 230, -3242, -15346
14949, -8859, 5713, 873, -2478, -17088
14530, -7340, 5296, 1084, -1858, -18656
13895, -5889, 4818, 1023, -1142, -20067
13057, -4698, 4443, 865, -296, -21337
11953, -3722, 3998, 820, 581, -22480
10662, -2997, 3526, 889, 1228, -23509
9227, -2489, 3075, 937, 1600, -24435
7524, -2072, 2519, 857, 1951, -25181
5676, -1761, 2020, 610, 2473, -25530
3581, -1493, 1390, 324, 3556, -25458
1018, -1134, 352, 102, 4708, -24045
-1113, -694, -600, -212, 4957, -21942
-2938, -239, -1388, -579, 4138, -19485
-4567, 226, -2116, -898, 3321, -16764
-6090, 707, -2859, -1246, 2832, -13736
-7312, 1218, -3555, -1757, 2124, -10390
-7978, 1772, -4019, -2400, 705, -6943
-8332, 2464, -4353, -2998, -964, -3455
-8316, 3101, -4602, -3502, -2562, -178
-8122, 3689, -4921, -4100, -3811, 2877
-7641, 4083, -5122, -5159, -4932, 5856
-6877, 4206, -4983, -7034, -5229, 8547
-5807, 4041, -4267, -9607, -3923, 10969
-4162, 3831, -3103, -11923, -583, 13149
-3337, 3760, -2196, -14007, 2751, 14766
-3978, 3604, -925, -15883, 5753, 15067
-4039, 3706, 1572, -16484, 5262, 13935
-3828, 3720, 3839, -16618, 4434, 12822
-3653, 3709, 5745, -16359, 4032, 11894
-3507, 3718, 7192, -15722, 3634, 10926
-3294, 3767, 8251, -14806, 2839, 9846
-3019, 3729, 8921, -13730, 1803, 8670
-2696, 3655, 9274, -12535, 498, 7201
-2315, 3336, 9382, -11387, -1036, 5461
-1874, 3100, 9369, -10276, -2759, 3597
-1347, 2695, 9407, -9248, -4368, 1947
14174, -12821, 2450, -5531, -2583, -18072
14052, -11233, 2514, -5262, -1306, -19541
13639, -9632, 2604, -4926, 73, -20864
12987, -8097, 2594, -4431, 1478, -22054
12074, -6687, 2445, -3795, 2536, -23125
10992, -5483, 2260, -3135, 2971, -24089
9751, -4401, 1897, -2590, 3069, -24957
8365, -3485, 1527, -2266, 3200, -25738
6815, -2679, 1060, -2150, 3677, -26230
4584, -1931, 621, -2155, 4881, -26354
2056, -894, -445, -2227, 7241, -24702
283, 40, -1164, -2489, 6585, -22697
-1230, 842, -1604, -2625, 4319, -20792
-2669, 1510, -2052, -2552, 3036, -18942
-3941, 2011, -2683, -2351, 3151, -16929
