12593, -15970, 4475, 3598, -1942, -19051
12034, -14515, 4230, 5769, -1784, -20422
11060, -12952, 3721, 7313, -2238, -21657
9865, -11402, 3134, 8102, -2984, -22768
8285, -10048, 2527, 8299, -3285, -23768
6049, -8943, 1960, 8260, -2678, -24668
3807, -7970, 1386, 8202, -2170, -24896
1649, -7023, 764, 8136, -1650, -24243
-523, -6087, 83, 8025, -1212, -22813
-2715, -5258, -767, 7873, -718, -20792
-4898, -4542, -1866, 7650, -312, -18041
-6656, -3907, -2887, 7037, -530, -14309
-7964, -3333, -3846, 5638, -1309, -9755
-8420, -2870, -4445, 3454, -2587, -5503
-8195, -2487, -4668, 783, -3810, -1676
-7381, -2172, -4558, -2123, -4609, 1768
-6382, -1763, -4321, -5097, -4610, 4868
-5232, -1332, -3592, -7864, -3699, 7658
-4202, -775, -2627, -10354, -1478, 10055
-3366, -131, -1405, -12595, 1412, 11557
-3374, 415, -48, -14607, 3994, 12246
-2810, 786, 1771, -16146, 4488, 12238
-2640, 1141, 3781, -16445, 5141, 11418
-2567, 1425, 5650, -16296, 5565, 10449
-2655, 1744, 7040, -15850, 5472, 9524
-2564, 1977, 8060, -15217, 4630, 8522
-2306, 2021, 8658, -14386, 3543, 7394
-2047, 1991, 8764, -13429, 2324, 5996
-1733, 1627, 8654, -12629, 781, 4356
-1303, 1312, 8538, -12026, -990, 2644
-823, 920, 8332, -11682, -2714, 1365
-252, 1003, 7913, -11580, -4557, 838
583, 851, 7606, -12028, -6647, 1253
1659, 648, 7632, -12962, -8490, 2853
3057, 34, 7662, -14289, -9697, 5402
4746, -1241, 8054, -15915, -10225, 8138
6225, -2859, 8445, -17549, -9974, 10601
7544, -4694, 9054, -19071, -9510, 12818
11122, -15077, 4655, 839, -6959, -16554
11790, -13801, 4785, 1746, -5482, -18175
12076, -12305, 4744, 2673, -4335, -19634
12120, -10774, 4629, 3502, -3478, -20947
11689, -9228, 4324, 4203, -2653, -22129
10797, -7726, 3816, 4749, -1928, -23193
9496, -6324, 3161, 5077, -1079, -24150
7257, -4948, 2347, 5093, 157, -25012
5023, -3720, 1466, 4970, 1050, -25242
3049, -2590, 623, 4702, 1189, -24470
1352, -1523, -121, 4302, 595, -23046
-144, -537, -778, 3903, -13, -21250
-1669, 344, -1470, 3669, -156, -19229
-3236, 1103, -2154, 3543, -276, -16978
-4615, 1667, -2898, 3217, -609, -14213
-5772, 2056, -3710, 2338, -1431, -10792
-6488, 2349, -4186, 794, -2946, -6767
-6607, 2566, -4329, -1371, -4313, -2814
-5984, 2624, -4039, -3992, -4896, 744
-5172, 2716, -3713, -6729, -4548, 3946
-4252, 2734, -3112, -9333, -3779, 6828
-3123, 2630, -2197, -11676, -2164, 9422
