14440, -11355, -1759, -14549, -7639, -14986
14612, -10145, -2044, -15614, -5310, -16764
14479, -8807, -2444, -16170, -2477, -18364
14444, -7296, -2672, -16387, -187, -19804
14494, -5670, -2779, -16427, 1724, -21101
14312, -3799, -2813, -16407, 3353, -22194
13924, -1873, -2398, -16509, 4535, -23198
12656, -107, -2235, -16653, 5855, -23995
10993, 1181, -1920, -16914, 6415, -23991
9486, 1898, -1392, -17139, 6162, -22909
8122, 2421, -1056, -17063, 6203, -21029
7148, 3220, -535, -16327, 6024, -18852
6301, 4099, 106, -15494, 5709, -17060
5483, 5182, 785, -14670, 5392, -15610
4542, 6086, 1299, -13931, 5242, -14343
3662, 6752, 1771, -13326, 4987, -13139
2693, 7358, 2192, -12801, 4870, -11990
1623, 7980, 2489, -12320, 4855, -10848
572, 8665, 2823, -11854, 4623, -9714
-483, 9336, 3162, -11321, 4317, -8542
-1851, 9788, 3287, -10676, 4316, -7056
-3235, 9771, 3385, -9973, 4372, -4805
-4758, 9014, 3000, -9271, 5483, -1213
-5391, 7138, 2792, -8978, 6574, 2184
-5238, 4412, 2866, -9048, 7919, 5243
12364, -16785, 2572, -10220, -8913, -10047
12967, -15371, 1822, -12073, -10932, -12319
13218, -13871, 937, -14143, -11475, -14364
13124, -12035, -320, -16005, -10275, -16204
13073, -9790, -1285, -17681, -8393, -17861
12077, -7475, -2263, -19190, -6396, -19351
10931, -5699, -2556, -20548, -4792, -19550
9811, -4493, -2518, -21660, -2670, -18612
8451, -3716, -2312, -22144, -226, -17352
6843, -3085, -1760, -22095, 1173, -16200
5213, -2446, -889, -21601, 1790, -15057
3509, -1841, 271, -20654, 2401, -13649
1619, -955, 945, -19276, 3389, -11801
-62, -224, 1423, -17749, 4014, -9391
-1482, 279, 1730, -16147, 3864, -6349
-2478, 338, 1998, -14561, 3770, -2437
-2407, -479, 2118, -13082, 3957, 1082
-884, -2142, 2832, -11876, 4579, 4251
1125, -2521, 3826, -11170, 6835, 7102
3064, -2358, 5582, -11295, 7716, 9669
5204, -2402, 6759, -11663, 6112, 10440
6017, -2368, 6909, -11858, 4820, 10070
6256, -2599, 6527, -12193, 3287, 9506
6377, -3125, 5901, -12865, 1301, 8868
6644, -3830, 5335, -13755, -655, 8404
17561, -14291, -3722, -16906, -1836, -13364
16706, -12586, -4283, -18124, 944, -15305
15150, -10596, -4609, -19009, 2680, -17051
13241, -8776, -4505, -19789, 3342, -18546
11275, -7277, -4065, -20314, 3968, -18455
9156, -6133, -3608, -20349, 5046, -17335
7123, -5228, -2908, -19932, 5624, -15749
5340, -4344, -2075, -19150, 5627, -14083
3706, -3448, -1243, -18104, 5547, -12405
2199, -2483, -514, -16932, 5252, -10655
916, -1612, 143, -15749, 4769, -8770
-194, -940, 545, -14597, 4348, -6545
