5809, -15600, 7772, 14595, 2219, -7566
5438, -14307, 7848, 14901, 3959, -7320
4929, -12929, 7987, 14822, 5338, -6934
4369, -11547, 8206, 14425, 6199, -6432
3764, -10194, 8340, 13791, 6584, -5810
3013, -8792, 8376, 12888, 6377, -5179
1965, -7470, 8395, 11594, 4795, -4417
1157, -6366, 8049, 9954, 1038, -3538
1511, -5688, 7260, 8279, -2341, -2427
3167, -5237, 6229, 7043, -5384, -1082
6127, -4758, 5282, 6564, -8122, -42
8791, -4099, 2978, 6419, -4594, 565
7298, -3397, 401, 6012, -858, 1468
3360, -2926, 596, 5346, 2504, 2191
3952, -2555, 249, 3994, -1022, 1933
6833, -2039, 306, 3073, -4197, 1036
9427, -2147, -656, 2738, -2152, 428
7110, -1583, -21, 2720, 1339, 363
5345, -1387, -25, 2448, 2167, 287
6115, -1186, -935, 1902, -1326, -45
8780, -99, -902, 1732, -4470, -998
10942, -23, -3983, 1391, -746, -993
8700, 233, -4562, 1191, 2604, -479
6454, 317, -3970, 580, 5621, -306
6008, 221, -2934, -319, 2999, -186
6212, 13, -1988, -1058, -371, -80
6254, -215, -1058, -1745, -1359, 140
6215, -604, -291, -2651, -984, 433
5727, -1134, 664, -3886, -96, 813
5508, -2018, 1470, -5391, -54, 1139
5576, -2972, 2565, -7034, -332, 1610
5344, -4275, 3875, -8767, 262, 2396
5218, -5747, 5207, -10354, 341, 3201
5201, -7139, 6474, -11596, 242, 4052
5142, -8372, 7447, -12422, 411, 4617
5019, -9462, 8165, -12871, 686, 4878
4914, -10324, 8672, -13053, 1048, 4767
4657, -11001, 8847, -12987, 1570, 4425
1731, -15844, 11590, 15490, -960, -1495
1730, -14315, 10570, 15057, -4141, -1926
1966, -12849, 9388, 13896, -7003, -2573
2960, -11392, 8156, 12443, -9580, -3208
5941, -10012, 7325, 11089, -11898, -3644
8623, -8461, 4537, 9958, -7432, -3582
6682, -6899, 2259, 8971, -3412, -2784
2737, -6077, 1362, 7949, 205, -2141
1752, -5129, 412, 6614, -3091, -1238
3931, -4439, -900, 4908, -6059, -1157
6815, -3338, -1657, 4008, -8730, -2004
9410, -2516, -3899, 2903, -4580, -2290
7310, -1477, -4399, 1916, -845, -1962
3844, -1197, -4359, 1248, 2515, -1666
3019, -963, -5418, 658, -1012, -912
5214, -773, -7234, 166, -4187, -708
7970, -97, -7833, 34, -7045, -1253
6724, 572, -9261, -579, -3064, -1408
3339, 536, -8545, -1181, 518, -1397
2690, 754, -6791, -1544, -60, -1182
3242, 827, -4851, -1825, -2785, -948
3650, 833, -3139, -1994, -3362, -605
3357, 991, -1748, -2166, -1973, -278
2853, 1042, -409, -2564, -879, -94
2831, 820, 860, -3214, -1309, 1
2945, 595, 2112, -3950, -1689, 27
2874, 252, 3179, -4737, -1349, 22
2661, -68, 4127, -5559, -878, 107
2655, -663, 5025, -6518, -853, 280
2667, -1313, 5954, -7503, -878, 569
2610, -2130, 6659, -8489, -684, 895
2588, -2936, 7621, -9490, -533, 1330
2493, -3808, 8261, -10471, -267, 1596
2338, -4912, 8684, -11263, -182, 1778
2275, -6035, 9200, -11975, -332, 1877
2200, -7063, 9458, -12532, -354, 1872
2228, -8056, 9843, -12976, -250, 1829
2158, -9007, 9996, -13240, 176, 1708
3401, -14043, 11922, 16423, 1727, -1499
3261, -12884, 11397, 16409, 1901, -1308
3215, -11336, 11125, 15443, 1929, -1151
3062, -9926, 10954, 14221, 2366, -952
2674, -8639, 10822, 12893, 2783, -660
2167, -7526, 10781, 11503, 1986, -351
1428, -6287, 10366, 10050, -1396, -54
1800, -5337, 9490, 8376, -4533, 185
3328, -4761, 8321, 6980, -7356, 608
6272, -3892, 7488, 6200, -9897, 1098
8922, -3151, 4536, 5224, -5631, 1205
6792, -2465, 1953, 3848, -1791, 1659
2836, -2106, 1463, 2781, 1664, 1782
863, -1921, 1973, 1869, -854, 2011
622, -1606, 1541, 1207, -4046, 2318
2908, -1347, 493, 585, -6918, 2165
5894, -799, 559, 244, -9503, 1426
8581, -793, -1814, -321, -5276, 845
4446, -632, -2015, -359, -1471, 425
2871, -470, -2290, -442, -4601, 740
4194, -352, -3238, -760, -7417, 696
7051, -34, -3469, -734, -9952, 82
9623, 151, -5136, -677, -9187, -641
8800, 681, -6864, -881, -4991, -694
4714, 692, -7008, -1107, -1215, -876
3664, 746, -5953, -1472, -362, -919
3841, 818, -4528, -2058, -3520, -1007
4039, 547, -3274, -2745, -5144, -931
4133, 230, -2155, -3506, -5076, -574
3701, -141, -935, -4523, -3919, -208
3500, -885, 228, -5842, -3198, -92
3354, -1659, 1558, -7230, -2747, -68
3044, -2603, 2758, -8582, -2263, 0
2835, -3545, 4121, -9930, -2065, 283
2707, -4586, 5330, -11214, -2086, 653
2714, -5760, 6362, -12142, -2156, 1089
2710, -6952, 7184, -12775, -1964, 1428
2614, -8040, 7984, -13167, -1583, 1637
1458, -12837, 11134, 14296, -1700, -694
1032, -11540, 10041, 13863, -4807, -776
952, -10307, 8336, 13016, -7603, -1075
3969, -8807, 6759, 11537, -10119, -1750
6849, -7156, 4315, 10349, -7136, -1383
7997, -6496, 607, 8893, -3146, -722
4659, -5059, -1031, 7869, 445, -262
1554, -4445, -1093, 6822, 3677, 50
462, -3720, -1354, 5627, 32, 545
1765, -2938, -2826, 4429, -3247, 616
4727, -2242, -3836, 3356, -6199, 365
7531, -1676, -5979, 2298, -7870, -273
8026, -1499, -8658, 1116, -3807, -264
3947, -850, -9162, 689, -149, -757
943, -695, -8378, 596, 3142, -656
-128, -303, -7935, 483, -448, -64
735, 55, -8500, 372, -3680, 408
3714, 466, -9072, 122, -6589, 572
6619, 776, -10295, -272, -9207, 154
7786, 771, -12543, -792, -5009, 227
4999, 730, -11549, -1093, -1231, 396
4384, 910, -9658, -1604, -4385, 623
5125, 833, -7836, -2044, -7223, 738
5309, 682, -6103, -2552, -7587, 1076
5357, 541, -4430, -3120, -5689, 1404
4414, 183, -2991, -3833, -2955, 1467
3882, -206, -1516, -4702, -2157, 1331
3760, -777, 57, -5663, -2094, 1271
3422, -1337, 1559, -6575, -1428, 1248
2927, -2053, 2910, -7439, -804, 1156
2638, -2721, 4168, -8287, -1008, 1071
2522, -3508, 5194, -9128, -1696, 1052
2588, -4372, 6114, -10011, -2146, 1037
2439, -5236, 6969, -10851, -1770, 957
2079, -6115, 7551, -11557, -990, 920
1779, -7053, 8144, -12196, -664, 999
1729, -8086, 8702, -12590, -698, 1046
1603, -8968, 9018, -12704, -446, 875
-593, -13619, 11369, 14106, -1012, 1328
-741, -12433, 10646, 14294, -4187, 1433
-348, -11134, 9659, 13962, -7045, 1246
694, -9841, 8454, 13131, -9617, 645
2250, -8552, 7158, 11993, -11932, 54
5302, -7235, 5532, 10542, -8907, 158
7446, -6536, 2172, 8927, -4739, 301
4405, -5455, 47, 7607, -989, 578
941, -4914, -405, 6549, 2386, 876
-616, -4324, -744, 5499, -1128, 1450
-2, -3599, -2373, 4734, -4292, 1734
2878, -2750, -3569, 3834, -7140, 1503
5867, -1998, -5468, 2881, -9702, 1336
7109, -1934, -7964, 1942, -5455, 1587
3121, -1268, -8381, 1495, -1633, 1266
533, -1058, -8254, 1180, 1218, 1625
541, -862, -8862, 653, -2180, 2041
2822, -536, -9899, 328, -5239, 1975
5817, 107, -9983, 249, -7992, 1438
8512, 209, -12262, 70, -3916, 1609
