7946, -16896, 761, -17697, -11772, -13954
8460, -15151, 66, -17315, -12511, -12998
8569, -13273, -759, -16640, -12172, -11948
8673, -11749, -1465, -15676, -10964, -10758
9040, -10448, -2264, -14648, -9935, -9535
9394, -9364, -2894, -13718, -8960, -8346
9906, -8499, -3348, -12852, -7688, -7205
10124, -7804, -3634, -11845, -5414, -6076
10210, -7322, -3630, -10708, -2545, -4709
10161, -6970, -3557, -9442, 781, -2900
10070, -6814, -3426, -8233, 3980, -556
9913, -6770, -3139, -7328, 6858, 2249
10265, -7141, -2710, -6925, 9006, 5301
10532, -8323, -1965, -7623, 10231, 8048
10529, -9765, -1219, -8744, 11440, 10520
10298, -11274, -415, -10067, 12381, 12709
9903, -12470, 367, -11112, 12540, 13771
9477, -13304, 1127, -11617, 11658, 13782
9029, -13869, 1806, -11629, 10199, 12975
8545, -14193, 2306, -11286, 8673, 11773
8087, -14422, 2654, -10768, 7301, 10569
7643, -14560, 2910, -10178, 6151, 9411
7197, -14745, 3096, -9586, 5225, 8375
6753, -14894, 3203, -9016, 4463, 7417
6252, -15038, 3271, -8487, 3734, 6504
5784, -15151, 3299, -8010, 2906, 5621
5353, -15277, 3302, -7626, 2069, 4815
4980, -15388, 3375, -7376, 1295, 4065
4588, -15463, 3439, -7222, 798, 3392
4173, -15521, 3497, -7134, 522, 2860
3833, -15590, 3564, -7072, 196, 2467
3554, -15649, 3637, -7040, -173, 2197
3372, -15704, 3729, -7036, -548, 1995
3220, -15767, 3844, -7039, -811, 1835
3077, -15826, 3932, -7013, -970, 1684
2951, -15886, 4034, -6944, -1140, 1505
2803, -15934, 4104, -6839, -1311, 1302
2645, -15947, 4149, -6727, -1544, 1098
8516, -15610, 1358, -15449, -10234, -13581
8864, -13826, 868, -15061, -9955, -12776
8844, -12327, 92, -14296, -8943, -11579
9222, -11186, -608, -13377, -8149, -10222
9679, -10129, -1151, -12451, -7429, -8914
9910, -9248, -1451, -11507, -6318, -7611
10065, -8589, -1661, -10408, -4962, -6212
10166, -8142, -1762, -9054, -3442, -4654
10098, -7892, -2069, -7495, -1792, -2804
10347, -7816, -2216, -5926, -820, -712
10667, -7927, -2559, -4378, -4, 1542
11415, -8160, -2632, -3003, 758, 3771
12483, -8622, -2936, -1869, 2679, 6089
12912, -9172, -2942, -1253, 5688, 8340
12809, -9710, -2489, -1076, 8396, 10226
12138, -10443, -1657, -1928, 10678, 11349
11417, -11190, -817, -3032, 10990, 11960
10803, -11908, -71, -4048, 9968, 12076
10325, -12499, 570, -4817, 8478, 11704
9811, -12973, 1097, -5323, 7206, 10950
9207, -13323, 1584, -5618, 6215, 9911
8535, -13602, 1977, -5767, 5367, 8756
7928, -13822, 2345, -5864, 4456, 7665
7382, -14031, 2666, -5949, 3659, 6718
6835, -14232, 2935, -6032, 3135, 5915
6291, -14452, 3149, -6108, 2826, 5232
