4328, -10862, -9658, -22495, -7944, 1715
3979, -9169, -9917, -21113, -7378, 1467
3648, -7594, -10246, -19617, -6848, 1315
3378, -6231, -10546, -18153, -6384, 1182
3087, -4972, -10852, -16793, -5918, 1008
2923, -3878, -11052, -15534, -5365, 825
2790, -2992, -11239, -14316, -4555, 651
2740, -2375, -11196, -13057, -3527, 481
2777, -2036, -11102, -11555, -2299, 293
2803, -1955, -11027, -9702, -868, 119
2953, -2112, -11055, -7503, 474, 3
3221, -2475, -11154, -5042, 1808, 15
3450, -2982, -11503, -2432, 3580, 312
3801, -3726, -11699, 129, 5317, 1029
4037, -4660, -11708, 2556, 6999, 2142
4309, -5944, -11638, 4789, 8065, 3611
4539, -7440, -11589, 6872, 8259, 5254
4946, -8531, -11358, 7885, 7316, 6507
5242, -9293, -10806, 7755, 6242, 6938
5433, -9941, -10126, 6840, 5366, 6734
5448, -10492, -9509, 5796, 4719, 6313
5425, -11025, -8856, 4931, 3996, 5882
5374, -11514, -8240, 4142, 3229, 5457
5330, -11940, -7613, 3263, 2498, 4985
5226, -12339, -7007, 2271, 2077, 4490
5050, -12709, -6404, 1260, 1853, 4000
4890, -13056, -5849, 305, 1616, 3532
4758, -13382, -5320, -592, 1368, 3093
4651, -13676, -4861, -1454, 1207, 2685
4617, -13922, -4514, -2275, 1039, 2272
4612, -14154, -4284, -3132, 860, 1791
4693, -14364, -4216, -4077, 592, 1212
4844, -14537, -4245, -5137, 225, 562
5004, -14617, -4500, -6434, -81, -172
5164, -14655, -4909, -7730, -388, -867
5344, -14696, -5453, -9119, -727, -1514
5541, -14682, -6137, -10653, -1173, -2161
5750, -14574, -6739, -12335, -1580, -2757
5691, -5632, -12032, -19283, -7286, -2528
5283, -4514, -12020, -18334, -7029, -2357
4724, -3403, -12159, -17272, -6288, -2158
4245, -2421, -12312, -16186, -5715, -1943
3849, -1576, -12482, -15147, -5232, -1783
3451, -783, -12734, -14200, -4729, -1664
3153, -55, -12888, -13376, -4281, -1575
2864, 603, -13037, -12646, -3741, -1484
2642, 1157, -13121, -11985, -3268, -1387
2521, 1590, -13081, -11342, -2785, -1295
2586, 1675, -12708, -10288, -1900, -1251
2658, 1528, -12404, -8857, -688, -1207
2768, 1147, -12150, -7044, 659, -1080
3008, 605, -12181, -4875, 2116, -822
3303, -72, -12319, -2542, 3885, -279
3702, -810, -12696, -216, 5908, 646
4146, -1707, -13067, 1755, 7733, 1967
4658, -2620, -13038, 3262, 8827, 3433
5077, -3658, -12849, 4350, 9473, 4891
5543, -4753, -12484, 5191, 9327, 6161
6018, -5911, -12013, 5874, 8834, 7230
6443, -7036, -11511, 6356, 8224, 8084
6750, -7993, -10954, 6482, 7741, 8636
6919, -8784, -10382, 6133, 7367, 8805
6954, -9453, -9747, 5349, 6836, 8519
6888, -10047, -9081, 4334, 6100, 7888
6750, -10586, -8453, 3293, 5321, 7127
6593, -11138, -7789, 2226, 4533, 6299
6406, -11636, -7160, 1213, 4006, 5546
6213, -12079, -6526, 279, 3749, 4916
5968, -12482, -5950, -539, 3622, 4409
5758, -12865, -5401, -1223, 3373, 3946
5580, -13211, -4942, -1795, 3011, 3539
5454, -13507, -4573, -2268, 2524, 3171
5376, -13754, -4268, -2682, 2052, 2834
5293, -13971, -4022, -3062, 1746, 2536
5198, -14168, -3790, -3418, 1522, 2270
5139, -14352, -3581, -3745, 1315, 2043
6535, -11376, -9016, -21670, -10329, -6066
6194, -10254, -9051, -21800, -10477, -5329
5819, -9137, -9093, -21286, -10492, -4666
5514, -7900, -9325, -20268, -10283, -4187
5040, -6584, -9729, -19081, -9428, -3773
4565, -5329, -10118, -17896, -8516, -3395
4207, -4223, -10405, -16736, -7695, -3081
3827, -3275, -10734, -15591, -6786, -2833
3616, -2509, -10941, -14459, -6021, -2662
3544, -2110, -11000, -12995, -4833, -2631
3659, -1918, -10852, -11284, -3438, -2623
3701, -1922, -10938, -9237, -1526, -2552
3821, -2125, -11059, -6910, 542, -2277
4027, -2469, -11380, -4417, 2852, -1705
4280, -3021, -11843, -2034, 5000, -731
4705, -3631, -12052, 41, 6543, 529
5135, -4405, -12312, 1655, 7830, 1984
5578, -5224, -12303, 2747, 8312, 3414
6028, -6053, -12056, 3409, 8203, 4603
6406, -6866, -11648, 3786, 7904, 5562
6690, -7677, -11121, 4015, 7628, 6363
6864, -8493, -10521, 4122, 7431, 7040
6928, -9295, -9846, 4072, 7202, 7578
6957, -10021, -9173, 3852, 6855, 7934
6917, -10621, -8484, 3445, 6379, 8042
6771, -11163, -7785, 2692, 5676, 7578
6598, -11657, -7136, 1886, 4970, 6936
6392, -12090, -6536, 1086, 4322, 6223
6168, -12493, -5984, 313, 3728, 5501
5923, -12861, -5451, -428, 3211, 4803
5687, -13212, -4979, -1125, 2810, 4178
5474, -13524, -4544, -1760, 2462, 3644
5276, -13814, -4142, -2344, 2203, 3189
5078, -14069, -3775, -2879, 2011, 2796
4916, -14300, -3443, -3351, 1826, 2464
4773, -14509, -3144, -3757, 1653, 2192
4661, -14700, -2876, -4104, 1498, 1970
4562, -14873, -2630, -4398, 1357, 1780
6357, -11932, -8852, -21798, -10988, -6659
6065, -10803, -8920, -22234, -10388, -5863
5504, -9680, -8831, -21977, -9424, -5093
5289, -8504, -9096, -21036, -8902, -4471
4894, -7209, -9554, -19851, -8434, -4024
4551, -5937, -9944, -18689, -7993, -3666
4206, -4737, -10298, -17548, -7402, -3355
3884, -3653, -10652, -16454, -6736, -3083
3602, -2700, -10978, -15428, -6121, -2837
3436, -1924, -11159, -14376, -5413, -2594
3392, -1327, -11107, -13267, -4517, -2398
3349, -962, -11120, -11965, -3364, -2251
3521, -840, -10904, -10395, -2135, -2126
3681, -943, -10900, -8478, -337, -1946
3785, -1259, -11059, -6299, 1656, -1543
4146, -1708, -11202, -3970, 3496, -868
4307, -2325, -11859, -1737, 5292, 153
4839, -3037, -12104, 131, 5759, 1364
5233, -3713, -12242, 1667, 6321, 2571
5606, -4496, -12235, 2863, 7160, 3844
6005, -5345, -11942, 3810, 7757, 5082
6309, -6312, -11572, 4562, 8218, 6287
6641, -7352, -11060, 5118, 8405, 7418
6862, -8367, -10510, 5378, 8430, 8355
7027, -9216, -9899, 5230, 8186, 8935
6975, -9882, -9162, 4359, 7437, 8592
