5784, -12443, -10123, -20883, -9701, 2917
5709, -11135, -9657, -19838, -8823, 2635
5104, -10039, -9609, -18161, -7774, 2130
4898, -9101, -9663, -15942, -7153, 1738
4590, -8320, -9944, -13294, -6208, 1411
4278, -7622, -10378, -10483, -5841, 1087
4395, -7174, -10704, -7617, -5515, 742
4444, -6987, -11068, -4529, -3806, 508
4629, -7172, -11444, -1220, -1122, 678
4716, -7695, -11845, 2027, 1730, 1449
5252, -8643, -11886, 4871, 4077, 2632
5624, -9658, -11735, 7268, 6934, 3992
5804, -10542, -11174, 8857, 9299, 5570
5848, -11338, -10299, 9447, 10471, 6839
5982, -11921, -9293, 9192, 10471, 7484
6130, -12324, -8324, 8419, 9733, 7514
6030, -12662, -7355, 7088, 8839, 6729
5902, -13060, -6445, 5740, 8008, 5775
5775, -13440, -5588, 4499, 7350, 4816
5576, -13746, -4812, 3439, 6813, 3981
5372, -13972, -4089, 2537, 6089, 3329
5247, -14155, -3392, 1731, 5090, 2827
5196, -14324, -2770, 981, 4071, 2460
5170, -14475, -2227, 271, 3282, 2213
5159, -14599, -1737, -398, 2797, 2068
5137, -14714, -1289, -1030, 2620, 2000
5089, -14830, -869, -1628, 2672, 1972
5004, -14934, -477, -2194, 2803, 1923
4901, -15043, -119, -2724, 2864, 1822
4803, -15154, 220, -3217, 2800, 1670
4706, -15262, 524, -3663, 2636, 1479
4609, -15361, 793, -4057, 2386, 1269
4526, -15449, 1025, -4410, 2067, 1059
4478, -15528, 1232, -4733, 1781, 901
4420, -15594, 1416, -5010, 1589, 794
4360, -15661, 1585, -5236, 1420, 744
4310, -15728, 1737, -5414, 1223, 739
4271, -15786, 1875, -5553, 1005, 756
4827, -16433, -7905, -20630, -7050, -2653
4926, -14795, -7269, -19581, -7571, -2683
4890, -13501, -7034, -17600, -7198, -2656
4829, -12702, -6802, -14588, -5869, -2228
5019, -11973, -6902, -10600, -4216, -1451
5501, -11796, -8192, -6264, -2746, -161
5749, -11905, -9380, -2360, -1182, 1079
6071, -12174, -10149, 872, -291, 2179
6367, -12532, -10414, 3372, 497, 2931
6535, -12950, -10254, 5291, 1694, 3529
6685, -13304, -9769, 6549, 3346, 3844
6458, -13621, -9035, 7038, 5112, 4290
6057, -13971, -8211, 6868, 5326, 4659
5951, -14237, -7415, 6150, 3820, 4497
6160, -14420, -6583, 5075, 1771, 3926
6434, -14612, -5781, 3929, 747, 3223
6420, -14772, -5131, 2965, 1251, 2680
6235, -14837, -4509, 2127, 2158, 2265
6071, -14868, -3825, 1356, 2574, 2002
5966, -14933, -3162, 666, 2467, 1912
5888, -15010, -2546, 43, 2036, 1928
5845, -15061, -1993, -540, 1471, 1948
5808, -15163, -1452, -1191, 1223, 1912
5810, -15266, -924, -1832, 1203, 1875
5771, -15331, -436, -2430, 1463, 1829
5658, -15401, -16, -2952, 1896, 1775
5543, -15501, 348, -3400, 2327, 1688
5440, -15604, 658, -3782, 2774, 1541
5296, -15687, 908, -4112, 3321, 1380
5113, -15751, 1120, -4420, 3862, 1197
4917, -15817, 1327, -4718, 4113, 1006
4718, -15857, 1494, -4995, 4028, 808
4599, -15896, 1643, -5241, 3672, 662
4505, -15937, 1777, -5454, 3353, 560
4413, -15965, 1898, -5643, 3145, 480
4321, -15977, 1997, -5820, 3036, 435
4214, -15980, 2073, -5983, 2991, 413
4086, -15993, 2134, -6125, 2923, 391
4396, -15566, -10807, -19875, -11560, 2087
4003, -13878, -10654, -19069, -11070, 2413
4214, -12445, -10070, -17583, -10946, 2487
4342, -11642, -9538, -15092, -9036, 2628
4660, -10949, -9211, -11634, -6457, 2918
5135, -10430, -9620, -7491, -3604, 3503
6112, -10189, -9993, -3465, -989, 4383
6711, -10230, -10773, 157, 2385, 5729
7224, -10964, -10888, 3251, 4709, 7423
7638, -11746, -10612, 5495, 5936, 8806
7990, -12482, -9950, 6866, 6797, 10026
8224, -13032, -8950, 7467, 7749, 10973
7914, -13403, -7962, 7494, 9088, 11657
7323, -13753, -7001, 7013, 9829, 12047
6719, -14063, -6104, 6231, 9202, 11968
6228, -14305, -5278, 5343, 7592, 11504
5841, -14487, -4424, 4368, 5741, 10672
5437, -14682, -3585, 3436, 4148, 9797
5137, -14844, -2806, 2586, 2660, 8972
4875, -14940, -2073, 1818, 1327, 8206
4680, -15025, -1395, 1104, 301, 7501
4528, -15126, -775, 429, -347, 6828
4384, -15207, -213, -205, -626, 6184
4217, -15285, 284, -803, -661, 5582
4059, -15364, 740, -1362, -603, 5043
3883, -15427, 1129, -1882, -518, 4548
3714, -15479, 1474, -2378, -437, 4098
3525, -15530, 1786, -2870, -342, 3673
3327, -15587, 2057, -3352, -255, 3277
3125, -15641, 2316, -3826, -235, 2874
2974, -15692, 2556, -4281, -259, 2496
2823, -15745, 2783, -4715, -217, 2166
2670, -15790, 2996, -5115, -113, 1887
2591, -15890, 3191, -5476, -42, 1674
2473, -15920, 3364, -5811, 220, 1464
2332, -15954, 3504, -6098, 532, 1282
2236, -15993, 3625, -6313, 644, 1146
2197, -16040, 3732, -6452, 564, 1066
3491, -14141, -8049, -22426, -7270, -816
3678, -12356, -8106, -20622, -7108, -851
3759, -11213, -8049, -18216, -5506, -852
3803, -10469, -7956, -15154, -3335, -721
3935, -9921, -8155, -11410, -1377, -372
4455, -9757, -8543, -7278, 490, 282
4826, -9873, -9283, -3273, 3398, 1440
5421, -10558, -9558, 330, 6097, 3410
6025, -11764, -9389, 3573, 8764, 5933
6583, -12951, -8888, 6216, 11164, 8616
6554, -13529, -8053, 7434, 13325, 11031
6040, -13845, -6927, 7105, 15269, 12189
5204, -14079, -5947, 6068, 15729, 12305
4760, -14387, -5158, 4886, 13478, 11770
4594, -14646, -4452, 3792, 10146, 11057
4454, -14826, -3730, 2799, 6930, 10275
4238, -14948, -2910, 1895, 4428, 9353
4033, -15063, -2143, 1065, 2560, 8450
3788, -15195, -1437, 287, 1343, 7557
3558, -15305, -807, -411, 637, 6766
3328, -15372, -241, -1033, 246, 6101
3130, -15436, 292, -1596, 0, 5534
2942, -15510, 772, -2112, -162, 5018
2759, -15577, 1206, -2588, -301, 4555
2598, -15622, 1593, -3027, -489, 4121
2466, -15661, 1936, -3438, -692, 3700
2363, -15698, 2243, -3830, -840, 3299
2258, -15741, 2518, -4208, -896, 2896
2172, -15786, 2756, -4561, -873, 2521
2069, -15824, 2979, -4884, -785, 2178
1990, -15864, 3187, -5166, -673, 1911
1915, -15892, 3388, -5409, -546, 1701
1850, -15930, 3587, -5610, -400, 1529
1772, -15953, 3742, -5749, -417, 1358
1745, -15990, 3871, -5861, -490, 1218
1694, -16025, 3988, -5943, -462, 1096
1622, -16049, 4085, -5994, -366, 1002
1552, -16073, 4181, -6031, -316, 901
4706, -14500, -6572, -21980, -10289, -1441
4790, -13028, -6653, -21345, -10037, -1120
4703, -12386, -6305, -18860, -8128, -1605
4695, -12123, -5973, -15162, -6027, -2167
5025, -11994, -6221, -10369, -3748, -2433
5468, -12395, -7308, -6056, -863, -1906
6305, -13474, -8301, -2173, 1813, -488
7200, -15083, -8982, 1320, 4908, 1607
7203, -15912, -9326, 4465, 7694, 4356
6730, -15972, -8982, 6520, 8519, 6130
