13150, -17469, -1298, -14125, 7787, -17411
11952, -15680, -1534, -14096, 9291, -18947
10330, -13559, -1656, -13951, 10569, -20077
8758, -11464, -1469, -13814, 11236, -20140
7269, -9409, -1026, -13684, 11490, -19301
6152, -7428, -365, -13490, 11235, -17891
5324, -5523, 359, -13185, 10686, -16181
4765, -3676, 1076, -12782, 9860, -14448
4341, -1978, 1776, -12319, 8913, -12864
3849, -464, 2391, -11850, 7976, -11410
3256, 776, 2874, -11411, 6922, -9972
2498, 1720, 3051, -10998, 5651, -8368
1828, 2270, 3110, -10582, 3946, -6421
1185, 2406, 2951, -10131, 2014, -3924
945, 2169, 2753, -9545, -264, -730
2153, 1389, 2449, -8720, -2156, 2618
3903, 532, 2258, -7838, -2686, 5633
5706, -430, 2244, -7174, -1927, 8347
7181, -1692, 2394, -6953, -864, 10789
8346, -3287, 2623, -7098, 257, 12987
8734, -5118, 2977, -7476, 1526, 14965
8540, -7211, 3237, -8214, 2343, 16745
8222, -9455, 3474, -9228, 1902, 18347
8117, -11325, 3812, -10106, 321, 19789
8081, -12482, 3984, -10543, -1660, 20005
8054, -13188, 3931, -10666, -3517, 19099
7974, -13652, 3763, -10597, -5010, 17442
7804, -13971, 3534, -10368, -6162, 15408
7557, -14190, 3315, -10044, -7116, 13374
7294, -14365, 3150, -9708, -7969, 11553
7024, -14505, 3009, -9403, -8709, 9976
6703, -14703, 2934, -9239, -8479, 8714
6329, -14914, 2882, -9127, -7791, 7620
5915, -15108, 2845, -9022, -6947, 6673
5517, -15272, 2809, -8895, -6167, 5858
5152, -15407, 2789, -8745, -5506, 5188
4874, -15531, 2770, -8580, -4977, 4636
4652, -15645, 2734, -8406, -4510, 4160
12174, -16854, -1985, -14410, 8693, -20118
9967, -14480, -1775, -14188, 9436, -20208
8390, -12149, -1275, -13948, 9456, -19133
7192, -9851, -722, -13672, 9231, -17448
6385, -7696, -7, -13322, 8669, -15654
5728, -5656, 702, -12886, 8002, -13938
5178, -3766, 1408, -12404, 7268, -12392
4654, -2035, 2082, -11906, 6496, -10971
4019, -554, 2595, -11419, 5696, -9616
3156, 487, 2822, -10924, 4655, -8195
2355, 1070, 2903, -10363, 3157, -6417
1868, 1256, 2928, -9708, 1494, -4026
1628, 1196, 2753, -8919, -49, -945
1992, 907, 2558, -7981, -1564, 2426
2851, 535, 2273, -6908, -2831, 5460
4295, -4, 2084, -5745, -3403, 8191
6049, -710, 1982, -4825, -2949, 10648
7130, -2244, 1803, -4827, -3216, 12860
8426, -4340, 1680, -4957, -5584, 14851
9360, -6360, 1295, -4424, -7053, 16642
10046, -8245, 962, -3542, -6774, 18255
10161, -9838, 1049, -2901, -5128, 19706
9791, -11073, 1362, -2778, -3267, 20925
9321, -11954, 1568, -3073, -2325, 20838
8907, -12628, 1614, -3557, -2600, 19647
8603, -13135, 1553, -4016, -3585, 17729
8356, -13485, 1462, -4335, -4666, 15582
8021, -13728, 1356, -4526, -5629, 13561
7499, -13974, 1217, -4690, -6828, 11753
7094, -14128, 1076, -4884, -8464, 10071
6953, -14320, 1048, -5159, -9910, 8544
6795, -14511, 1068, -5430, -10218, 7331
6565, -14699, 1132, -5672, -9357, 6434
6146, -14898, 1178, -5883, -7833, 5799
5787, -15080, 1213, -6066, -6741, 5237
5519, -15239, 1255, -6204, -5977, 4722
5276, -15369, 1297, -6294, -5338, 4237
5049, -15472, 1317, -6346, -4779, 3799
13786, -19954, -587, -11406, 6742, -17322
12910, -18422, -991, -11725, 7735, -18866
11313, -16659, -1215, -12210, 8869, -20256
9142, -14461, -894, -12534, 9699, -20224
7512, -12335, -296, -12702, 9756, -19063
6316, -10216, 421, -12623, 9421, -17280
5381, -8186, 1146, -12263, 8784, -15346
4359, -6305, 1651, -11653, 7814, -13478
3098, -4766, 1824, -10937, 6285, -11503
1796, -3842, 1751, -10271, 4257, -8913
1119, -3535, 1717, -9666, 1997, -5328
1231, -3365, 1668, -9002, 106, -1518
1961, -3245, 1298, -8251, -1445, 1909
3697, -3410, 1419, -7494, -2542, 4995
6000, -3630, 1460, -6867, -1661, 7772
7297, -3828, 1529, -6784, 1353, 10272
7769, -4529, 1866, -7707, 3368, 12521
8429, -5926, 2406, -9244, 3830, 14546
8456, -7746, 2914, -10854, 3911, 16368
8164, -10248, 3316, -12331, 1588, 18008
8470, -12343, 3704, -13105, -1846, 19484
9192, -13408, 4032, -13020, -4938, 19998
9439, -13875, 4080, -12507, -6223, 19283
9160, -14216, 3843, -11909, -5987, 17535
8627, -14533, 3478, -11316, -5827, 15229
