9895, -15362, -925, -17165, -1482, -16454
9839, -13552, -945, -18281, -1400, -18085
9790, -11773, -581, -18913, -716, -19530
9024, -9895, -283, -18813, 1020, -20446
7894, -7872, -223, -18065, 2694, -20637
7154, -5813, -310, -17118, 3333, -20079
6327, -3855, -414, -16256, 3863, -19080
5475, -2071, -332, -15445, 4265, -17866
4628, -417, -260, -14575, 4509, -16483
3955, 1180, -234, -13682, 4444, -15021
3396, 2670, -150, -12865, 4083, -13630
2927, 4064, -65, -12135, 3700, -12351
2587, 5320, 41, -11525, 3246, -11153
2367, 6439, 150, -11011, 2748, -10005
2178, 7434, 232, -10580, 2362, -8881
2078, 8307, 325, -10227, 2089, -7813
1946, 9086, 411, -9897, 1866, -6910
1854, 9794, 490, -9583, 1624, -6139
1787, 10431, 566, -9293, 1439, -5470
1722, 11006, 650, -9040, 1337, -4883
1651, 11519, 723, -8816, 1257, -4361
1560, 11984, 779, -8611, 1177, -3898
1490, 12406, 821, -8429, 1120, -3481
1367, 12781, 858, -8273, 1103, -3109
1237, 13099, 901, -8138, 1056, -2757
11128, -15384, -1187, -13742, -1429, -15010
11424, -14129, -1315, -15114, -1899, -16786
11705, -12749, -1359, -16291, -1846, -18384
11664, -11196, -1388, -17114, -1157, -19687
11511, -9525, -1418, -17610, -492, -20586
11407, -7868, -1360, -17878, -68, -21148
10970, -6170, -1127, -17811, 712, -21253
10424, -4519, -841, -17564, 1426, -21103
9719, -2962, -492, -17202, 2040, -20763
8944, -1503, -83, -16737, 2595, -20176
8027, -165, 409, -16153, 3289, -19350
6771, 1123, 912, -15400, 4029, -18295
5485, 2388, 1321, -14480, 4494, -16888
4592, 3710, 1525, -13486, 4377, -15205
4032, 4964, 1712, -12633, 3978, -13495
3680, 6106, 1980, -11966, 3539, -11955
3319, 7095, 2253, -11401, 3185, -10629
3065, 8002, 2494, -10863, 2707, -9522
2846, 8808, 2680, -10375, 2341, -8530
2662, 9537, 2836, -9949, 2070, -7655
2471, 10183, 2971, -9591, 1871, -6884
2246, 10761, 3097, -9293, 1736, -6182
2038, 11254, 3209, -9036, 1641, -5507
1851, 11679, 3307, -8788, 1516, -4912
1636, 12038, 3368, -8546, 1417, -4369
11834, -14105, -955, -13410, -580, -15538
11914, -12832, -734, -14585, -721, -17261
