6339, -17644, -7039, -19998, -10190, -1115
5908, -15964, -7256, -19407, -9819, -944
5567, -14164, -7230, -18305, -8375, -831
5426, -12906, -7028, -16552, -6526, -655
5405, -11794, -7133, -14040, -4697, -295
5184, -10849, -7476, -10914, -2928, 284
5386, -10392, -7706, -7433, -1753, 947
5626, -10440, -8067, -3651, 313, 1857
5695, -10947, -8748, -9, 2965, 3262
6440, -11965, -8985, 3268, 5355, 5173
6868, -13152, -9026, 6218, 8097, 7738
6779, -13832, -8688, 8047, 10564, 10240
6634, -14329, -8048, 8226, 11477, 12459
6409, -14729, -7282, 7434, 10440, 13273
6393, -14833, -6800, 6295, 7872, 12455
6391, -14928, -6179, 5075, 5642, 11313
6312, -15157, -5446, 3845, 3883, 9935
6203, -15431, -4740, 2713, 2573, 8440
5980, -15605, -4090, 1686, 1575, 6953
5810, -15709, -3433, 769, 799, 5709
5669, -15747, -2811, -34, 297, 4697
5449, -15793, -2243, -757, 118, 3802
5201, -15896, -1753, -1422, 220, 3005
4961, -16002, -1319, -2034, 364, 2292
4704, -16068, -929, -2588, 416, 1685
4502, -16102, -564, -3073, 388, 1262
4359, -16135, -217, -3489, 414, 1060
4171, -16144, 119, -3830, 593, 1082
3887, -16173, 404, -4099, 908, 1268
3608, -16172, 692, -4310, 1197, 1537
3222, -16202, 915, -4443, 1370, 2020
2950, -16285, 1101, -4572, 1345, 2518
2827, -16334, 1265, -4737, 1117, 2926
2946, -16290, 1396, -4976, 650, 3097
3264, -16289, 1443, -5319, -231, 2830
3704, -16297, 1250, -5808, -1314, 2127
4231, -16285, 728, -6581, -2747, 950
4905, -16271, -24, -7810, -4509, -672
5512, -15543, -7131, -21223, -10633, -4327
5648, -13564, -7677, -20215, -10808, -4253
4805, -11855, -7735, -19000, -8862, -3923
4140, -10256, -8003, -17460, -7506, -3857
4159, -9182, -7966, -15631, -6820, -3906
3987, -8570, -8367, -12049, -3086, -3284
4038, -8403, -8994, -8185, -554, -2291
4779, -8440, -9406, -4342, 1810, -1055
4942, -8731, -9965, -631, 4906, 1139
5506, -9967, -10034, 2708, 7651, 4118
6240, -11591, -9748, 5649, 9870, 6983
6640, -12690, -9198, 7584, 12160, 9562
6616, -13015, -8238, 7890, 14221, 11582
6241, -13254, -7085, 7030, 14611, 11998
5808, -13557, -6205, 5798, 13396, 11266
5678, -13894, -5607, 4511, 10871, 9856
5845, -14229, -5038, 3227, 7993, 8122
6041, -14501, -4422, 2022, 5771, 6366
6049, -14634, -3840, 993, 4530, 4868
5989, -14706, -3297, 145, 3873, 3839
5915, -14794, -2774, -572, 3471, 3228
5829, -14897, -2304, -1237, 3330, 2855
5621, -15073, -1879, -1978, 3726, 2572
5401, -15218, -1494, -2708, 4022, 2258
5231, -15320, -1117, -3436, 4098, 1899
5153, -15428, -754, -4152, 4050, 1530
5133, -15532, -427, -4805, 4072, 1215
5085, -15605, -160, -5351, 4265, 954
4978, -15699, 60, -5771, 4542, 711
4861, -15773, 248, -6059, 4705, 451
4733, -15828, 404, -6230, 4676, 177
4620, -15865, 533, -6312, 4481, -70
4569, -15897, 660, -6339, 4180, -241
4558, -15914, 771, -6332, 3919, -314
4544, -15938, 859, -6309, 3805, -312
4515, -15960, 933, -6281, 3788, -279
4488, -15966, 1011, -6249, 3746, -237
4474, -15950, 1091, -6223, 3622, -198
5962, -16612, -8172, -20873, -9794, 1738
5892, -14889, -8239, -19617, -9247, 1660
5716, -13290, -8198, -17759, -8430, 1517
5616, -12108, -8157, -15413, -7647, 1038
5493, -11733, -8358, -11560, -6183, 276
5195, -11711, -8896, -7313, -4578, -310
5188, -12117, -9427, -3304, -3390, -476
5623, -13228, -9835, 302, -1845, -395
6130, -14499, -10234, 3548, 1398, -10
6464, -15141, -10288, 6470, 4535, 814
6472, -15175, -9742, 8241, 7358, 2236
6586, -15549, -8778, 8404, 9899, 3408
6365, -15679, -8009, 7893, 11427, 4162
6144, -15764, -7295, 7035, 11295, 4422
6021, -15794, -6499, 5969, 9760, 4309
5897, -15833, -5707, 4815, 7643, 3901
5746, -15839, -4957, 3658, 5567, 3199
5717, -15819, -4255, 2566, 3732, 2404
5748, -15852, -3558, 1517, 2379, 1761
5713, -15898, -2887, 513, 1622, 1307
5603, -15920, -2165, -471, 1315, 1017
5530, -15883, -1544, -1314, 1005, 834
5478, -15853, -1027, -2044, 711, 732
5439, -15896, -572, -2710, 493, 686
5444, -15938, -163, -3318, 257, 683
5482, -15935, 160, -3867, 26, 725
5483, -15922, 412, -4364, 5, 784
5429, -15914, 604, -4802, 233, 694
5338, -15920, 754, -5193, 509, 470
5250, -15920, 885, -5546, 656, 248
5198, -15903, 1016, -5864, 645, 72
5165, -15923, 1133, -6143, 605, -38
5135, -15949, 1248, -6363, 624, -91
5093, -15960, 1358, -6511, 697, -93
5032, -16006, 1462, -6595, 789, -49
4923, -16046, 1515, -6614, 850, 36
4780, -16036, 1528, -6589, 789, 173
4584, -16068, 1546, -6515, 576, 548
4143, -12861, -5905, -19912, -13543, 1117
3696, -11266, -6690, -18833, -12783, 1318
3437, -9808, -7100, -17661, -12237, 1153
3369, -8628, -7231, -16192, -11175, 793
3571, -7828, -7225, -14209, -9382, 328
3601, -7344, -7467, -11537, -6408, -120
3936, -7222, -7718, -8323, -3185, -308
3847, -7422, -8555, -4707, 409, -47
4146, -8083, -9043, -1203, 3081, 839
5090, -9119, -9358, 2110, 5604, 1955
5644, -10415, -9119, 4601, 8320, 4261
5714, -11041, -8591, 5720, 10765, 6145
5448, -11520, -7723, 5496, 12965, 7106
5083, -11968, -6818, 4629, 13635, 7195
4930, -12408, -6045, 3594, 12464, 6591
5019, -12813, -5371, 2541, 10227, 5625
5185, -13159, -4745, 1499, 7979, 4601
5281, -13413, -4173, 516, 6314, 3641
5292, -13601, -3656, -365, 5171, 2782
5303, -13755, -3160, -1121, 4272, 2054
5339, -14004, -2684, -1761, 3514, 1492
5352, -14305, -2233, -2301, 2835, 1099
5370, -14495, -1801, -2762, 2115, 786
5423, -14613, -1381, -3214, 1432, 513
5483, -14687, -1000, -3694, 1005, 275
5484, -14741, -671, -4203, 1013, 112
5380, -14887, -423, -4649, 1400, 86
5314, -15031, -239, -5004, 1530, 78
5314, -15100, -72, -5337, 1383, 38
5387, -15137, 83, -5697, 1202, 0
5473, -15197, 228, -6076, 1220, -11
5528, -15313, 372, -6440, 1518, -15
5494, -15472, 509, -6756, 2005, -43
5396, -15625, 649, -7005, 2405, -113
5299, -15733, 778, -7184, 2500, -238
5249, -15800, 903, -7301, 2323, -393
5242, -15836, 1025, -7371, 2075, -531
5253, -15844, 1123, -7400, 1930, -603
4238, -11265, -10329, -21330, -11595, 2656
4162, -9897, -10311, -20371, -10850, 2610
3783, -8598, -10097, -19148, -8873, 2333
3673, -7776, -9684, -17455, -7199, 1783
3619, -7321, -9316, -15045, -5639, 1100
3234, -7006, -9331, -11853, -4193, 320
3359, -6997, -9420, -8086, -3161, -496
2656, -7459, -10097, -4000, -1291, -1110
2909, -8171, -10655, -323, -721, -1372
3744, -9385, -11105, 2985, 675, -1652
4445, -10950, -11482, 5963, 3884, -1223
5088, -12037, -11418, 8643, 6772, 128
5445, -12368, -10848, 10224, 9372, 2167
4951, -12794, -9716, 10028, 11711, 4154
4482, -13419, -8553, 9042, 12962, 5409
4583, -13746, -7570, 7931, 11781, 5969
4786, -13974, -6649, 6542, 9363, 5154
4713, -14294, -5783, 5081, 7646, 4076
4625, -14529, -4941, 3663, 6068, 2801
4647, -14705, -4168, 2351, 4255, 1427
