10333, -15380, 6276, -3283, 692, -18440
10364, -14060, 6139, -3162, 613, -19872
10193, -12574, 5802, -2862, 1262, -20619
10015, -10954, 5252, -2469, 1974, -20802
9717, -9271, 4705, -2054, 2601, -20548
9411, -7463, 4059, -1600, 3081, -20017
8799, -5546, 3459, -1229, 3492, -19258
8173, -3525, 2971, -977, 3612, -18360
7433, -1462, 2561, -901, 3818, -17305
6703, 483, 2297, -1030, 4143, -16103
6072, 2180, 2167, -1343, 4316, -14839
5623, 3658, 2048, -1802, 4162, -13594
5359, 4899, 2046, -2357, 3756, -12421
5151, 5966, 2090, -2891, 3406, -11317
4984, 6931, 2111, -3346, 3111, -10266
4859, 7801, 2159, -3742, 2643, -9229
4654, 8664, 2097, -4089, 2152, -8249
4401, 9478, 2062, -4454, 1512, -7300
3980, 10200, 1847, -4887, 931, -6276
3289, 10690, 1347, -5478, 470, -4960
2783, 10720, 822, -6359, -406, -3192
2687, 10314, 491, -7365, -1457, -898
3035, 9583, 231, -8245, -2210, 1851
3977, 8570, 439, -8910, -2183, 4932
5173, 7554, 1053, -9353, -1130, 7716
5979, 6532, 1857, -9771, 744, 10221
6996, 5434, 2685, -10299, 1369, 12453
8383, 4371, 3594, -10732, 895, 14222
9402, 3418, 4346, -10965, 456, 15589
10282, 2417, 4785, -11009, -131, 16545
11138, 1405, 5070, -10966, -1053, 17137
11806, 288, 5185, -10859, -1290, 17698
12244, -1063, 5321, -10722, -766, 17790
12115, -2215, 5404, -10639, 92, 17642
11580, -3353, 5494, -10626, 987, 17609
10883, -4578, 5565, -10714, 1422, 17648
10174, -5851, 5571, -10783, 1109, 17817
9660, -7150, 5625, -10814, 321, 17997
10228, -15237, 6960, -1615, -2545, -16662
10244, -14024, 6742, -1464, -2167, -18273
10056, -12191, 6314, -1197, -1452, -19057
9897, -10342, 5823, -981, -774, -19218
9584, -8403, 5236, -793, -190, -18984
9244, -6541, 4714, -708, 101, -18565
8802, -4676, 4237, -717, 222, -18066
8289, -2902, 3832, -777, 499, -17443
7663, -1152, 3436, -862, 887, -16666
7063, 508, 3123, -1011, 1327, -15727
6378, 2114, 2786, -1220, 1770, -14655
5896, 3580, 2563, -1552, 1869, -13540
5549, 4869, 2494, -1980, 1839, -12396
5266, 6027, 2438, -2427, 1816, -11270
5109, 7007, 2445, -2873, 1691, -10218
4973, 7896, 2454, -3279, 1532, -9269
4875, 8657, 2472, -3638, 1399, -8405
4760, 9358, 2463, -3938, 1273, -7620
4597, 10004, 2440, -4198, 1148, -6909
4481, 10584, 2393, -4452, 823, -6228
4334, 11077, 2326, -4698, 573, -5554
4224, 11497, 2182, -4939, 234, -4924
3968, 11837, 1990, -5234, -77, -4248
3246, 12049, 1399, -5650, -392, -3294
2535, 11827, 789, -6414, -831, -1684
1944, 11300, 85, -7425, -1263, 775
2078, 10467, -144, -8637, -2065, 3867
2719, 9457, 220, -9815, -2591, 6757
3963, 8372, 1074, -10815, -2163, 9358
5195, 7217, 1851, -11721, -373, 11699
5673, 5755, 2706, -12879, 1504, 13805
6778, 3657, 3576, -14120, 1366, 15702
8338, 1556, 4396, -14977, 223, 17331
9657, -233, 5072, -15289, 108, 18337
9965, -1738, 5550, -15359, 702, 18806
9765, -3229, 5656, -15190, 396, 18710
9667, -4628, 5617, -14843, -471, 18546
9576, -5941, 5564, -14365, -1398, 18304
11437, -13849, 6909, -2517, -3141, -19206
11515, -12548, 6689, -2523, -2602, -20562
11206, -10886, 6149, -2361, -1329, -20962
10812, -9224, 5499, -2155, -5, -20885
10187, -7462, 4820, -1936, 1367, -20473
9544, -5694, 4249, -1772, 2391, -19800
8689, -3809, 3695, -1660, 3377, -18892
7807, -1920, 3199, -1618, 4182, -17790
6927, -106, 2832, -1693, 4769, -16530
6119, 1627, 2543, -1902, 5043, -15225
5487, 3210, 2413, -2263, 5006, -13973
4966, 4608, 2432, -2700, 4862, -12788
4527, 5843, 2486, -3135, 4688, -11699
4176, 6888, 2594, -3555, 4441, -10730
3796, 7806, 2666, -3932, 4209, -9829
3412, 8592, 2742, -4278, 3860, -8966
3110, 9290, 2815, -4582, 3375, -8117
2765, 9931, 2791, -4820, 2950, -7260
2352, 10407, 2639, -5034, 1971, -6160
1959, 10770, 2385, -5230, 882, -4880
1477, 11019, 1959, -5472, -518, -3425
1236, 11078, 1458, -5884, -2256, -1636
1300, 10811, 1018, -6486, -3616, 722
1766, 10219, 735, -7284, -4230, 3660
2821, 9433, 969, -8273, -3582, 6571
3812, 8660, 1570, -9419, -1277, 9190
4200, 7845, 2244, -10793, 1411, 11548
4872, 6526, 2903, -12539, 2721, 13670
5585, 4578, 3733, -14308, 2707, 15580
6779, 2437, 4779, -15770, 2496, 17240
7502, 272, 5533, -16648, 2284, 18359
7988, -1639, 5988, -17116, 1548, 18900
8394, -3259, 6257, -17164, 723, 19117
8473, -4629, 6308, -16926, 16, 19043
8686, -5868, 6306, -16360, -1303, 18624
8774, -7000, 6279, -15681, -2403, 18017
8804, -7985, 6197, -14875, -3246, 17233
8727, -8793, 6059, -14025, -3734, 16407
11715, -12067, 6932, -2075, -2506, -20801
11628, -10793, 6534, -1964, -1834, -21516
11360, -9415, 6076, -1762, -629, -21786
10681, -7596, 5338, -1482, 767, -21353
9836, -5726, 4668, -1282, 1945, -20689
8899, -3784, 3986, -1161, 2931, -19814
7881, -1837, 3385, -1151, 3849, -18709
6930, 15, 2938, -1271, 4549, -17459
6010, 1758, 2652, -1524, 5040, -16074
5182, 3385, 2465, -1854, 5303, -14697
4468, 4834, 2389, -2251, 5317, -13370
3878, 6107, 2389, -2688, 5109, -12138
3395, 7196, 2456, -3150, 4783, -10987
3049, 8110, 2533, -3590, 4466, -9891
2713, 8898, 2604, -3989, 4207, -8840
2539, 9546, 2746, -4336, 3810, -7864
2471, 10169, 2849, -4599, 3486, -6950
2309, 10774, 2872, -4810, 3274, -6106
2118, 11333, 2865, -5031, 2897, -5335
1624, 11726, 2523, -5304, 2002, -4418
1224, 11894, 2059, -5651, 847, -3190
967, 11823, 1631, -6100, -301, -1504
1119, 11446, 1496, -6626, -1245, 667
1585, 10834, 1493, -7144, -1540, 3241
2188, 10095, 1498, -7671, -1118, 6023
2967, 9174, 1715, -8378, -429, 8697
3892, 8105, 2029, -9251, 427, 11104
4837, 6901, 2385, -10311, 893, 13270
6179, 5359, 2943, -11482, 545, 15220
7994, 3696, 3792, -12363, 156, 16975
8918, 2295, 4290, -12853, 652, 18419
9592, 804, 4785, -13255, 756, 19374
10404, -763, 5403, -13486, 585, 20047
10514, -2104, 5806, -13463, 1219, 20546
10327, -3536, 6057, -13349, 1650, 20920
10280, -4965, 6289, -13157, 1226, 20632
10011, -6186, 6394, -12777, 1182, 20011
9485, -7195, 6393, -12313, 985, 19160
11523, -13517, 7357, -496, -2907, -16444
11760, -12378, 7071, -638, -3378, -18077
11643, -11139, 6723, -865, -2836, -19546
11292, -9747, 6250, -1024, -1665, -20492
10755, -8272, 5877, -1171, -410, -20921
10028, -6671, 5426, -1280, 755, -20869
9179, -4915, 4965, -1402, 1510, -20426
8242, -2898, 4748, -1583, 1636, -19374
7325, -1041, 4592, -1699, 1759, -18241
6413, 714, 4480, -1833, 1726, -17109
5666, 2325, 4437, -2083, 1480, -15945
5080, 3769, 4451, -2425, 1251, -14697
4592, 5028, 4424, -2820, 1146, -13343
4207, 6125, 4438, -3248, 1187, -11970
3846, 7081, 4410, -3636, 1281, -10630
3681, 7939, 4389, -3971, 1241, -9419
3495, 8720, 4382, -4251, 1323, -8351
3299, 9429, 4363, -4473, 1404, -7461
3099, 10082, 4355, -4679, 1330, -6716
2929, 10653, 4378, -4878, 1084, -6097
2658, 11159, 4330, -5064, 774, -5522
2238, 11611, 4129, -5268, 254, -4922
1813, 11961, 3884, -5565, -393, -4132
1349, 11790, 3198, -6215, -682, -1890
1282, 11178, 2641, -7255, -1128, 956
1802, 10295, 2314, -8572, -1682, 4115
2640, 9339, 2313, -10002, -1788, 6980
3657, 8149, 2744, -11517, -1617, 9559
4672, 6955, 3457, -12948, -1242, 11880
5732, 5478, 4150, -14274, -1002, 13968
7276, 3591, 5073, -15472, -1608, 15792
8608, 1999, 6044, -16307, -975, 17205
8896, 528, 6672, -16882, 611, 18103
9149, -1017, 7279, -17358, 1408, 18432
9202, -2456, 7631, -17532, 1494, 18549
8941, -3813, 7749, -17482, 1169, 18525
8851, -5151, 7801, -17240, 169, 18292
8675, -6338, 7639, -16783, -839, 17993
12360, -12767, 6265, -2565, -1669, -18359
11834, -11378, 5979, -2520, -235, -19783
11223, -9855, 5664, -2423, 1278, -20536
10518, -8161, 5274, -2302, 2658, -20734
9538, -6390, 4899, -2250, 3825, -20462
8594, -4604, 4614, -2294, 4551, -19803
7627, -2773, 4388, -2396, 4983, -18828
6695, -967, 4235, -2533, 5320, -17600
5747, 768, 4129, -2681, 5624, -16232
4908, 2337, 4102, -2860, 5758, -14834
4217, 3733, 4169, -3102, 5820, -13299
3558, 4989, 4204, -3384, 5627, -11864
3101, 6083, 4321, -3709, 4983, -10605
2655, 7078, 4348, -4021, 4211, -9499
2130, 7998, 4136, -4336, 3345, -8470
1674, 8745, 3945, -4767, 2118, -7424
1314, 9296, 3836, -5296, 751, -6216
1028, 9695, 3594, -5859, -626, -4767
957, 9876, 3330, -6506, -2193, -3021
1124, 9794, 3087, -7258, -3788, -929
1610, 9367, 2924, -8058, -5136, 1547
2378, 8696, 3050, -8849, -5957, 4310
3202, 7939, 3249, -9625, -5891, 7155
4288, 7050, 3530, -10399, -5605, 9717
5529, 5994, 3946, -11208, -5182, 12022
6764, 4831, 4542, -11945, -4149, 14096
8059, 3184, 4846, -12507, -4103, 15655
9158, 1597, 5185, -12979, -3846, 16810
9429, 40, 5688, -13486, -2889, 17601
