Mean-accX,Range-accX,Var-accX,Median-accX,Masd-accX,Mean-accY,Range-accY,Var-accY,Median-accY,Masd-accY,Mean-accZ,Range-accZ,Var-accZ,Median-accZ,Masd-accZ,Mean-gyroX,Range-gyroX,Var-gyroX,Median-gyroX,Masd-gyroX,Mean-gyroY,Range-gyroY,Var-gyroY,Median-gyroY,Masd-gyroY,Mean-gyroZ,Range-gyroZ,Var-gyroZ,Median-gyroZ,Masd-gyroZ,label
7894.513513513513,7404,6513734.145645645,6858,623,-2687.5405405405404,20349,33182630.533033032,-509,769,5549.459459459459,9920,12485687.588588588,4959,686,-5707.081081081081,26573,93011559.57657658,-10506,846,-7547.864864864865,10238,9119145.175675675,-7764,1704,-4607.27027027027,34508,122092086.31381382,1229,1303,1
9267.513513513513,9379,9055162.145645646,7732,925,-3355.5135135135133,16749,27287671.7012012,-618,456,4882.243243243243,10615,15092103.855855856,6363,707,-5987.972972972973,24867,82765948.02702703,-10331,749,-6865.1621621621625,7594,5538222.084084084,-6328,1331,-3636,36222,145552424.94444445,1730,1431,1
8623.783783783783,10040,9386810.674174175,7025,1103,-3544.945945945946,16591,31071961.608108107,-1028,1091,4684.891891891892,11588,18699559.93243243,6852,860,-6787.216216216216,25118,82741271.2852853,-9900,1146,-5606.540540540541,9256,6572109.866366367,-5476,1350,-2765.864864864865,35009,140396112.009009,1317,1568,1
9178.702702702703,9602,8648376.936936937,8414,794,-4674.378378378378,17909,32659841.408408407,-2657,895,4679.27027027027,10777,16190072.591591591,6441,733,-6446.135135135135,27453,102467564.73123123,-11526,967,-8193.027027027027,7652,4474553.027027027,-7564,860,-2285.162162162162,36138,141690379.4174174,2919,2433,1
8952.108108108108,9284,9375052.876876878,7558,632,-4268.081081081081,16776,27823479.521021023,-1313,966,5286.351351351352,11516,19382224.123123124,7893,1029,-6988.054054054054,27740,97146072.94144145,-11507,931,-8054.027027027027,9768,5903006.415915916,-7829,1560,-2433.5675675675675,35150,130399415.75225225,1754,2285,1
8284.351351351352,8903,8678648.956456456,6471,574,-2274.891891891892,19324,31399541.987987988,-93,762,5719.513513513513,11047,15288169.59009009,5037,881,-4579.054054054054,30187,118820780.71921921,-10135,710,-4803.675675675676,9044,7396869.836336336,-4592,1147,-3814.810810810811,35975,128474213.26876877,2347,1579,1
6708.72972972973,10271,13458633.369369369,5385,590,-1791.3243243243244,20658,35368667.83633634,659,816,7368.378378378378,9637,9222080.963963963,6888,978,-3997.5135135135133,35949,166354614.3123123,-9676,818,-6649.972972972973,6362,3607824.638138138,-6073,798,-4463.864864864865,28712,79658293.73123123,-1340,1519,1
8095.756756756757,10720,12014002.022522522,6303,748,-2955.7027027027025,16784,27060559.436936934,-457,543,4326.864864864865,13534,28922692.009009007,6607,839,-10250.621621621622,25471,73003264.2972973,-13190,888,-5934.1621621621625,10729,7213739.528528528,-5543,1484,-3570,33515,140939027.66666666,3005,1168,1
7662.621621621622,8212,8785230.186186187,6131,989,-1989.2162162162163,16910,20150507.95195195,-95,418,6951.7027027027025,9890,13139039.881381381,8200,721,-5388.4324324324325,28766,113590223.53003004,-12114,901,-9778.162162162162,11331,12141801.528528528,-10515,1186,-3622.4054054054054,29574,84076558.8033033,694,1280,1
7137.351351351352,7866,6596526.623123123,5733,611,-3252.135135135135,19002,32448102.509009007,-646,888,3932.5945945945946,13852,26330884.24774775,5177,653,-8489.243243243243,27660,88970942.6891892,-11780,849,-6874.4324324324325,11514,11734588.918918919,-5910,2503,-4528.783783783784,31033,113597752.95195195,576,1549,1
