5587, -13111, -9716, -17565, -3571, -3140
5285, -11860, -9377, -16906, -3210, -2951
5316, -10477, -9694, -15644, -2974, -2688
5472, -9142, -9937, -14282, -2955, -2525
5767, -7972, -9994, -12788, -2642, -2392
5859, -7171, -9852, -10943, -1581, -2115
5873, -6768, -9603, -8598, 31, -1637
5702, -6752, -9544, -5760, 1763, -857
5767, -7096, -9614, -2650, 2861, 166
6013, -7640, -9771, 538, 3964, 1362
6400, -8342, -10143, 3692, 5469, 3001
6927, -9472, -9896, 6216, 7469, 5943
6999, -10718, -9657, 8002, 9324, 8626
7263, -11669, -9374, 8979, 9554, 11001
7450, -12238, -8828, 9148, 8531, 12048
7508, -12682, -8156, 8503, 6793, 11775
7504, -13067, -7552, 7394, 4904, 10680
7408, -13426, -7047, 6270, 3295, 9326
7275, -13689, -6547, 5417, 2105, 8075
7073, -13917, -6012, 4826, 1384, 7077
6826, -14108, -5497, 4347, 1097, 6269
6517, -14277, -4991, 3858, 1185, 5580
6173, -14462, -4521, 3344, 1425, 4961
5767, -14633, -4091, 2858, 1650, 4395
5415, -14777, -3685, 2421, 1704, 3877
5104, -14908, -3295, 2034, 1665, 3433
4831, -15033, -2946, 1735, 1716, 3105
4603, -15147, -2634, 1483, 1723, 2820
4393, -15233, -2366, 1272, 1675, 2581
4234, -15310, -2135, 1102, 1514, 2390
4118, -15382, -1950, 975, 1308, 2255
4023, -15445, -1775, 868, 1135, 2156
3932, -15496, -1621, 768, 1010, 2066
3821, -15548, -1478, 674, 898, 1971
3734, -15602, -1350, 588, 740, 1868
3658, -15646, -1229, 510, 577, 1758
3598, -15685, -1122, 433, 455, 1632
3526, -15722, -1028, 358, 412, 1504
6015, -13303, -7603, -16876, -7257, -6865
5857, -11960, -8021, -15824, -6925, -6369
5750, -10556, -8563, -14594, -7037, -5951
5861, -9260, -9088, -13298, -6808, -5529
5868, -8136, -9531, -11903, -5779, -4973
5920, -7270, -9609, -10383, -4497, -4326
5947, -6712, -9615, -8575, -2914, -3601
6094, -6420, -9458, -6419, -1159, -2850
6145, -6375, -9573, -3889, 862, -1950
6358, -6547, -9710, -1128, 2586, -815
6731, -6891, -9903, 1690, 4370, 706
7277, -7388, -10007, 4288, 6423, 2711
7597, -8381, -9729, 5892, 8545, 5717
7717, -9489, -9271, 6784, 9592, 8422
7841, -10510, -8789, 7116, 9508, 10511
7878, -11303, -8200, 7026, 8470, 11698
7813, -11898, -7514, 6581, 6912, 11982
7682, -12360, -6891, 5950, 5462, 11687
7497, -12768, -6333, 5311, 4279, 11099
7224, -13160, -5777, 4715, 3387, 10359
6900, -13488, -5240, 4137, 2648, 9466
6594, -13755, -4730, 3571, 2021, 8495
6275, -13993, -4257, 3036, 1590, 7541
5964, -14232, -3843, 2559, 1372, 6651
5619, -14438, -3464, 2153, 1398, 5833
5229, -14625, -3105, 1802, 1592, 5070
4833, -14796, -2776, 1500, 1800, 4382
4445, -14955, -2448, 1271, 1962, 3790
4098, -15086, -2165, 1116, 2020, 3320
3798, -15205, -1927, 977, 2015, 2934
3564, -15300, -1741, 867, 1921, 2621
3392, -15378, -1582, 768, 1748, 2355
3253, -15450, -1448, 664, 1570, 2125
3133, -15512, -1332, 562, 1385, 1923
3032, -15572, -1216, 461, 1210, 1747
2955, -15623, -1100, 368, 1095, 1618
2887, -15670, -987, 285, 1018, 1503
2821, -15718, -871, 204, 963, 1380
6060, -11007, -7945, -15316, -7206, -6174
5955, -9694, -8481, -14092, -6901, -5625
6133, -8449, -8891, -12812, -6531, -5148
6140, -7407, -9203, -11373, -5307, -4623
6116, -6646, -9441, -9714, -4134, -4049
6316, -6188, -9400, -7842, -3236, -3428
6368, -5979, -9650, -5706, -1964, -2761
6452, -5944, -9819, -3392, -962, -2072
6735, -6061, -9985, -1012, -32, -1333
7117, -6337, -10299, 1397, 1351, -431
7546, -6680, -10464, 3746, 3413, 747
7911, -7122, -10681, 5860, 6182, 2408
8159, -7880, -10265, 6878, 7981, 4810
8342, -8721, -9729, 7219, 8996, 6952
8406, -9601, -9075, 7099, 9303, 8754
8385, -10421, -8397, 6724, 8956, 10067
8241, -11135, -7663, 6174, 8145, 10760
8048, -11724, -6933, 5513, 7029, 10845
7772, -12213, -6246, 4840, 5840, 10499
7444, -12653, -5583, 4213, 4692, 9893
7093, -13032, -4979, 3665, 3632, 9136
6716, -13369, -4419, 3178, 2747, 8292
6357, -13661, -3919, 2756, 2113, 7427
5945, -13925, -3488, 2410, 1820, 6617
5528, -14164, -3128, 2118, 1689, 5856
5118, -14372, -2825, 1866, 1557, 5170
4781, -14548, -2566, 1644, 1387, 4581
4485, -14699, -2336, 1446, 1252, 4066
4189, -14834, -2134, 1257, 1240, 3615
3929, -14964, -1939, 1073, 1202, 3213
3708, -15091, -1761, 903, 1154, 2869
3487, -15205, -1588, 757, 1165, 2581
3281, -15303, -1421, 624, 1164, 2315
3093, -15394, -1276, 506, 1102, 2072
2947, -15477, -1141, 403, 962, 1864
2847, -15550, -1029, 317, 790, 1691
2768, -15609, -934, 246, 654, 1555
2702, -15663, -860, 184, 559, 1449
6079, -11465, -7161, -15339, -7612, -7926
6022, -10184, -7559, -13898, -7125, -7046
6120, -8945, -7945, -12347, -6765, -6327
6222, -7915, -8318, -10606, -6020, -5658
6241, -7194, -8640, -8690, -4808, -4908
6288, -6740, -8878, -6673, -3707, -4127
6405, -6456, -9083, -4525, -2676, -3301
6643, -6326, -9414, -2194, -1324, -2357
6976, -6384, -9728, 240, 424, -1181
7360, -6553, -10047, 2659, 2558, 250
7765, -6892, -10265, 4869, 4786, 2055
8227, -7378, -10208, 6648, 6840, 4188
8527, -8374, -9753, 7363, 8058, 6876
8622, -9421, -9239, 7546, 8573, 9147
8729, -10334, -8602, 7334, 8188, 10664
8671, -11053, -7893, 6826, 7309, 11288
8501, -11632, -7170, 6143, 6209, 11112
8298, -12133, -6499, 5488, 5145, 10483
8058, -12570, -5857, 4957, 4251, 9627
7775, -12950, -5266, 4502, 3713, 8789
7429, -13266, -4767, 4094, 3689, 8031
6972, -13559, -4320, 3733, 4081, 7347
6471, -13802, -3933, 3403, 4531, 6712
5936, -14012, -3572, 3069, 4740, 6110
5461, -14211, -3241, 2722, 4580, 5544
5072, -14404, -2934, 2388, 4160, 5036
4735, -14579, -2636, 2081, 3718, 4580
4416, -14743, -2358, 1803, 3359, 4173
4138, -14888, -2083, 1564, 2939, 3790
3901, -15027, -1834, 1356, 2537, 3438
3693, -15151, -1616, 1176, 2203, 3120
3497, -15258, -1432, 1023, 1955, 2830
3310, -15354, -1273, 887, 1763, 2565
3146, -15432, -1130, 764, 1595, 2323
3011, -15502, -1006, 647, 1471, 2103
2868, -15572, -889, 535, 1398, 1894
2747, -15627, -773, 442, 1340, 1707
2626, -15674, -668, 358, 1309, 1562
7072, -12791, -6300, -14905, -10023, -8550
7007, -11347, -6936, -13869, -9159, -7651
7092, -9841, -7432, -12725, -8833, -6950
6989, -8445, -7976, -11434, -8141, -6389
6904, -7391, -8338, -10001, -6961, -5849
6817, -6698, -8451, -8311, -5583, -5250
6613, -6320, -8658, -6246, -4056, -4490
6581, -6218, -8758, -3884, -2826, -3532
6673, -6354, -9140, -1336, -1400, -2435
6999, -6658, -9627, 1296, 399, -1080
7415, -6949, -10080, 3868, 3108, 565
7932, -7348, -10274, 6031, 6074, 2707
8346, -7848, -10130, 7522, 8743, 5243
8530, -8572, -9742, 8243, 10996, 7849
8571, -9597, -9015, 7952, 10941, 9851
8568, -10526, -8258, 7440, 10132, 11174
8472, -11286, -7451, 6776, 8912, 11780
8217, -11881, -6680, 6009, 7590, 11735
7831, -12357, -5999, 5266, 6246, 11204
7450, -12752, -5366, 4634, 4849, 10365
7015, -13100, -4768, 4107, 3674, 9395
6593, -13428, -4250, 3643, 2901, 8449
6091, -13714, -3803, 3235, 2537, 7599
5589, -13963, -3396, 2873, 2368, 6816
5134, -14178, -3052, 2558, 2233, 6129
4714, -14381, -2740, 2276, 2093, 5534
4337, -14563, -2464, 2012, 1909, 4993
3989, -14724, -2209, 1768, 1693, 4494
3686, -14874, -1975, 1542, 1474, 4040
3390, -15005, -1758, 1340, 1296, 3628
3103, -15124, -1556, 1166, 1150, 3284
2863, -15233, -1373, 1008, 985, 2982
2643, -15329, -1213, 869, 838, 2727
2444, -15421, -1068, 748, 718, 2498
2275, -15498, -941, 642, 617, 2289
